year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2018,1.0959322196361339,864.423416025478,133.11823225894207,1261.80415040753,0.48325292223941435,28.34858781063544,14.809583254336818,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.040677803638662,False
2019,1.1289846412945046,868.7309260696419,133.72612857345285,1266.7036834725131,0.49571500537461316,40.6153910001883,27.157974151757816,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.710153587054954,False
2020,1.1637362935621354,872.4983316180504,134.30488923119626,1271.6733594401915,0.5086021763473155,52.77450236473875,39.53791365096741,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.3626370643786463,False
2021,1.1999013155903182,875.7749601627883,134.84972940567263,1276.6867569611056,0.5219367715837161,64.75013751035861,51.90807040765683,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.000986844096818,False
2022,1.2373134382619262,878.7824178188041,135.36750261430606,1281.7197691619378,0.5357361273334375,76.38640914419445,64.21963003735968,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.626865617380738,False
2023,1.2729528326395136,881.715030791796,135.87072893928814,1286.7569818039965,0.5499852287237393,88.16386944373569,76.81717574120525,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.2704716736048636,False
2024,1.3068371164170685,884.3703580951934,136.36002701497526,1291.7895226004212,0.5646403379118805,99.41534223048477,89.3853551127508,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9316288358293154,False
2025,1.3389836579828962,886.9421513660388,136.8359562364115,1296.8076445203876,0.579658750160308,110.64935924307281,102.1256322563107,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.610163420171038,False
2026,1.3694184806795682,889.2212673957906,137.29702020970194,1301.8036795278592,0.5949992178689675,121.19386531959181,114.6572375011321,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3058151932043183,False
2027,1.39816283303328,891.3968241746278,137.7427581591102,1306.7680161587086,0.6106215970802562,131.96962634678036,127.2072980554744,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0183716696671996,False
2028,1.425243977714519,893.2574876167254,138.17125015510942,1311.6926987956888,0.6264872052114533,143.96872583533337,139.35447846198352,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7475602228548106,False
2029,1.4506767393888007,894.9374033785792,138.5805041420288,1316.567285194487,0.6425583772271742,157.04261563899152,151.29269945571542,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.49323260611199293,False
2030,1.4744795924368423,896.3508987252329,138.96839147822965,1321.381921665707,0.6587986490223273,171.21369542576906,162.82073555131572,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.25520407563157654,False
2031,1.496659362407105,897.3752313337349,139.3314707342084,1326.1252525312868,0.6751725058600598,186.5627779546595,173.64946588967962,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.03340637592895046,False
2032,1.5172140353531938,898.1429608944208,139.6670771887678,1330.7837459519287,0.6916450902543252,202.90247850018272,183.9465939562987,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.17214035353193768,False
2033,1.5361827228063434,898.7504036813843,139.9808928607022,1335.3464446411401,0.7081826146286312,220.34777282782133,193.89589569563248,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.3618272280634338,False
2034,1.5536077209641574,899.1173112264537,140.27404997754277,1339.8059247937308,0.7247528474399633,238.83507681559794,203.32532030655545,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.5360772096415745,False
2035,1.5695189870678554,899.2657686143631,140.54491762446,1344.154469779647,0.7413248679747999,258.15541056891703,212.2363318624696,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6951898706785542,False
2036,1.5839424568117715,899.138275306645,140.7916978384336,1348.3840749848111,0.7578689551123997,278.12378348608615,220.46922315693635,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8394245681177148,False
2037,1.5968947855352589,898.7391388078404,141.01216989528612,1352.4856133094595,0.7743563701873484,298.4735845805262,227.9709578118352,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9689478553525888,False
2038,1.6083902126666705,898.041866176768,141.20471337409026,1356.44946374374,0.7907592625525899,318.9323190102329,234.63751126388917,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0839021266667048,False
2039,1.6184396255776259,897.0518232291412,141.36799710703224,1360.265526871278,0.8070505665520329,339.1982704263181,240.62317159561502,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1843962557762588,False
2040,1.6270542546569127,895.7636652986017,141.50123506843354,1363.9237606442794,0.8232039764442891,358.9746192373594,246.0748403287019,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2705425465691267,False
2041,1.634245225658515,894.1833197873295,141.6038724999274,1367.4143083974911,0.8391939231425634,377.9791574690031,250.86615680777945,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3424522565851493,False
2042,1.6400264803502855,892.3595098932907,141.67603070950244,1370.727801544269,0.8549955856951671,396.0961558743973,254.9699796942707,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4002648035028553,False
2043,1.6445001011365776,890.731997450498,141.73605200237864,1373.8606662804596,0.8705855640604249,414.80420226714625,259.43777770150564,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4450010113657763,False
2044,1.6477647355360696,889.0646510156063,141.78615399014228,1376.8191601411722,0.8859432856184746,432.7898263446131,263.62279106200975,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4776473553606961,False
2045,1.6498754604329915,887.224348920504,141.82130229606955,1379.6068773741422,0.9010500220312768,450.0919645647696,267.29391477460035,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.498754604329915,False
2046,1.6508766711276817,885.3395299319354,141.84008066959893,1382.224056740636,0.9158882821241457,466.62211518089845,270.6639673641851,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5087667112768166,False
2047,1.6508208557374306,883.3474784782215,141.84325027178963,1384.6717705071885,0.930441970852016,482.31162554875516,273.5876707663591,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5082085573743065,False
2048,1.6497531829892274,881.2945477851493,141.83094255901565,1386.950755294055,0.9446962256578597,497.12411866026235,276.1446926725007,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4975318298922735,False
2049,1.6477215314563318,879.1694621999765,141.80403437226536,1389.0623615569373,0.9586374280795275,511.0345295176237,278.29687384644177,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4772153145633182,False
2050,1.6447714226987242,876.9949025951945,141.7632176134182,1391.008205863554,0.9722531391741247,524.0474912789017,280.0902124274509,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4477142269872423,False
