year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done,,,
2017,1.095932322,864.4234161,133.1182322,1261.80415,0.483252922,28.34076365,14.80774347,13.39951888,47.50738509,50.312,14,-4.040676775,FALSE,,-0.404067678,
2018,1.128984448,868.7123638,133.7260494,1266.703682,0.495715007,40.51606286,27.21182754,13.39951888,47.50738509,50.312,14,-3.710155518,FALSE,,-0.371015552,
2019,1.163736077,872.4974839,134.3050019,1271.673247,0.508602161,52.48260873,39.66782799,13.39951888,47.50738509,50.312,14,-3.362639227,FALSE,,-0.336263923,
2020,1.199904553,875.8042898,134.8505099,1276.686866,0.521936774,64.09375801,52.07845831,13.39951888,47.50738509,50.312,14,-3.000954474,FALSE,,-0.300095447,
2021,1.237323594,878.8054797,135.3690142,1281.720726,0.535736268,76.52582162,64.19261843,13.39951888,47.50738509,50.312,14,-2.626764064,FALSE,,-0.262676406,
2022,1.272962691,881.674085,135.8710507,1286.758662,0.549985589,91.59602224,76.37693119,13.39951888,47.50738509,50.312,14,-2.270373085,FALSE,,-0.227037309,
2023,1.306842095,884.3631716,136.3596862,1291.790793,0.564640811,109.5551792,88.60406902,13.39951888,47.50738509,50.312,14,-1.931579049,FALSE,,-0.193157905,
2024,1.338959267,886.7034483,136.8295713,1296.807163,0.579659116,130.8627452,100.4974484,13.39951888,47.50738509,50.312,14,-1.610407325,FALSE,,-0.161040733,
2025,1.369297024,888.7799899,137.2759979,1301.793935,0.594998214,155.3364032,112.2434189,13.39951888,47.50738509,50.312,14,-1.307029758,FALSE,,-0.130702976,
2026,1.397829667,890.2911542,137.692393,1306.736003,0.610616394,183.2072175,123.1633131,13.39951888,47.50738509,50.312,14,-1.021703326,FALSE,,-0.102170333,
2027,1.424511258,891.4035106,138.0732977,1311.613106,0.626471847,213.74391,133.5117035,13.39951888,47.50738509,50.312,14,-0.754887421,FALSE,,-0.075488742,
2028,1.449310041,892.0076681,138.4159385,1316.405204,0.642522961,246.1507392,143.0004241,13.39951888,47.50738509,50.312,14,-0.506899589,FALSE,,-0.050689959,
2029,1.472182079,892.0458581,138.715635,1321.090596,0.65872816,279.3132771,152.413074,13.39951888,47.50738509,50.312,14,-0.278179205,FALSE,,-0.027817921,
2030,1.493082906,891.5532619,138.9691524,1325.646111,0.675045787,311.8399757,161.5549627,13.39951888,47.50738509,50.312,14,-0.069170945,FALSE,,-0.006917094,
2031,1.511978618,890.4661772,139.1751155,1330.04904,0.691434263,342.7046611,169.9911545,13.39951888,47.50738509,50.312,14,-0.11978618,FALSE,,0.011978618,
2032,1.528875541,889.1594052,139.3407359,1334.27876,0.707852369,371.776131,178.009498,13.39951888,47.50738509,50.312,14,-0.288755415,FALSE,,0.028875541,
2033,1.54381654,887.46019,139.4711584,1338.322707,0.724260454,398.5602504,185.1067324,13.39951888,47.50738509,50.312,14,-0.438165404,FALSE,,0.04381654,
2034,1.556825622,885.4557509,139.5655306,1342.168952,0.740620192,422.5380391,191.144701,13.39951888,47.50738509,50.312,14,-0.568256225,FALSE,,0.056825622,
2035,1.567950078,883.2077221,139.627451,1345.807692,0.756894735,443.5324385,196.0455527,13.39951888,47.50738509,50.312,14,-0.679500778,FALSE,,0.067950078,
