year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959322196361339,864.423416025478,133.11823225894207,1261.80415040753,0.48325292223941435,28.34858781063544,14.809583254336818,13.39951888220142,47.50738509341707,50.312000000000005,12,-4.040677803638662,False
2018,1.1289846412945046,868.7309260696419,133.72612857345285,1266.7036834725131,0.49571500537461316,40.6153910001883,27.157974151757816,13.39951888220142,47.50738509341707,50.312000000000005,12,-3.710153587054954,False
2019,1.1637362491782273,872.4983315844398,134.30488926994985,1271.6733594253171,0.5086021762097397,52.70380995014513,39.523341193535586,13.39951888220142,47.50738509341707,50.312000000000005,2,-3.3626375082177273,False
2020,1.1999014190610595,875.7815431445374,134.8497688639437,1276.6867578930044,0.521936771014343,64.19743459173978,51.88445093708705,13.39951888220142,47.50738509341707,50.312000000000005,2,-3.000985809389405,False
2021,1.2373151863881355,878.7897864374553,135.36782689484798,1281.7199062082857,0.5357361459704408,76.64075672248423,64.01192429687678,13.39951888220142,47.50738509341707,50.312000000000005,2,-2.6268481361186446,False
2022,1.2729505645044348,881.6596877118831,135.8698800067868,1286.7570981971783,0.5499852648237472,91.72775234389434,76.20087381053243,13.39951888220142,47.50738509341707,50.312000000000005,2,-2.270494354955652,False
2023,1.3068268356022752,884.3494569362438,136.35854279038688,1291.7885528787995,0.5646402219425924,109.70505699239514,88.43461396053881,13.39951888220142,47.50738509341707,50.312000000000005,2,-1.931731643977248,False
2024,1.338941220804785,886.6897898494948,136.82842571115233,1296.804302372336,0.5796582150288063,128.72648627361872,100.5325728925738,13.39951888220142,47.50738509341707,50.312000000000005,12,-1.6105877919521494,False
2025,1.3692756834223978,888.750153811388,137.2746165351696,1301.790476020667,0.5949969523895594,139.35984921745154,113.18712141439664,13.39951888220142,47.50738509341707,50.312000000000005,12,-1.307243165776022,False
2026,1.3978565150681403,890.644319416737,137.70223645549166,1306.7345568883457,0.6106150355227555,151.04202950197202,125.68477032623274,13.39951888220142,47.50738509341707,50.312000000000005,12,-1.0214348493185965,False
2027,1.4247096108857638,892.2556046130168,138.11045464623407,1311.6271335072067,0.6264725369088145,163.8707611804535,137.84060276950345,13.39951888220142,47.50738509341707,50.312000000000005,12,-0.7529038911423624,False
2028,1.4498531700810717,893.6309609825856,138.4975488430916,1316.4576415137628,0.6425306572563614,177.75663435670032,149.68841092584046,13.39951888220142,47.50738509341707,50.312000000000005,12,-0.5014682991892827,False
2029,1.4733050725716217,894.7633821551412,138.86165174716848,1321.2154577572644,0.6587517726418891,192.6043722982817,161.16233632010767,13.39951888220142,47.50738509341707,50.312000000000005,12,-0.2669492742837831,False
2030,1.4950749172675166,895.4595734373396,139.1992719646257,1325.8893207276544,0.6750993315245629,208.51492420541265,171.86187516700343,13.39951888220142,47.50738509341707,50.312000000000005,12,-0.04925082732483377,False
2031,1.5151566963221421,895.8928226450607,139.5070549263314,1330.4649453589234,0.6915373917843168,225.23456959240616,182.0276447307279,13.39951888220142,47.50738509341707,50.312000000000005,12,0.15156696322142116,False
2032,1.5335894198594346,896.1332309016635,139.7908049318735,1334.9308503917316,0.7080310914824617,242.9035175473152,191.81258420194766,13.39951888220142,47.50738509341707,50.312000000000005,12,0.33589419859434644,False
2033,1.5504121356999394,896.1128564459711,140.05125790447823,1339.2788351729632,0.7245470976619132,261.4112141308533,201.08095800751312,13.39951888220142,47.50738509341707,50.312000000000005,12,0.5041213569993941,False
2034,1.5656513373625816,895.8334170348768,140.28645471168815,1343.5003515567928,0.741053356466068,280.5426411055741,209.8064858025782,13.39951888220142,47.50738509341707,50.312000000000005,12,0.6565133736258155,False
2035,1.5793274287074353,895.2480138036377,140.49418650739162,1347.586232716684,0.7575189342391938,300.08853788508037,217.86053940079879,13.39951888220142,47.50738509341707,50.312000000000005,12,0.7932742870743525,False
