year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959323224876352,864.4234161017436,133.1182322209503,1261.8041503909626,0.48325292217604565,28.34076364586717,14.807743468832602,13.39951888220142,47.50738509341707,50.312000000000005,2,-4.040676775123648,False
2018,1.1289844481980147,868.7123637540993,133.726049387233,1266.7036820434703,0.49571500716957895,40.51606285565803,27.211827540877785,13.39951888220142,47.50738509341707,50.312000000000005,2,-3.710155518019853,False
2019,1.1637360773396483,872.4974839186306,134.30500190337486,1271.6732468902626,0.5086021606984708,52.48260872978348,39.6678279892505,13.39951888220142,47.50738509341707,50.312000000000005,2,-3.3626392266035166,False
2020,1.1999045525951337,875.8042897780088,134.85050994718972,1276.6868663600471,0.521936773842234,64.0937580099836,52.07845831184214,13.39951888220142,47.50738509341707,50.312000000000005,2,-3.0009544740486627,False
2021,1.2373235934337607,878.8054664614359,135.3690141465574,1281.720726156101,0.5357362677358669,76.52583187006896,64.19266450441016,13.39951888220142,47.50738509341707,50.312000000000005,2,-2.6267640656623925,False
2022,1.272962664979683,881.6738828846962,135.8710451177182,1286.7586609406167,0.5499855886214876,91.59623884637304,76.37763753932545,13.39951888220142,47.50738509341707,50.312000000000005,2,-2.2703733502031698,False
2023,1.3068419812865395,884.362487096462,136.35965996526193,1291.79078137439,0.5646408129612015,108.60140820100469,88.69140286030483,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.931580187134605,False
2024,1.3389599946942776,886.7399519296348,136.82983190063803,1296.8071368880153,0.5796591148123564,119.09299801432856,101.37659911871265,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6104000530572238,False
2025,1.369333117069878,888.9860488092896,137.2833821744102,1301.7961635802724,0.594998500345799,129.44631651936976,114.0544617833344,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3066688293012207,False
2026,1.3979903439127201,890.9706570811497,137.7203097040422,1306.749141570911,0.6106184155883053,142.59816709291485,126.24009513282817,13.39951888220142,47.50738509341707,50.312000000000005,2,-1.0200965608727985,False
2027,1.4249533579207216,892.7408713423039,138.1393533497271,1311.6564462982149,0.6264795142513098,170.59175992941243,136.77478192969562,13.39951888220142,47.50738509341707,50.312000000000005,2,-0.7504664207927836,False
2028,1.4502019825317058,894.0588008006794,138.52966866155936,1316.506175947821,0.6425434206779513,201.66050956151594,146.84301611413204,13.39951888220142,47.50738509341707,50.312000000000005,2,-0.49798017468294153,False
2029,1.4736649903003374,894.5719732256142,138.87717217671195,1321.2785256572301,0.6587715920214758,235.3770713148094,157.05006505311323,13.39951888220142,47.50738509341707,50.312000000000005,2,-0.26335009699662626,False
2030,1.4952739316556174,894.7196548159714,139.17913947964516,1325.9466773224294,0.6751245264208267,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,2,-0.04726068344382606,False
2031,1.5149961733804767,894.3037645964981,139.43541936813185,1330.4882532079087,0.6915628476069648,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,0.14996173380476652,False
2032,1.5329450066602472,894.2896776093859,139.67746168493446,1334.8886655460997,0.708048130252817,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,0.32945006660247245,False
2033,1.5493235327348385,894.531325634004,139.92591856981633,1339.1570653534313,0.7245464523232501,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,0.4932353273483847,False
2034,1.5642987604200804,894.9902843370576,140.1837301159675,1343.3080352612628,0.7410281586431834,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,0.6429876042008043,False
2035,1.5780096357745388,895.6095515814537,140.44910125464105,1347.3553644341168,0.7574672237561005,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,0.7800963577453879,False
2036,1.5905750655319104,896.3419154200121,140.72007953903864,1351.310533526671,0.7738406681527547,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,0.9057506553191041,False
2037,1.6020852150083036,897.1204487761486,140.9926034447014,1355.1822372892266,0.7901280553822652,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.0208521500830359,False
2038,1.612613403072718,897.9136920750751,141.26395086814335,1358.9761614586757,0.8063109493639125,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.1261340307271794,False
2039,1.6222217132250882,898.7061251667836,141.5323247864811,1362.696088767562,0.8223726044148312,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.2222171322508824,False
2040,1.6309617385771051,899.4847474639904,141.79605861964498,1366.344432043449,0.8382977510952347,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.3096173857710514,False
2041,1.638875923050479,900.2484462313117,142.053567565488,1369.9223805878437,0.8540723275967629,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.3887592305047902,False
2042,1.6460874867284374,901.4218550806273,142.32240235573124,1373.4352216321954,0.8696839875414172,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.460874867284374,False
2043,1.652703552027272,902.7075662285567,142.60260691252086,1376.8966340224088,0.8851232494070176,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.5270355202727193,False
2044,1.6587908695737914,904.1145756887936,142.8903152260517,1380.3161153108103,0.9003824054542151,270.04274327724954,167.27663160572465,13.39951888220142,47.50738509341707,50.312000000000005,5,1.587908695737914,False
