year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959322196361339,864.423416025478,133.11823225894207,1261.80415040753,0.48325292223941435,28.34858781063544,14.809583254336818,13.39951888220142,47.50738509341707,50.312000000000005,4,-4.040677803638662,False
2018,1.1289846412945046,868.7309260696419,133.72612857345285,1266.7036834725131,0.49571500537461316,40.6153910001883,27.157974151757816,13.39951888220142,47.50738509341707,50.312000000000005,4,-3.710153587054954,False
2019,1.1637362935621354,872.4983316180504,134.30488923119626,1271.6733594401915,0.5086021763473155,52.77450236473875,39.53791365096741,13.39951888220142,47.50738509341707,50.312000000000005,4,-3.3626370643786463,False
2020,1.1999013155903182,875.7749601627883,134.84972940567263,1276.6867569611056,0.5219367715837161,64.75013751035861,51.90807040765683,13.39951888220142,47.50738509341707,50.312000000000005,4,-3.000986844096818,False
2021,1.2373134388312637,878.7824414280569,135.36750277692724,1281.719769168053,0.535736127334042,76.38632525758081,64.21955082945708,13.39951888220142,47.50738509341707,50.312000000000005,4,-2.6268656116873634,False
2022,1.2729528627925504,881.7152350013495,135.8707348266926,1286.756983536708,0.5499852289486709,88.16336783743485,76.81662795917447,13.39951888220142,47.50738509341707,50.312000000000005,4,-2.2704713720744962,False
2023,1.3068372264634025,884.3709842544216,136.36005119579931,1291.7895337404182,0.5646403396444266,99.41309991973473,89.38320710808404,13.39951888220142,47.50738509341707,50.312000000000005,4,-1.931627735365975,False
2024,1.3389841112146683,886.9437209081982,136.83602265183202,1296.8076844204031,0.5796587565799463,110.64464905591319,102.1209960005851,13.39951888220142,47.50738509341707,50.312000000000005,4,-1.6101588878533168,False
2025,1.3694195165179304,889.2236707020969,137.29715634491538,1301.8037852274858,0.5949992383670732,121.18467817769724,114.64812547499182,13.39951888220142,47.50738509341707,50.312000000000005,4,-1.3058048348206963,False
2026,1.398164375862508,891.3981789201723,137.74291085203797,1306.7682164655305,0.6106216433522876,131.95912749307786,127.19187738988387,13.39951888220142,47.50738509341707,50.312000000000005,4,-1.0183562413749203,False
2027,1.4252463785204736,893.3166632677373,138.17162243940055,1311.6929503373917,0.6264872964030115,131.95912749307786,127.19187738988387,13.39951888220142,47.50738509341707,50.312000000000005,15,-0.7475362147952636,False
2028,1.450756560627073,895.3812890162354,138.5969254912826,1316.572310074181,0.6425590947506986,158.00479124053015,138.20425879236606,13.39951888220142,47.50738509341707,50.312000000000005,8,-0.4924343937292708,False
2029,1.4747012241711634,896.9179702595534,139.00147113327088,1321.4037837784783,0.6588022944381992,172.23071702022432,150.21590303882,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.2529877582883655,False
2030,1.4970511036255578,898.1127795611807,139.37761865021008,1326.172399102305,0.6751820960012914,187.5870825200074,161.64571456922698,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.02948896374442178,False
2031,1.5177982741975082,898.9581704532648,139.72425801273693,1330.8628969035626,0.6916641448349262,203.98018857552597,172.49051694633522,13.39951888220142,47.50738509341707,50.312000000000005,4,0.17798274197508235,False
2032,1.5369634750478136,899.6239874081035,140.04603366379152,1335.4617103577561,0.7082148080424476,221.45506771416524,183.05451700712106,13.39951888220142,47.50738509341707,50.312000000000005,4,0.3696347504781361,False
2033,1.5545767994787456,899.9798866448132,140.34393222754852,1339.9592535113727,0.7248017605967236,239.98434591791147,193.0933783573228,13.39951888220142,47.50738509341707,50.312000000000005,4,0.5457679947874561,False
2034,1.5706512787484816,900.065345615056,140.6154707181974,1344.345079904906,0.7413936703351052,259.34071960239163,202.64422806545798,13.39951888220142,47.50738509341707,50.312000000000005,4,0.7065127874848165,False
2035,1.5851973526120966,899.8036378556205,140.8583385106132,1348.6083898400889,0.7579601112679484,279.3475819073961,211.52474582495867,13.39951888220142,47.50738509341707,50.312000000000005,4,0.851973526120966,False
2036,1.598215011503349,899.2011200799366,141.0696843152243,1352.7369383977104,0.7744713210360393,299.7360908261857,219.6876186768531,13.39951888220142,47.50738509341707,50.312000000000005,4,0.982150115033491,False
2037,1.6097027309346998,898.2292850823849,141.2475441233999,1356.7179186177498,0.7908981301525079,320.234595772372,227.00688737822418,13.39951888220142,47.50738509341707,50.312000000000005,4,1.0970273093469984,False
2038,1.6196571402499098,896.8976149805653,141.39045653034393,1360.5380805641166,0.8072118792868537,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,4,1.196571402499098,False
2039,1.6280794307951918,895.2672867027145,141.49822005716197,1364.1844998407,0.8233844400783986,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,5,1.280794307951918,False
2040,1.6350565616705486,893.760577017552,141.58812716409284,1367.649998325033,0.8393889276527726,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,5,1.3505656167054858,False
2041,1.6407145822314448,892.3843487783518,141.67096661063982,1370.9392604632344,0.8552013205711276,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,13,1.4071458223144484,False
2042,1.6452526932875837,891.5301072662965,141.76753405206793,1374.0656401868541,0.8708011050521777,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,13,1.4525269328758372,False
2043,1.6488434693907827,890.9102564068205,141.8784653908783,1377.0512133567067,0.8861721762807212,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,13,1.4884346939078275,False
2044,1.6516150705048716,890.5050514435965,142.00046526243398,1379.9138635393933,0.9013016445415035,340.54263612969356,233.43667275209913,13.39951888220142,47.50738509341707,50.312000000000005,13,1.5161507050487155,False
