#{"t_start": 1744514820.9868033, "env_id": "None"}
r,l,t
-202.591018,85,1.23026
-156.476291,85,1.602555
-157.830051,85,1.8742
-136.420338,85,2.14244
-166.329778,85,2.418335
-50.173657,31,2.593811
-58.958214,35,2.776347
-210.958183,85,3.044433
-166.277395,85,3.327503
-49.494381,29,3.493966
170.034817,85,3.766025
-71.085158,34,3.943717
-33.833925,85,4.215973
-60.103934,30,4.382274
-55.135155,32,4.552849
-73.77697,32,4.730986
-167.33519,85,5.003577
-187.250005,85,5.284213
-137.64742,85,5.55157
-196.943452,85,5.817186
-191.912011,85,6.091331
-53.529631,31,6.26758
991.260371,85,6.54775
996.055913,85,6.821158
-44.727115,85,7.0906
-61.411011,32,7.269463
-55.370293,30,7.443265
-41.383367,85,7.71906
-185.893027,85,7.984185
-59.954886,34,8.167801
-155.63583,85,8.452773
-155.813073,85,8.729722
-198.981341,85,9.012438
165.430152,85,9.30407
-162.361455,85,9.600377
-144.903049,85,9.921875
-43.658814,27,10.095311
-60.144946,31,10.276563
-160.531472,85,10.56416
-57.031102,28,10.739023
-54.698393,30,10.920415
-156.509535,85,11.229312
-195.177826,85,11.522875
-153.348145,85,11.814416
-201.582063,85,12.112105
-189.997701,85,12.427948
-177.507104,85,12.712188
-51.867988,30,12.88451
-169.188279,85,13.184225
-156.535335,85,13.484302
-172.597028,85,13.794905
491.446317,85,14.102501
358.560431,85,14.40847
-157.511584,85,14.704175
-145.111016,85,15.000439
-156.672911,85,15.296578
-200.775777,85,15.597404
990.499887,85,15.916131
-52.593357,29,16.092306
-44.65458,85,16.397882
372.165441,85,16.697073
158.846835,85,16.987956
-58.416728,33,17.182273
-200.411552,85,17.478376
-203.766903,85,17.792304
-51.558328,31,17.976593
-56.773296,33,18.174191
-157.882438,85,18.514796
-61.218468,33,18.70751
-164.0433,85,19.01
-70.767025,32,19.191741
982.698384,85,19.495724
-57.766235,30,19.678285
-62.117686,32,19.863413
-46.94747,85,20.180231
-57.895458,27,20.362845
-43.074486,85,20.659943
-59.578655,32,20.842426
-51.594845,30,21.022805
-166.363231,85,21.334328
275.362197,85,21.640604
755.730954,85,21.948255
-160.0754,85,22.238992
980.188297,85,22.559605
-173.287645,85,22.872145
-57.530727,30,23.055298
-188.905072,85,23.367865
683.684562,85,23.669636
-62.434252,31,23.856592
-50.773007,31,24.035438
-61.181805,33,24.220855
173.196985,85,24.515515
983.314876,85,24.819722
-58.065165,29,25.006226
-142.477245,85,25.295686
564.202065,85,25.609678
-201.68037,85,25.906993
979.095355,85,26.211174
774.29195,85,26.519246
-62.4595,31,26.700465
-56.389255,31,26.89138
-143.737174,85,27.206305
-51.687893,30,27.393026
-54.901006,30,27.572797
790.761559,85,27.881149
993.876611,85,28.18071
-53.02858,29,28.369112
-61.143486,30,28.555557
869.784397,85,28.876104
-56.756248,30,29.072903
-57.829514,27,29.247095
-52.637429,30,29.434721
852.842366,85,29.768516
968.757456,85,30.082323
-60.993137,33,30.27183
146.297341,85,30.589635
961.731221,85,30.898398
-66.818268,30,31.082685
355.652424,85,31.38486
356.791213,85,31.696121
861.092733,85,32.020637
458.667086,85,32.334646
-56.812041,29,32.510616
-187.131319,85,32.817733
-74.496083,36,33.014453
-177.643893,85,33.343855
-54.879601,28,33.524977
-55.658945,27,33.696181
-53.714521,28,33.872448
-33.665732,85,34.194715
-180.965773,85,34.530849
351.655712,85,34.846822
995.595264,85,35.170381
-181.27143,85,35.499782
-53.913306,28,35.67977
-153.036465,85,35.996491
977.913074,85,36.309087
976.820769,85,36.626942
-77.000408,31,36.817469
-69.449627,33,37.003386
-63.46959,30,37.191029
66.718111,85,37.504181
985.362966,85,37.815668
841.690234,85,38.13261
-75.101735,34,38.336763
-163.984163,85,38.638651
-69.767527,34,38.842667
-180.639617,85,39.159017
-66.111532,30,39.359015
-67.469287,29,39.548986
-196.231526,85,39.880329
969.76732,85,40.190939
971.602853,85,40.507474
-67.309865,27,40.690997
962.355002,85,41.007408
-126.579095,85,41.338135
-182.242354,85,41.66067
-239.440082,85,41.975285
942.603666,85,42.305711
-204.93085,85,42.626989
961.862518,85,42.939214
-59.912244,31,43.12348
-70.743063,30,43.310649
-54.74108,27,43.497013
950.140732,85,43.816082
-158.631941,85,44.148373
-151.853453,85,44.461426
-194.577287,85,44.763444
948.571069,85,45.097218
-34.76581,85,45.417771
945.492721,85,45.753208
435.446255,85,46.072727
961.528231,85,46.404839
960.67828,85,46.730932
-227.930274,85,47.052805
-215.372084,85,47.378846
