time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
1,85.0,85,0,0.9967699999999999,-202.591018,273,,,
2,85.0,170,0,0.9935399999999999,-179.5336545,248,17,0.0001,106.20928955078125
3,85.0,255,0,0.9903099999999998,-172.29912000000002,267,38,0.0001,89.12722778320312
4,85.0,340,1,0.9870799999999997,-163.32942450000002,278,59,0.0001,66.77700805664062
5,85.0,425,1,0.9838499999999997,-163.92949520000002,283,81,0.0001,60.295230865478516
6,76.0,456,1,0.9826719999999995,-144.97018883333337,272,88,0.0001,44.364707946777344
7,70.14285714285714,491,1,0.9813420000000004,-132.68276385714287,264,97,0.0001,55.477935791015625
8,72.0,576,2,0.9781120000000003,-142.46719124999998,271,118,0.0001,37.088722229003906
9,73.44444444444444,661,2,0.9748820000000002,-145.11276944444444,275,140,0.0001,27.417102813720703
10,69.0,690,2,0.9737800000000001,-135.5509306,268,147,0.0001,26.470556259155273
11,70.45454545454545,775,2,0.9705500000000001,-107.77040809090909,272,168,0.0001,11.272636413574219
12,67.41666666666667,809,3,0.9692579999999998,-104.71330391666667,266,177,0.0001,13.101789474487305
13,68.76923076923077,894,3,0.9660279999999998,-99.261044,271,198,0.0001,2.497364044189453
14,66.0,924,3,0.9648879999999997,-96.46410757142857,267,205,0.0001,6.713263034820557
15,63.733333333333334,956,3,0.9636719999999995,-93.70884406666666,263,213,0.0001,12.556641578674316
16,61.75,988,3,0.9624560000000004,-92.4631019375,259,221,0.0001,1.870224952697754
17,63.11764705882353,1073,4,0.9592260000000004,-96.86734241176471,262,243,0.0001,3.073212146759033
18,64.33333333333333,1158,4,0.9559960000000003,-101.88860144444445,265,264,0.0001,1.4284342527389526
19,65.42105263157895,1243,4,0.9527660000000002,-103.77064452631579,268,285,0.0001,5.343466758728027
20,66.4,1328,4,0.9495360000000002,-108.42928490000001,271,306,0.0001,6.162380218505859
21,67.28571428571429,1413,5,0.9463060000000001,-112.40465280952382,273,328,0.0001,2.078463077545166
22,65.63636363636364,1444,5,0.945128,-109.72851545454546,269,335,0.0001,5.627593517303467
23,66.47826086956522,1529,5,0.9418979999999999,-61.859433434782616,271,357,0.0001,7.9695611000061035
24,67.25,1614,5,0.9386679999999998,-17.779627333333327,273,378,0.0001,1.3125215768814087
25,67.96,1699,6,0.9354379999999998,-18.857526839999995,275,399,0.0001,0.9548423290252686
26,66.57692307692308,1731,6,0.9342219999999997,-20.494199307692305,272,407,0.0001,4.4965057373046875
27,65.22222222222223,1761,6,0.9330819999999995,-21.785906481481476,269,415,0.0001,10.344320297241211
28,65.92857142857143,1846,6,0.9298520000000006,-22.485815785714284,271,436,0.0001,1.265088677406311
29,66.58620689655173,1931,7,0.9266220000000005,-28.120547206896546,273,457,0.0001,1.1695117950439453
30,65.5,1965,7,0.9253300000000002,-29.18169183333333,271,466,0.0001,1.4092892408370972
31,66.12903225806451,2050,7,0.9221000000000001,-33.26085758064515,272,487,0.0001,1.5947797298431396
32,66.71875,2135,7,0.9188700000000001,-37.0906143125,273,508,0.0001,13.075851440429688
33,67.27272727272727,2220,8,0.91564,-41.996393909090905,274,529,0.0001,3.8978238105773926
34,67.79411764705883,2305,8,0.9124099999999999,-35.895613147058825,275,551,0.0001,7.164777755737305
35,68.28571428571429,2390,8,0.9091799999999999,-39.50892291428571,275,572,0.0001,0.9926661252975464
36,68.75,2475,9,0.9059499999999998,-42.43653752777778,274,593,0.0001,0.7183794975280762
37,67.62162162162163,2502,9,0.9049239999999998,-42.46957202702703,272,600,0.0001,4.039076328277588
38,66.65789473684211,2533,9,0.9037459999999997,-42.934713447368416,270,608,0.0001,4.405393600463867
39,67.12820512820512,2618,9,0.9005159999999997,-45.95001494871794,271,629,0.0001,1.2739022970199585
40,66.15,2646,9,0.8994519999999997,-46.227042125000004,269,636,0.0001,3.9012234210968018
41,65.26829268292683,2676,10,0.8983119999999996,-46.43366043902439,267,643,0.0001,4.286376953125
42,65.73809523809524,2761,10,0.8950819999999995,-49.054514595238096,267,665,0.0001,0.934441089630127
43,66.18604651162791,2846,10,0.8918520000000005,-52.45273113953488,268,686,0.0001,7.257091522216797
44,66.61363636363636,2931,10,0.8886220000000005,-54.745808727272724,269,707,0.0001,3.5519278049468994
45,67.02222222222223,3016,11,0.8853920000000004,-58.008836599999995,269,728,0.0001,0.8913382887840271
46,67.41304347826087,3101,11,0.8821620000000003,-60.87815973913043,269,750,0.0001,3.9476840496063232
47,67.7872340425532,3186,11,0.8789320000000003,-63.35962663829787,270,771,0.0001,1.0638809204101562
48,67.0,3216,11,0.8777920000000001,-63.1202175,268,778,0.0001,3.906980276107788
49,67.36734693877551,3301,12,0.8745620000000001,-65.28487181632653,269,800,0.0001,6.758448123931885
50,67.72,3386,12,0.871332,-67.10988108000001,269,821,0.0001,0.6828370094299316
51,68.05882352941177,3471,12,0.8681019999999999,-69.17825650980393,269,842,0.0001,1.2955156564712524
52,68.38461538461539,3556,13,0.8648719999999999,-58.39701471153847,269,863,0.0001,0.9897030591964722
53,68.69811320754717,3641,13,0.8616419999999998,-50.529893094339634,269,885,0.0001,10.09130859375
54,69.0,3726,13,0.8584119999999997,-52.511035518518526,270,906,0.0001,0.948378324508667
55,69.2909090909091,3811,14,0.8551819999999997,-54.19467152727273,270,927,0.0001,0.7441895008087158
56,69.57142857142857,3896,14,0.8519519999999996,-56.02464008928572,271,948,0.0001,7.010631561279297
57,69.84210526315789,3981,14,0.8487219999999995,-58.56413371929825,271,970,0.0001,1.2071552276611328
58,70.10344827586206,4066,14,0.8454919999999995,-40.47682301724139,271,991,0.0001,7.412343502044678
59,69.40677966101696,4095,15,0.8443900000000005,-40.68218800000001,269,998,0.0001,7.440856456756592
