#{"t_start": 1744527226.6520722, "env_id": "None"}
r,l,t
64.509704,85,1.451923
91.001932,85,1.84962
-6.530764,30,2.060825
-8.71607,29,2.277508
69.731326,85,2.592084
-6.012938,31,2.826471
108.050427,85,3.126236
55.744138,85,3.428807
-2.528307,33,3.627723
83.286049,85,3.958159
-9.146534,30,4.155709
93.289912,85,4.457213
76.377543,85,4.767428
63.991105,85,5.106382
54.979477,85,5.410779
3.466795,35,5.615412
95.948937,85,5.920769
112.366163,85,6.260198
94.853757,85,6.594313
68.219586,85,6.90641
57.40227,85,7.216337
2.363391,34,7.420466
94.549033,85,7.742788
-13.380432,26,7.923225
-10.072804,28,8.114114
-12.564342,28,8.311249
62.189687,85,8.62294
-3.498212,32,8.836613
120.957291,85,9.159116
73.471256,85,9.47571
-5.888577,31,9.686906
-5.811996,31,9.896521
66.984157,85,10.272039
87.125993,85,10.637647
-5.700515,31,10.853899
84.399952,85,11.230045
56.439068,85,11.586265
-5.370187,31,11.801044
-6.304598,30,12.005116
-11.352094,28,12.231403
-9.420349,29,12.442868
60.954557,85,12.799185
-2.530314,32,13.002524
-10.584552,28,13.214347
-0.742024,33,13.448217
-10.166805,28,13.672446
-6.049601,30,13.896381
-11.052209,28,14.108338
-9.216677,29,14.365765
-12.93808,27,14.602263
-11.02718,28,14.841322
-10.698066,28,15.067974
-13.525796,27,15.325061
-11.156252,28,15.574391
63.272406,85,15.920316
-7.061693,30,16.133215
84.219121,85,16.4704
-10.729543,28,16.673795
-4.899931,31,16.880072
63.965713,85,17.244875
98.659224,85,17.619397
-5.918285,31,17.857888
54.641807,85,18.207448
53.515418,85,18.566024
-13.747048,26,18.781221
-10.908875,28,18.982891
-7.970142,30,19.204087
-8.143708,30,19.41293
95.453307,85,19.74259
109.641904,85,20.090341
-8.29491,30,20.27448
61.243271,85,20.602594
-11.024013,28,20.787368
70.761779,85,21.084336
-13.044568,27,21.270072
-1.035563,33,21.467826
-8.528324,30,21.669052
-1.846151,32,21.852669
-12.209893,28,22.030478
103.618961,85,22.357263
91.729972,85,22.670885
-5.850134,31,22.867592
-13.158425,26,23.051155
-9.949341,29,23.247783
-7.910092,30,23.431602
57.49781,85,23.742057
-4.010582,32,23.930726
100.309671,85,24.259461
68.850908,85,24.581779
66.92918,85,24.889493
-3.250661,32,25.074605
0.007255,33,25.276528
-14.178811,26,25.460408
68.354954,85,25.761373
-4.465365,32,25.950774
-14.140934,26,26.144445
-12.388663,27,26.325684
95.89168,85,26.65771
-4.653087,31,26.852084
-7.566163,30,27.044463
-10.639152,28,27.240444
-6.375137,31,27.426613
-11.073624,28,27.618299
105.55117,85,27.918061
-3.302385,32,28.119416
-2.358168,33,28.323085
57.201928,85,28.624266
-11.885537,27,28.8206
-12.403871,27,29.00861
-5.566629,31,29.20346
-9.816805,29,29.379953
-7.040973,30,29.565609
61.775249,85,29.876211
59.283523,85,30.193648
59.611131,85,30.595797
44.52622,85,30.926021
-10.683778,28,31.122095
44.289272,85,31.468868
65.287955,85,31.803535
-6.504344,30,31.998325
82.654545,85,32.294312
-14.497462,26,32.470687
-13.81435,26,32.646025
1.160439,33,32.83804
93.30418,85,33.145226
-11.441424,28,33.330418
-0.600455,34,33.525194
-10.009262,29,33.713747
-8.995031,29,33.906311
-12.020166,27,34.106667
-4.737555,31,34.292802
-7.129016,30,34.487864
66.654571,85,34.808145
-10.651534,28,34.998771
-12.039521,28,35.199904
-13.182554,27,35.501893
-10.855358,28,35.686494
-11.477167,28,35.866058
91.987353,85,36.163975
51.531282,85,36.454648
92.423438,85,36.760543
40.329192,85,37.06303
-13.246163,27,37.24548
-5.170739,31,37.458004
-4.459414,31,37.646026
64.028546,85,37.933003
-13.730327,26,38.105141
107.196786,85,38.411878
-13.653253,26,38.590284
67.272292,85,38.884313
-13.004285,27,39.06147
86.228622,85,39.378187
-12.915064,27,39.556
70.82621,85,39.872232
-11.379957,28,40.050388
-0.20692,34,40.255905
-1.376774,33,40.476692
-4.27839,31,40.695929
-13.024637,27,40.889797
-11.508021,28,41.10371
-0.163165,33,41.328321
-11.50993,28,41.527992
-13.036005,27,41.712694
-10.946701,28,41.902876
-11.395649,28,42.11577
-11.603789,27,42.328405
-12.941911,27,42.559497
-12.952427,27,42.752767
-6.432948,30,42.960272
63.129089,85,43.318052
54.939044,85,43.668614
-9.410355,29,43.996289
-12.554841,27,44.220796
-10.153126,29,44.552552
-9.864959,29,44.778448
-9.854939,29,45.004406
