time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
85,0,1,0.9967699999999999,64.509704,273,85.0,,,
170,0,2,0.9935399999999999,77.755818,232,85.0,55.3106803894043,0.0001,17
200,0,3,0.9923999999999998,49.66029066666667,210,66.66666666666667,44.5850944519043,0.0001,24
229,1,4,0.9912979999999998,35.0662005,196,57.25,47.20703887939453,0.0001,32
314,1,5,0.9880679999999997,41.9992256,209,62.8,49.390743255615234,0.0001,53
345,1,6,0.9868899999999996,33.99719833333334,202,57.5,38.129676818847656,0.0001,61
430,2,7,0.9836599999999995,44.576231,214,61.42857142857143,32.945411682128906,0.0001,82
515,2,8,0.9804300000000005,45.972219375,224,64.375,21.569143295288086,0.0001,103
548,2,9,0.9791760000000003,40.583272,219,60.888888888888886,24.43122100830078,0.0001,111
633,2,10,0.9759460000000002,44.8535497,222,63.3,13.679595947265625,0.0001,133
663,3,11,0.9748060000000002,39.94445118181819,218,60.27272727272727,21.878925323486328,0.0001,140
748,3,12,0.971576,44.38990625,224,62.333333333333336,13.311216354370117,0.0001,161
833,3,13,0.968346,46.8504936923077,227,64.07692307692308,6.411457061767578,0.0001,183
918,3,14,0.965116,48.074823071428575,230,65.57142857142857,9.102947235107422,0.0001,204
1003,4,15,0.9618859999999998,48.535133333333334,234,66.86666666666666,4.5264482498168945,0.0001,225
1038,4,16,0.9605559999999995,45.718362187500006,231,64.875,4.00675630569458,0.0001,234
1123,4,17,0.9573259999999996,48.673101882352945,233,66.05882352941177,7.205150604248047,0.0001,255
1208,5,18,0.9540960000000005,52.211605277777785,234,67.11111111111111,3.7200393676757812,0.0001,276
1293,5,19,0.9508660000000004,54.45592905263159,236,68.05263157894737,1.917614221572876,0.0001,298
1378,5,20,0.9476360000000004,55.144111900000006,238,68.9,1.6062449216842651,0.0001,319
1463,6,21,0.9444060000000003,55.25164323809525,240,69.66666666666667,2.612596273422241,0.0001,340
1497,6,22,0.9431140000000001,52.84763177272728,237,68.04545454545455,2.875000476837158,0.0001,349
1582,6,23,0.939884,54.66073617391306,239,68.78260869565217,1.5275770425796509,0.0001,370
1608,6,24,0.9388960000000001,51.825687499999994,236,67.0,1.2595094442367554,0.0001,376
1636,6,25,0.937832,49.34974784,233,65.44,1.4037905931472778,0.0001,383
1664,7,26,0.936768,46.9684366923077,231,64.0,1.4287364482879639,0.0001,390
1749,7,27,0.933538,47.53218670370371,232,64.77777777777777,1.9038784503936768,0.0001,412
1781,7,28,0.9323219999999999,45.709672464285724,230,63.607142857142854,4.829967975616455,0.0001,420
1866,8,29,0.9290919999999998,48.304417931034486,232,64.34482758620689,1.335747480392456,0.0001,441
1951,8,30,0.9258619999999997,49.14331253333334,233,65.03333333333333,1.1351580619812012,0.0001,462
1982,8,31,0.9246839999999996,47.36809029032259,231,63.935483870967744,1.8993898630142212,0.0001,470
2013,8,32,0.9235060000000005,45.70621259375,229,62.90625,1.2899837493896484,0.0001,478
2098,9,33,0.9202760000000004,46.350998787878794,229,63.57575757575758,4.618902683258057,0.0001,499
2183,9,34,0.9170460000000004,47.55026332352942,229,64.20588235294117,2.745131492614746,0.0001,520
