#{"t_start": 1744529286.2407668, "env_id": "None"}
r,l,t
80.950379,85,1.263616
-11.689295,28,1.749241
-10.784684,28,1.93051
-2.435092,32,2.114145
-5.924893,31,2.303513
84.774777,85,2.590471
29.16206,85,2.866205
16.847205,85,3.146071
37.421871,49,3.350161
44.601173,85,3.626158
48.899066,85,3.902944
38.397593,85,4.178087
-11.035722,28,4.345304
-13.858225,26,4.510991
-1.974255,33,4.69613
73.84399,85,4.973825
-12.926058,27,5.144647
83.388657,85,5.416521
55.808163,85,5.689939
-1.915706,33,5.891669
-12.23699,27,6.067643
-4.622942,32,6.246696
-9.510185,29,6.426286
-12.405173,27,6.598634
79.395438,85,6.876219
-11.912115,28,7.058174
78.052029,85,7.353753
-9.93386,28,7.545653
0.215736,34,7.740711
-1.213942,33,7.918868
-3.432367,32,8.102044
78.019951,85,8.413874
-5.2453,31,8.602658
73.06926,85,8.911103
-12.364007,27,9.094993
44.990162,85,9.408071
-14.022207,26,9.592621
-4.132141,32,9.771006
-6.565955,31,9.951102
-9.481397,29,10.124093
-5.2742,31,10.308613
-12.650705,27,10.488555
-9.109413,29,10.672943
107.203129,85,10.989213
55.679942,85,11.328044
-11.025635,29,11.503773
95.619411,85,11.874848
43.969756,85,12.19036
-12.946004,27,12.369864
66.083717,85,12.710425
40.213814,85,13.025894
74.804746,85,13.340288
-10.744552,28,13.545008
-8.096774,29,13.744741
32.240619,85,14.127727
-2.977098,33,14.325393
67.714479,85,14.615715
76.873378,85,14.907565
-0.307588,34,15.098666
61.623858,85,15.387926
-5.955304,31,15.576142
65.397269,85,15.869153
-2.888346,33,16.073286
71.268287,85,16.412171
-1.007733,33,16.609369
77.615579,85,16.970454
-7.344327,30,17.155666
84.704316,85,17.474577
3.215329,35,17.678257
15.301053,85,18.024686
-4.311575,31,18.216269
56.688469,85,18.543333
-8.77002,29,18.733466
-3.621095,32,18.917325
55.933568,85,19.265432
73.351186,85,19.634202
-1.677695,33,19.849626
0.847539,34,20.06205
-10.546699,29,20.275401
-12.749527,27,20.481276
-4.744831,31,20.749895
-5.977291,31,20.965174
-8.050063,30,21.180351
-11.75584,27,21.399455
-10.436101,29,21.614409
-11.152514,28,21.837428
-7.620792,30,22.055136
-12.289916,27,22.283568
103.601523,85,22.655181
-12.449873,27,22.863643
-10.214114,29,23.10224
85.304491,85,23.479298
88.26962,85,23.839188
-12.981706,27,24.058837
-9.278248,29,24.300511
-11.113453,28,24.515285
-8.359769,29,24.766299
-9.427987,29,24.990447
2.285463,35,25.219607
-9.288363,30,25.444382
-10.477485,28,25.686397
67.736623,85,26.033248
82.687988,85,26.410386
-11.205236,28,26.619015
-10.162691,29,26.850573
-7.786152,30,27.060445
5.734434,37,27.28849
-14.370076,26,27.509194
-0.12337,34,27.732076
-12.111544,28,27.959067
-12.404277,27,28.17234
-8.755494,29,28.374437
84.485377,85,28.779634
-6.343258,30,28.998153
-9.208573,29,29.247059
-7.954207,30,29.493221
-13.153973,27,29.721351
-11.228335,28,29.932418
-6.037659,31,30.136166
-7.353383,30,30.342508
83.649702,85,30.706519
-10.214099,29,30.911539
86.094181,85,31.278598
-13.405851,27,31.495075
-9.400519,29,31.711559
-11.817111,27,31.910289
-5.469301,32,32.140951
-10.44102,29,32.37222
-12.837669,27,32.582149
4.731012,35,32.824322
-12.988964,27,33.0241
-8.418172,30,33.226553
-4.954563,31,33.447529
-12.17975,27,33.677742
-11.185889,28,33.91469
-9.270045,29,34.132211
-11.9251,28,34.340083
-3.805141,32,34.563522
-9.842592,29,34.778513
-9.553352,29,34.987184
-6.992768,30,35.237531
-9.698228,29,35.455215
-11.163903,28,35.675523
2.122407,35,35.898383
-9.123149,29,36.132315
53.37287,85,36.553237
-12.355975,27,36.768175
85.946293,85,37.13384
-1.592364,33,37.366997
-7.492313,30,37.580855
-4.535719,31,37.827959
-12.06726,27,38.047609
-7.159504,31,38.302445
-10.834792,28,38.528271
-1.698388,33,38.765822
-7.363251,30,38.988149
-12.67731,27,39.204855
-11.855161,27,39.418109
3.871014,35,39.673692
-11.532145,28,39.888504
-6.722347,31,40.14048
-11.308265,28,40.349109
-10.378391,28,40.548445
-4.029329,32,40.764323
-7.012136,30,40.974494
-9.051543,29,41.180244
71.145955,85,41.574214
-5.9827,31,41.794012
-4.303621,31,42.011253
15.6413,42,42.267641
-6.285146,31,42.57995
-10.993721,28,42.806696
