time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
85,0,85.0,0.9967699999999999,1,80.950379,259,,,
113,0,56.5,0.995706,2,34.630542,138,3,0.0001,79.82772827148438
141,0,47.0,0.9946419999999999,3,19.49213333333333,141,10,0.0001,82.9122314453125
173,1,43.25,0.9934259999999997,4,14.010327,146,18,0.0001,76.11669158935547
204,1,40.8,0.9922479999999997,5,10.023283000000001,149,25,0.0001,65.02986145019531
289,1,48.166666666666664,0.9890179999999996,6,22.48186533333333,174,47,0.0001,45.230892181396484
374,1,53.42857142857143,0.9857879999999996,7,23.436178857142856,194,68,0.0001,46.154693603515625
459,2,57.375,0.9825580000000005,8,22.612557125000002,208,89,0.0001,40.42338562011719
508,2,56.44444444444444,0.9806959999999997,9,24.258036444444446,210,101,0.0001,33.29548645019531
593,2,59.3,0.9774659999999996,10,26.292350100000004,220,123,0.0001,21.4564266204834
678,2,61.63636363636363,0.9742359999999995,11,28.347506090909096,228,144,0.0001,28.520584106445312
763,3,63.583333333333336,0.9710059999999995,12,29.18501333333334,235,165,0.0001,15.269119262695312
791,3,60.84615384615385,0.9699420000000005,13,26.09111061538462,232,172,0.0001,18.531620025634766
817,3,58.357142857142854,0.9689539999999995,14,23.237586642857146,228,179,0.0001,13.500771522521973
850,3,56.666666666666664,0.9677000000000004,15,21.556797200000002,226,187,0.0001,13.489452362060547
935,4,58.4375,0.9644700000000004,16,24.824746750000003,231,208,0.0001,8.33853530883789
962,4,56.588235294117645,0.9634440000000004,17,22.60411117647059,228,215,0.0001,11.218856811523438
1047,4,58.166666666666664,0.9602140000000003,18,25.98103038888889,233,236,0.0001,9.902490615844727
1132,4,59.578947368421055,0.9569840000000003,19,27.550879473684212,237,257,0.0001,6.491667747497559
1165,4,58.25,0.95573,20,26.0775502,235,266,0.0001,5.2574920654296875
1192,5,56.76190476190476,0.954704,21,24.25304828571429,232,272,0.0001,6.342924118041992
1224,5,55.63636363636363,0.9534879999999999,22,22.940503272727273,230,280,0.0001,4.014272212982178
1253,5,54.47826086956522,0.9523859999999998,23,21.529603782608696,228,288,0.0001,7.814573287963867
1280,5,53.333333333333336,0.9513599999999999,24,20.11565475,226,294,0.0001,5.356555938720703
1365,5,54.6,0.9481299999999998,25,22.48684608,229,316,0.0001,8.005638122558594
1393,6,53.57692307692308,0.9470659999999999,26,21.163809115384616,227,323,0.0001,3.1492812633514404
1478,6,54.74074074074074,0.9438359999999998,27,23.27078022222222,230,344,0.0001,1.9363739490509033
1506,6,53.785714285714285,0.9427719999999997,28,22.084900214285714,227,351,0.0001,4.797468185424805
1540,6,53.10344827586207,0.9414799999999994,29,21.330791103448277,226,359,0.0001,1.6245672702789307
1573,6,52.43333333333333,0.9402260000000003,30,20.5793,225,368,0.0001,0.8813261985778809
1605,7,51.774193548387096,0.9390100000000002,31,19.804730096774193,224,376,0.0001,2.178272247314453
1690,7,52.8125,0.9357800000000002,32,21.62395575,226,397,0.0001,3.587742567062378
1721,7,52.15151515151515,0.9346019999999999,33,20.809735878787876,224,405,0.0001,3.7605173587799072
1806,7,53.11764705882353,0.931372,34,22.346780705882352,226,426,0.0001,4.026650428771973
1833,8,52.371428571428574,0.930346,35,21.355043914285712,224,433,0.0001,2.39422345161438
1918,8,53.27777777777778,0.9271159999999999,36,22.01157497222222,226,454,0.0001,2.8627662658691406
1944,8,52.54054054054054,0.926128,37,21.03768897297297,224,460,0.0001,1.0941494703292847
1976,8,52.0,0.9249119999999998,38,20.375325026315785,223,468,0.0001,2.7511610984802246
2007,9,51.46153846153846,0.9237339999999997,39,19.68452297435897,222,476,0.0001,5.614581108093262
2036,9,50.9,0.9226319999999997,40,18.955374974999998,221,483,0.0001,5.580657958984375
2067,9,50.41463414634146,0.9214539999999996,41,18.364409731707315,220,491,0.0001,3.4003820419311523
2094,9,49.857142857142854,0.9204279999999996,42,17.62595461904762,219,498,0.0001,3.40726900100708
2123,9,49.372093023255815,0.9193260000000005,43,17.004201883720928,217,505,0.0001,8.250734329223633
2208,10,50.18181818181818,0.9160960000000005,44,19.054177499999998,219,526,0.0001,3.4583356380462646
2293,10,50.955555555555556,0.9128660000000004,45,19.868083377777776,220,548,0.0001,3.100506544113159
2322,10,50.47826086956522,0.9117640000000004,46,19.196480804347825,219,555,0.0001,1.0233485698699951
2407,10,51.212765957446805,0.9085340000000003,47,20.82250059574468,220,576,0.0001,0.8967068791389465
2492,11,51.916666666666664,0.9053040000000002,48,21.30473508333333,221,597,0.0001,3.204066514968872
2519,11,51.40816326530612,0.9042780000000002,49,20.605740408163264,220,604,0.0001,0.7983611822128296
2604,11,52.08,0.9010480000000002,50,21.51529994,221,625,0.0001,0.77809077501297
2689,12,52.72549019607843,0.8978180000000001,51,21.881937470588234,222,647,0.0001,0.7115350961685181
2774,12,53.34615384615385,0.894588,52,22.899683788461537,223,668,0.0001,0.7664475440979004
2802,12,52.867924528301884,0.8935240000000001,53,22.26488688679245,222,675,0.0001,3.1102442741394043
2831,12,52.425925925925924,0.892422,54,21.702633907407403,221,682,0.0001,7.822319030761719
2916,13,53.018181818181816,0.889192,55,21.89423363636363,221,703,0.0001,0.3980731964111328
2949,13,52.660714285714285,0.8879379999999997,56,21.450102714285716,220,712,0.0001,5.581577777862549
3034,13,53.228070175438596,0.8847079999999997,57,22.26175843859649,221,733,0.0001,0.5255352854728699
3119,13,53.775862068965516,0.8814779999999997,58,23.203338086206898,223,754,0.0001,0.6873736381530762
3153,14,53.440677966101696,0.8801860000000005,59,22.804847813559324,222,763,0.0001,2.8694515228271484
3238,14,53.96666666666667,0.8769560000000003,60,23.451831316666667,224,784,0.0001,0.6240829825401306
3269,14,53.59016393442623,0.8757780000000003,61,22.969747131147543,223,792,0.0001,3.293997049331665
3354,14,54.096774193548384,0.8725480000000001,62,23.654062,224,813,0.0001,0.6507433652877808
3387,15,53.76190476190476,0.871294,63,23.232753936507937,223,821,0.0001,0.6559648513793945
3472,15,54.25,0.868064,64,23.983309140625,224,842,0.0001,2.9361116886138916
3505,15,53.92307692307692,0.8668099999999996,65,23.59883156923077,223,851,0.0001,5.2908711433410645
3590,16,54.39393939393939,0.8635799999999997,66,24.417267136363638,223,872,0.0001,2.8436951637268066
3620,16,54.02985074626866,0.8624399999999995,67,23.943213492537314,223,879,0.0001,0.48518821597099304
3705,16,54.48529411764706,0.8592099999999995,68,24.836759117647063,224,901,0.0001,0.6725321412086487
3740,16,54.20289855072464,0.8578800000000002,69,24.52340505797102,223,909,0.0001,0.5353730320930481
3825,17,54.642857142857146,0.8546500000000002,70,24.391657171428573,223,931,0.0001,5.990807056427002
3856,17,54.309859154929576,0.853472,71,23.98738629577465,223,938,0.0001,0.6923477649688721
3941,17,54.736111111111114,0.850242,72,24.441568,223,960,0.0001,0.48560935258865356
3970,17,54.38356164383562,0.84914,73,23.986614739726026,223,967,0.0001,1.0093048810958862
4002,17,54.08108108108108,0.8479239999999998,74,23.613537581081083,222,975,0.0001,7.804385185241699
4087,18,54.49333333333333,0.8446939999999997,75,24.04447132,222,996,0.0001,0.41280055046081543
4172,18,54.89473684210526,0.8414639999999997,76,24.693243881578947,223,1017,0.0001,0.7479472160339355
4205,18,54.61038961038961,0.8402099999999995,77,24.350764155844157,222,1026,0.0001,0.5995804071426392
4239,19,54.34615384615385,0.8389180000000003,78,24.049440756410256,221,1034,0.0001,0.6032755374908447
4268,19,54.0253164556962,0.8378160000000002,79,23.61151493670886,220,1041,0.0001,3.1688716411590576
4295,19,53.6875,0.8367900000000003,80,23.1570019125,219,1048,0.0001,2.6711976528167725
4326,19,53.407407407407405,0.8356120000000001,81,22.81253483950617,218,1056,0.0001,2.984616756439209
4357,20,53.13414634146341,0.834434,82,22.461439402439023,217,1064,0.0001,0.5182526707649231
4387,20,52.855421686746986,0.833294,83,22.093830939759037,216,1071,0.0001,3.160064935684204
4414,20,52.54761904761905,0.832268,84,21.690858666666667,215,1078,0.0001,0.5719852447509766
4443,20,52.27058823529412,0.8311659999999998,85,21.31289443529412,214,1085,0.0001,2.9879300594329834
4471,20,51.98837209302326,0.8301019999999999,86,20.93538968604651,213,1092,0.0001,0.7572212219238281
4501,21,51.735632183908045,0.8289619999999998,87,20.607157712643676,213,1100,0.0001,5.8765435218811035
4528,21,51.45454545454545,0.8279359999999999,88,20.233327329545453,211,1106,0.0001,0.7157756686210632
4613,21,51.831460674157306,0.8247059999999998,89,21.170048629213483,212,1128,0.0001,5.504790306091309
4640,21,51.55555555555556,0.8236799999999999,90,20.796493944444443,211,1134,0.0001,0.33406078815460205
4669,22,51.30769230769231,0.8225779999999998,91,20.45571803296703,210,1142,0.0001,0.4425155520439148
4754,22,51.67391304347826,0.8193479999999997,92,21.160595999999998,210,1163,0.0001,2.9105381965637207
