#{"t_start": 1744534082.1672266, "env_id": "None"}
r,l,t
-6.656696,31,1.220569
-12.340997,27,1.371921
99.727871,85,1.740128
64.330643,85,2.04581
-5.474329,31,2.226613
-4.864257,31,2.41231
-5.894891,31,2.594557
-10.289597,28,2.768696
84.723402,85,3.050854
-4.915166,31,3.24013
-6.99417,30,3.414621
-7.170037,30,3.589045
-2.888612,32,3.764802
54.169107,85,4.049195
97.891844,85,4.325913
107.629524,85,4.605194
84.150074,85,4.880566
-7.427829,30,5.053499
-4.623091,31,5.236014
-7.622035,30,5.408992
72.485359,85,5.684853
77.312601,85,5.960449
80.022695,85,6.252718
-12.890624,27,6.425843
-5.575607,31,6.605187
58.45519,85,6.885803
59.540284,85,7.167618
-9.557243,29,7.342497
100.33784,85,7.636172
85.082318,85,7.908384
73.1512,85,8.20703
92.41893,85,8.502871
59.979272,85,8.794419
-4.768371,32,8.988542
72.051268,85,9.283702
85.547077,85,9.569865
-5.811768,31,9.756063
88.032869,85,10.058185
-11.280104,29,10.243638
62.730282,85,10.540725
-0.442333,33,10.734809
-7.13515,30,10.923664
97.499832,85,11.240867
88.500249,85,11.565358
-5.660821,32,11.762169
-2.820505,33,11.959954
61.646059,85,12.279239
-11.4029,28,12.469568
74.413707,85,12.77516
-10.970086,28,12.955869
73.859891,85,13.258798
2.411666,35,13.458373
75.207416,85,13.767108
1.769589,34,13.970591
71.625002,85,14.273144
42.535828,85,14.591129
96.008073,85,14.919624
-5.531665,31,15.116843
-10.4351,28,15.301325
51.166164,85,15.629269
-11.679664,27,15.805691
7.511713,37,16.008432
49.592794,85,16.341266
60.35845,85,16.677549
66.093672,85,16.994499
1.102627,35,17.202203
-6.064433,31,17.385268
3.876601,36,17.596894
100.712019,85,17.938508
-7.203122,30,18.130491
-10.792516,28,18.323225
-5.918508,31,18.512624
110.139866,85,18.822213
64.961379,85,19.14446
-9.503566,29,19.332454
-12.20818,27,19.510028
8.199815,38,19.712217
44.820656,85,20.019172
21.517953,43,20.227617
102.346038,85,20.555037
98.362017,85,20.868074
2.099175,36,21.064276
-9.526607,30,21.240375
-6.010529,30,21.424416
-1.454964,33,21.620275
84.650831,85,21.920837
60.931953,85,22.214404
104.461837,85,22.538912
82.846062,85,22.872286
-4.988746,32,23.073356
101.800216,85,23.394861
68.800695,85,23.696966
66.883103,85,24.015141
64.031662,85,24.335032
11.936909,40,24.549194
96.134561,85,24.846641
-8.188937,30,25.038206
85.821587,85,25.353937
117.835475,85,25.666899
100.632816,85,25.971446
-1.755858,33,26.166477
-11.525898,27,26.355384
56.955718,85,26.672239
58.213888,85,26.988951
-10.928319,29,27.176588
-3.473813,32,27.360339
-7.427608,30,27.548123
-8.152905,30,27.745678
24.366946,85,28.058133
11.946179,39,28.259248
-8.20135,29,28.440925
-15.090808,26,28.620154
