#{"t_start": 1744595285.7977834, "env_id": "None"}
r,l,t
-83.993686,85,1.389773
-16.454123,29,1.65596
-93.987334,85,1.930201
-99.552252,85,2.204334
-99.953236,85,2.481473
-16.570557,32,2.656885
106.49998,85,2.929347
-16.469733,31,3.115112
-10.263377,31,3.286974
-10.104105,28,3.463033
107.157018,85,3.738951
-17.031419,27,3.901621
-9.791219,30,4.078934
-93.166353,85,4.356316
-16.764116,30,4.529397
-10.127686,29,4.699653
-10.11725,29,4.866732
-9.858392,34,5.052294
6.872317,85,5.330931
99.98,85,5.597973
-16.84235,34,5.783454
-93.135208,85,6.056243
99.855488,85,6.3298
-99.942584,85,6.601521
-16.722525,33,6.777212
-10.161406,30,6.944174
-93.72976,85,7.213524
100.693312,85,7.485015
-100.950002,85,7.753979
100.48218,85,8.027918
-99.604094,85,8.292279
100.016299,85,8.590864
-16.842689,33,8.783096
-10.182236,29,8.959684
-9.699295,37,9.143493
-93.367549,85,9.433408
0.152918,85,9.731666
99.912874,85,10.022106
100.077656,85,10.307385
100.004734,85,10.609063
0.0068,85,10.901309
-16.814331,29,11.087104
106.773935,85,11.393272
-16.72605,27,11.560294
6.766433,85,11.848876
99.920324,85,12.168129
-16.752511,29,12.3439
106.811666,85,12.627098
-99.982862,85,12.918922
-16.823719,36,13.121649
-9.95161,32,13.30336
106.774839,85,13.618115
-100.069871,85,13.921377
-99.975601,85,14.221254
-17.030022,30,14.407789
106.996657,85,14.706671
-16.782068,30,14.888341
-10.169491,31,15.061533
106.736808,85,15.348627
-99.943073,85,15.645351
100.157069,85,15.940016
-100.100258,85,16.227699
-17.038002,28,16.400229
-9.545815,29,16.573525
-93.382499,85,16.897106
-99.960074,85,17.201367
99.96948,85,17.498751
-100.35678,85,17.829973
-99.566502,85,18.188955
-16.771841,29,18.363579
106.800608,85,18.670623
-16.810601,30,18.85011
106.776531,85,19.148659
100.06115,85,19.455493
99.987327,85,19.75155
99.999839,85,20.079639
99.981764,85,20.420231
99.896094,85,20.766696
99.86545,85,21.152401
-99.765688,85,21.488362
-100.307149,85,21.807685
99.951,85,22.115474
100.124607,85,22.412735
-99.864247,85,22.712448
100.068098,85,23.012643
99.918484,85,23.342918
99.202235,85,23.644372
-16.057848,27,23.838226
-93.350331,85,24.15908
-99.899384,85,24.470868
99.594075,85,24.799671
-99.338772,85,25.105763
99.752423,85,25.391335
98.661424,85,25.697024
101.251462,85,26.002505
-16.803812,27,26.183913
107.134595,85,26.503004
-16.943133,32,26.695773
106.944751,85,27.001858
99.847869,85,27.309888
-16.79397,27,27.485264
-10.063407,29,27.674782
7.011698,85,28.071104
99.034126,85,28.368102
100.727112,85,28.674962
99.640715,85,28.956728
-99.532034,85,29.236966
100.081253,85,29.516969
-99.98401,85,29.794245
99.376781,85,30.082463
-99.345043,85,30.362773
98.26449,85,30.650723
101.690932,85,30.946364
100.008771,85,31.250697
99.092481,85,31.546511
100.82663,85,31.859086
100.016731,85,32.171838
0.100281,85,32.489873
99.754257,85,32.833011
100.159538,85,33.154249
99.643858,85,33.465747
100.29179,85,33.806999
99.617187,85,34.102196
100.476207,85,34.43647
99.940298,85,34.779618
99.935449,85,35.093406
99.40215,85,35.428724
100.669969,85,35.756674
100.054914,85,36.082652
99.868672,85,36.451922
99.882296,85,36.797868
