rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
-83.993686,0.9967699999999999,265,1,85.0,85,0,,,
-50.223904499999996,0.9956679999999999,195,2,57.0,114,0,0.0001,3,70.92774963378906
-64.81171433333333,0.9924379999999998,232,3,66.33333333333333,199,0,0.0001,24,66.60157775878906
-73.49684875,0.9892079999999998,250,4,71.0,284,1,0.0001,45,47.91512680053711
-78.7881262,0.9859779999999997,262,5,73.8,369,1,0.0001,67,57.314659118652344
-68.41853133333333,0.9847619999999995,253,6,66.83333333333333,401,1,0.0001,75,50.95164108276367
-43.43017257142857,0.9815320000000005,260,7,69.42857142857143,486,1,0.0001,96,33.31419372558594
-40.060117625000004,0.9803540000000004,253,8,64.625,517,2,0.0001,104,31.689010620117188
-36.74936866666667,0.9791760000000003,247,9,60.888888888888886,548,2,0.0001,111,28.493642807006836
-34.084842300000005,0.9781120000000003,241,10,57.6,576,2,0.0001,118,19.46630096435547
-21.244673181818186,0.9748820000000002,248,11,60.09090909090909,661,2,0.0001,140,13.748544692993164
-20.89356866666667,0.9738560000000003,243,12,57.333333333333336,688,2,0.0001,146,27.412067413330078
-20.03954176923077,0.9727160000000001,238,13,55.23076923076923,718,3,0.0001,154,11.770631790161133
-25.26288542857143,0.9694860000000001,244,14,57.357142857142854,803,3,0.0001,175,7.651270866394043
-24.696300800000003,0.968346,240,15,55.53333333333333,833,3,0.0001,183,14.04150676727295
-23.785762375,0.967244,237,16,53.875,862,3,0.0001,190,19.229816436767578
-22.981732235294118,0.966142,234,17,52.411764705882355,891,3,0.0001,197,7.202413558959961
-22.252657777777777,0.9648499999999997,232,18,51.388888888888886,925,3,0.0001,206,5.8765549659729
-20.719764368421053,0.9616199999999996,237,19,53.1578947368421,1010,4,0.0001,227,9.806319236755371
-14.68477615,0.9583899999999995,241,20,54.75,1095,4,0.0001,248,4.1518659591674805
-14.78751776190476,0.9570980000000003,239,21,53.76190476190476,1129,4,0.0001,257,4.52601432800293
-18.34877640909091,0.9538680000000003,243,22,55.18181818181818,1214,4,0.0001,278,7.440816879272461
-13.209460565217393,0.9506380000000002,246,23,56.47826086956522,1299,5,0.0001,299,4.375545024871826
-16.823340708333337,0.9474080000000001,250,24,57.666666666666664,1384,5,0.0001,320,1.5981395244598389
-16.819308080000003,0.9461539999999999,248,25,56.68,1417,5,0.0001,329,3.4072632789611816
-16.563234923076926,0.9450139999999999,246,26,55.65384615384615,1447,5,0.0001,336,2.0666584968566895
-19.421254370370374,0.9417839999999998,249,27,56.74074074074074,1532,6,0.0001,357,3.2663629055023193
-15.131448428571433,0.9385539999999997,252,28,57.75,1617,6,0.0001,379,1.7528501749038696
-18.09070889655173,0.9353239999999996,254,29,58.689655172413794,1702,6,0.0001,400,3.7582168579101562
-14.138279266666673,0.9320939999999996,257,30,59.56666666666667,1787,6,0.0001,421,1.3346624374389648
-16.895241032258074,0.9288639999999996,259,31,60.38709677419355,1872,7,0.0001,442,6.228705883026123
-13.24175540625,0.9256340000000005,260,32,61.15625,1957,7,0.0001,464,3.6647555828094482
-13.350874606060607,0.9243800000000003,257,33,60.303030303030305,1990,7,0.0001,472,3.9311625957489014
-13.257679352941176,0.9232780000000003,256,34,59.38235294117647,2019,7,0.0001,479,1.2710118293762207
-13.15601122857143,0.9218719999999999,254,35,58.74285714285714,2056,8,0.0001,488,3.2303225994110107
-15.384109500000001,0.9186419999999998,256,36,59.47222222222222,2141,8,0.0001,510,3.9048001766204834
-14.964189837837838,0.9154119999999998,257,37,60.16216216216216,2226,8,0.0001,531,6.601126670837402
-11.941109210526315,0.9121819999999997,258,38,60.81578947368421,2311,8,0.0001,552,4.22322416305542
-9.06883317948718,0.9089519999999996,259,39,61.43589743589744,2396,9,0.0001,573,0.9235312342643738
-6.3419940000000015,0.9057219999999996,260,40,62.025,2481,9,0.0001,595,6.235003471374512
-6.1871453658536595,0.9024919999999995,261,41,62.58536585365854,2566,9,0.0001,616,0.7540431022644043
-6.440173595238096,0.9013899999999995,259,42,61.785714285714285,2595,10,0.0001,623,3.659984827041626
-3.80728734883721,0.8981600000000005,259,43,62.325581395348834,2680,10,0.0001,644,2.862348794937134
-4.100895590909091,0.8971340000000005,258,44,61.52272727272727,2707,10,0.0001,651,4.49029016494751
-3.8593994000000005,0.8939040000000005,259,45,62.044444444444444,2792,10,0.0001,672,0.671934962272644
-1.6033184565217395,0.8906740000000004,259,46,62.54347826086956,2877,11,0.0001,694,2.0074262619018555
-1.92564170212766,0.8895720000000004,257,47,61.829787234042556,2906,11,0.0001,701,2.264986038208008
0.33971887500000025,0.8863420000000003,258,48,62.3125,2991,11,0.0001,722,0.8521021604537964
-1.7076807346938772,0.8831120000000002,259,49,62.775510204081634,3076,11,0.0001,743,6.994994640350342
-2.0100014999999996,0.8817439999999999,258,50,62.24,3112,12,0.0001,752,3.824758529663086
-2.1657193137254898,0.8805279999999998,257,51,61.64705882352941,3144,12,0.0001,760,5.655242919921875
-0.07070857692307661,0.8772979999999997,257,52,62.09615384615385,3229,12,0.0001,782,0.25320035219192505
-1.9574852264150941,0.8740679999999996,257,53,62.528301886792455,3314,12,0.0001,803,0.5511161684989929
-3.772635518518518,0.8708379999999996,258,54,62.94444444444444,3399,13,0.0001,824,2.579280376434326
-4.013678909090909,0.8696980000000005,257,55,62.345454545454544,3429,13,0.0001,832,0.9579349756240845
-2.031351482142856,0.8664680000000005,257,56,62.75,3514,13,0.0001,853,5.2157464027404785
-2.29013598245614,0.8653280000000003,256,57,62.175438596491226,3544,13,0.0001,860,7.604948043823242
-2.425986931034482,0.8641500000000002,255,58,61.63793103448276,3575,13,0.0001,868,0.6869405508041382
-0.5757700677966094,0.8609200000000001,256,59,62.03389830508475,3660,14,0.0001,889,1.9383442401885986
-2.2318917833333325,0.8576900000000001,257,60,62.416666666666664,3745,14,0.0001,911,4.5875043869018555
-0.5533842295081959,0.85446,257,61,62.78688524590164,3830,14,0.0001,932,3.4943344593048096
-2.1589789677419344,0.8512299999999999,258,62,63.145161290322584,3915,15,0.0001,953,2.062567949295044
-2.3951539365079357,0.850166,257,63,62.58730158730159,3943,15,0.0001,960,4.848752498626709
-2.506883015625,0.8490639999999998,256,64,62.0625,3972,15,0.0001,967,2.109916925430298
-3.9049694153846155,0.8458339999999999,256,65,62.41538461538462,4057,15,0.0001,989,2.139202117919922
-5.360349787878788,0.8426039999999998,256,66,62.75757575757576,4142,16,0.0001,1010,4.946694374084473
-3.7882627761194034,0.8393739999999997,257,67,63.08955223880597,4227,16,0.0001,1031,5.582560062408447
-5.208388029411765,0.8361439999999997,257,68,63.411764705882355,4312,16,0.0001,1052,0.8330944776535034
