#{"t_start": 1744554363.510446, "env_id": "None"}
r,l,t
-6.232137,29,1.206053
78.877509,85,1.547524
-3.317734,30,1.729323
-8.293363,28,1.89672
0.547013,33,2.077635
76.381183,85,2.354538
76.142425,85,2.629151
-1.082748,32,2.808572
-10.03593,27,2.982067
96.623125,85,3.250317
2.384587,34,3.436334
74.489712,85,3.71556
-2.410963,31,3.89862
-5.207555,30,4.073607
87.520902,85,4.350288
-6.21486,29,4.536469
-3.271596,31,4.713461
-4.933815,30,4.886111
93.377067,85,5.160583
-9.117841,27,5.338968
91.211594,85,5.636713
56.783198,85,5.924194
-3.656313,31,6.138849
-6.455584,29,6.317771
88.792116,85,6.635281
101.598579,85,6.933921
-5.033701,30,7.114852
73.390888,85,7.413843
-6.961915,29,7.588891
81.687955,85,7.894203
64.978716,85,8.193687
86.550945,85,8.480532
94.34018,85,8.799883
-9.229961,27,8.974647
1.161373,33,9.175614
78.334893,85,9.470216
71.534179,85,9.778589
-5.802769,29,9.96793
-5.321122,30,10.185242
-8.314686,29,10.369932
39.384708,85,10.690715
12.701119,39,10.901617
0.536587,33,11.091631
-3.449995,31,11.26913
-9.913849,28,11.44183
-3.391341,30,11.630883
77.15567,85,11.935671
80.665611,85,12.294451
5.535175,35,12.4878
-9.448308,28,12.672006
-0.936262,32,12.864785
0.504501,33,13.052042
77.307132,85,13.368164
-7.190842,29,13.562654
2.196468,34,13.752306
82.451401,85,14.059767
-7.48765,29,14.252064
-3.177108,31,14.479938
-8.591422,28,14.671519
-6.359718,29,14.893484
38.572232,85,15.21544
-8.510644,28,15.400076
-3.92254,31,15.588489
84.044864,85,15.886533
0.075314,32,16.087088
-6.63663,29,16.3088
-2.265195,31,16.521585
-7.553663,28,16.718767
100.268406,85,17.08233
-9.679143,27,17.298367
73.347674,85,17.643765
-8.766757,28,17.844613
79.122182,85,18.1722
-5.132773,30,18.372442
-3.672142,31,18.575591
-6.688061,29,18.798833
-3.097737,31,19.043443
-5.070608,30,19.283175
-1.564885,32,19.518822
-3.729904,31,19.72679
76.484367,85,20.061236
-6.936272,29,20.267852
-11.985488,26,20.459103
-6.239774,29,20.686962
-2.195667,32,20.917083
-2.75047,31,21.140087
-8.471431,29,21.351413
-4.914562,30,21.563962
93.168943,85,21.933562
-3.236647,31,22.130543
-6.83762,29,22.320595
77.990068,85,22.643399
-4.620522,30,22.839521
101.578132,85,23.112664
10.247234,37,23.306594
-4.739939,30,23.505904
69.688676,85,23.821983
-4.615818,30,24.0128
-2.420962,32,24.196754
-7.045168,29,24.377995
77.583988,85,24.702068
77.306567,85,25.014356
7.39183,37,25.235216
10.551123,37,25.435802
-4.850021,30,25.612242
-8.295621,28,25.795503
-3.199789,31,25.995738
-8.680061,28,26.196425
-3.232445,31,26.408221
-5.866405,30,26.600274
-2.591111,31,26.790752
-1.94704,32,26.988007
-10.667535,27,27.181638
-7.591973,29,27.369301
2.120479,34,27.571407
-6.656882,29,27.75963
-5.751114,30,27.950232
-6.81111,29,28.148005
-3.345552,31,28.38053
-6.151274,29,28.600679
62.91972,85,28.995967
-5.761654,30,29.230281
-7.338832,29,29.440208
-0.541821,32,29.64624
0.982951,33,29.84835
-5.503256,30,30.050978
-9.11535,28,30.254129
67.07092,85,30.610409
-6.771998,29,30.825072
-8.496828,29,31.031304
127.686196,85,31.377016
-7.061917,29,31.598328
3.03682,34,31.820909
-3.294471,31,32.023341
99.788829,85,32.359551
-6.353126,30,32.559669
2.613339,34,32.753498
-5.849222,29,32.946672
-10.870084,27,33.140891
70.186275,85,33.48131
-6.337594,30,33.681643
3.00401,35,33.882097
-7.683131,29,34.073892
-6.439994,29,34.260036
-8.803182,28,34.454934
99.275772,85,34.851021
-4.795759,30,35.053396
9.508546,37,35.290961
-9.385003,28,35.481756
-1.860686,32,35.742499
-6.422655,30,35.933482
68.18992,85,36.247242
-3.89189,31,36.434999
-6.263113,29,36.623549
-5.508642,30,36.813646
-9.680585,27,36.992564
-7.265663,29,37.173881
-4.548547,30,37.356957
-5.924031,30,37.552432
-6.871746,29,37.750318
-2.226553,32,37.945575
-8.192818,29,38.132295
-5.17963,31,38.330453
-3.019036,31,38.529737
-2.768035,32,38.729693
86.749699,85,39.038482
-7.609997,29,39.223085
-9.980244,27,39.422739
1.770464,33,39.77179
-6.743748,30,39.954802
-6.243571,30,40.152227
-0.527781,33,40.346907
-7.640952,28,40.531677
-1.994301,32,40.726755
-6.477612,29,40.915117
-7.16161,29,41.106284
-3.370883,31,41.285468
2.00094,34,41.486137
-8.165608,28,41.673797
-8.085271,28,41.88655
94.47532,85,42.239208
-6.374405,30,42.449191
-8.139586,29,42.659507
-8.419304,29,42.858317
-10.485424,27,43.039218
114.104235,85,43.356942
92.910549,85,43.758501
-6.398407,29,43.955612
-8.496447,28,44.147534
-6.788255,29,44.331975
-9.754508,27,44.527608
18.259182,42,44.750376
35.016266,47,44.988397
-2.481635,31,45.174627
-6.594723,29,45.357485
2.373639,34,45.560954
