#{"t_start": 1753187752.1281972, "env_id": "None"}
r,l,t
42.648132,84,0.792107
40.524244,84,1.362908
44.356911,84,1.754802
41.884035,84,2.16457
40.14588,84,2.559907
45.436306,84,2.987389
45.2596,84,3.43394
39.285492,84,3.863653
46.028081,84,4.243658
43.228448,84,4.627406
43.63044,84,5.017293
44.911578,84,5.416746
41.66774,84,5.799348
45.526832,84,6.164168
41.458383,84,6.582985
43.268059,84,7.032072
45.121781,84,7.436122
43.058048,84,7.836143
42.099263,84,8.264159
40.586927,84,8.664
41.223224,84,9.036672
35.461148,84,9.452109
45.581369,84,9.801283
41.651691,84,10.167513
40.218216,84,10.571865
42.336295,84,10.956108
42.546703,84,11.309647
42.330968,84,11.643821
46.232139,84,11.99418
42.398722,84,12.329216
43.252386,84,12.718689
46.017072,84,13.170981
39.43197,84,13.554862
46.910831,84,13.979706
44.446232,84,14.342133
45.29645,84,14.67545
44.559182,84,15.003285
43.112407,84,15.37917
39.227909,84,15.759247
48.439323,84,16.105821
42.058981,84,16.470338
40.402501,84,16.830814
39.204279,84,17.24363
41.225608,84,17.608539
47.73798,84,17.973534
44.617974,84,18.340507
42.349962,84,18.731467
43.954669,84,19.102881
42.454752,84,19.441731
47.287609,84,19.791788
44.471993,84,20.155143
38.963024,84,20.497101
43.708234,84,20.870217
41.767479,84,21.204214
39.879424,84,21.547243
41.102619,84,21.914348
44.772538,84,22.294053
44.459077,84,22.635354
45.755077,84,22.999685
43.365009,84,23.354893
43.106828,84,23.712531
46.106525,84,24.064071
41.422578,84,24.445951
39.449212,84,24.895893
44.461502,84,25.28361
40.955221,84,25.66869
40.275855,84,26.12762
45.430929,84,26.520588
49.8119,84,26.86415
45.167059,84,27.249849
44.524667,84,27.619849
45.530885,84,28.010828
45.588813,84,28.385682
40.380763,84,28.821918
43.992471,84,29.320074
44.680343,84,29.741092
45.727653,84,30.099177
42.266695,84,30.488795
39.292598,84,30.912139
41.695483,84,31.268978
38.039033,84,31.653687
40.816059,84,32.002996
45.369361,84,32.360965
45.23009,84,32.744431
48.425886,84,33.088777
41.893756,84,33.491025
47.44717,84,33.87407
40.465496,84,34.264647
32.767555,84,34.648746
42.61829,84,35.084557
40.935535,84,35.516989
45.24543,84,35.86288
44.881887,84,36.2065
40.676574,84,36.603842
39.684575,84,37.012338
38.863367,84,37.382038
44.808189,84,37.747605
42.337627,84,38.147749
41.638732,84,38.526603
40.243675,84,38.862184
45.412606,84,39.291987
37.796552,84,39.805984
39.810277,84,40.274604
39.812037,84,40.621274
40.485968,84,40.990999
36.677201,84,41.502715
39.217557,84,41.984154
42.56821,84,42.338706
43.798412,84,42.737589
45.857106,84,43.100136
39.74218,84,43.512972
44.479283,84,44.012123
41.767092,84,44.539082
42.40729,84,44.964957
45.863826,84,45.365068
42.994551,84,45.745625
45.119223,84,46.122671
38.386596,84,46.490808
45.007844,84,46.88397
37.465295,84,47.25702
44.996047,84,47.619715
43.154692,84,47.95893
40.172285,84,48.351394
42.56513,84,48.749806
38.251805,84,49.137097
39.779459,84,49.489841
45.407652,84,49.876861
41.240016,84,50.251131
41.541257,84,50.630051
41.501162,84,51.013578
46.9146,84,51.408911
40.404243,84,51.757493
38.69225,84,52.139055
41.790534,84,52.500737
45.53426,84,52.873963
49.450155,84,53.273291
44.772744,84,53.699041
35.257081,84,54.096613
42.593981,84,54.490002
42.950007,84,54.919087
39.615978,84,55.292696
45.957327,84,55.698857
40.769601,84,56.07621
42.14648,84,56.412962
41.690162,84,56.778925
42.379932,84,57.16882
41.707283,84,57.535321
43.877617,84,57.892043
40.590901,84,58.263603
43.559857,84,58.618127
37.650989,84,58.970785
38.63559,84,59.34122
