rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
84.0,42.648132,0,1,191,0.9991133333333339,84,,,
84.0,41.586188,1,2,167,0.9982266666666666,168,0.0001,16,72.13742065429688
84.0,42.509762333333335,1,3,177,0.9973400000000006,252,0.0001,37,54.84617614746094
84.0,42.3533305,1,4,185,0.9964533333333333,336,0.0001,58,51.6428108215332
84.0,41.9118404,2,5,190,0.9955666666666672,420,0.0001,79,50.005096435546875
84.0,42.49925133333333,2,6,191,0.99468,504,0.0001,100,35.82473373413086
84.0,42.89358685714286,3,7,189,0.9937933333333339,588,0.0001,121,22.992111206054688
84.0,42.442575,3,8,192,0.9929066666666666,672,0.0001,142,17.641138076782227
84.0,42.84096455555555,3,9,194,0.9920200000000005,756,0.0001,163,23.31855010986328
84.0,42.8797129,4,10,197,0.9911333333333332,840,0.0001,184,8.819086074829102
84.0,42.94796081818182,4,11,198,0.9902466666666672,924,0.0001,205,12.409355163574219
84.0,43.11159558333333,5,12,199,0.9893599999999999,1008,0.0001,226,8.542110443115234
84.0,43.000529769230766,5,13,201,0.9884733333333338,1092,0.0001,247,6.065768241882324
84.0,43.18097992857143,5,14,202,0.9875866666666666,1176,0.0001,268,8.856162071228027
84.0,43.066140133333334,6,15,201,0.9867000000000004,1260,0.0001,289,6.466292858123779
84.0,43.078760062499995,6,16,201,0.9858133333333332,1344,0.0001,310,6.759922981262207
84.0,43.19893776470588,7,17,201,0.9849266666666671,1428,0.0001,331,5.117405414581299
84.0,43.191110555555554,7,18,202,0.9840399999999998,1512,0.0001,352,4.155949115753174
84.0,43.13364489473684,7,19,201,0.9831533333333338,1596,0.0001,373,5.447436809539795
84.0,43.006309,8,20,202,0.9822666666666665,1680,0.0001,394,2.852198839187622
84.0,42.921400190476184,8,21,203,0.9813800000000004,1764,0.0001,415,5.375812530517578
84.0,42.582297818181814,9,22,203,0.9804933333333332,1848,0.0001,436,5.610156059265137
84.0,42.7126922173913,9,23,204,0.9796066666666671,1932,0.0001,457,2.3946077823638916
84.0,42.66848383333333,9,24,205,0.9787199999999998,2016,0.0001,478,6.095879554748535
84.0,42.570473119999996,10,25,205,0.9778333333333337,2100,0.0001,499,4.517965316772461
84.0,42.56146626923077,10,26,206,0.9769466666666664,2184,0.0001,520,2.591719388961792
84.0,42.56091948148148,10,27,207,0.9760600000000004,2268,0.0001,541,3.0979294776916504
84.0,42.552706928571425,11,28,208,0.9751733333333331,2352,0.0001,562,1.878092646598816
84.0,42.67958389655172,11,29,209,0.974286666666667,2436,0.0001,583,7.46085262298584
84.0,42.67022183333333,11,30,210,0.9733999999999998,2520,0.0001,604,2.184462547302246
84.0,42.68900132258064,12,31,210,0.9725133333333337,2604,0.0001,625,1.7056529521942139
84.0,42.793003531249994,12,32,210,0.9716266666666664,2688,0.0001,646,1.464240550994873
84.0,42.691154030303025,13,33,210,0.9707400000000003,2772,0.0001,667,1.7816734313964844
84.0,42.81526217647058,13,34,209,0.969853333333333,2856,0.0001,688,2.217054605484009
84.0,42.86186131428571,13,35,210,0.968966666666667,2940,0.0001,709,2.1447572708129883
84.0,42.92948877777778,14,36,211,0.9680799999999997,3024,0.0001,730,4.610023498535156
84.0,42.973534540540534,14,37,212,0.9671933333333336,3108,0.0001,751,1.2858188152313232
84.0,42.97718907894737,15,38,212,0.9663066666666664,3192,0.0001,772,4.492792129516602
84.0,42.88105369230769,15,39,212,0.9654200000000003,3276,0.0001,793,4.297356605529785
84.0,43.020010424999995,15,40,213,0.964533333333333,3360,0.0001,814,4.204959869384766
84.0,42.99657068292682,16,41,214,0.9636466666666669,3444,0.0001,835,1.2422304153442383
84.0,42.93480711904762,16,42,214,0.9627599999999996,3528,0.0001,856,1.3496661186218262
84.0,42.84805065116279,16,43,214,0.9618733333333336,3612,0.0001,877,1.110619306564331
84.0,42.81117695454545,17,44,214,0.9609866666666663,3696,0.0001,898,1.4486900568008423
84.0,42.920661466666665,17,45,214,0.9601000000000002,3780,0.0001,919,3.8167824745178223
84.0,42.95755956521739,17,46,215,0.959213333333333,3864,0.0001,940,1.2969818115234375
84.0,42.94463195744681,18,47,214,0.9583266666666669,3948,0.0001,961,1.3329012393951416
84.0,42.96567439583333,18,48,215,0.9574399999999996,4032,0.0001,982,1.5034759044647217
84.0,42.95524740816327,19,49,216,0.9565533333333335,4116,0.0001,1003,0.801059901714325
84.0,43.04189464,19,50,216,0.9556666666666662,4200,0.0001,1024,1.254319667816162
84.0,43.06993578431373,19,51,216,0.9547800000000002,4284,0.0001,1045,1.0287755727767944
84.0,42.990956711538466,20,52,217,0.9538933333333329,4368,0.0001,1066,1.106456995010376
84.0,43.00449024528303,20,53,217,0.9530066666666668,4452,0.0001,1087,3.9648797512054443
84.0,42.98158262962964,20,54,217,0.9521199999999996,4536,0.0001,1108,1.2715508937835693
84.0,42.92517974545456,21,55,218,0.9512333333333335,4620,0.0001,1129,1.336021900177002
84.0,42.89263401785714,21,56,218,0.9503466666666662,4704,0.0001,1150,4.021092414855957
