#{"t_start": 1753278964.2843306, "env_id": "None"}
r,l,t
-7.181995,84,0.681144
5.341811,84,1.14384
4.460753,84,1.512819
4.024921,84,1.858296
4.037484,84,2.188343
12.516328,84,2.563441
4.297582,84,2.887258
8.119137,84,3.219082
10.921595,84,3.555044
7.710592,84,3.87451
9.182932,84,4.192522
5.874683,84,4.511895
-9.621735,84,4.849097
0.237822,84,5.16824
2.801375,84,5.497352
2.737016,84,5.812644
5.206994,84,6.133831
7.256782,84,6.444212
-2.444944,84,6.766999
8.34918,84,7.106264
7.789573,84,7.447682
1.146394,84,7.786824
4.835727,84,8.138783
7.956968,84,8.486588
8.831617,84,8.828158
7.748786,84,9.180863
9.427013,84,9.51841
4.337204,84,9.867858
-2.537534,84,10.218787
7.013062,84,10.559255
2.647596,84,10.898557
5.948279,84,11.251006
-0.228635,84,11.602218
8.930595,84,11.978332
2.963455,84,12.320179
-0.629688,84,12.679115
5.670683,84,13.051902
10.915642,84,13.388929
3.414969,84,13.738359
7.637371,84,14.078127
5.332732,84,14.431195
4.80031,84,14.771022
0.565421,84,15.122542
6.017143,84,15.483457
9.920649,84,15.831251
6.558917,84,16.173126
6.782923,84,16.522142
3.296551,84,16.873536
14.598786,84,17.223065
6.434278,84,17.576393
8.323007,84,17.923668
6.764795,84,18.317933
12.168476,84,18.664984
0.316524,84,19.016808
11.013019,84,19.346534
3.795934,84,19.702672
5.671967,84,20.040896
5.07935,84,20.382616
7.752345,84,20.722558
2.999783,84,21.063545
5.177355,84,21.39441
1.947806,84,21.743616
10.205183,84,22.093649
15.131315,84,22.444422
9.051611,84,22.785086
0.142159,84,23.124379
3.341435,84,23.456198
5.250655,84,23.809379
2.399607,84,24.179963
3.152699,84,24.525113
0.277829,84,24.877517
5.820272,84,25.22518
1.7629,84,25.580052
3.354808,84,25.926713
-2.05159,84,26.267152
9.383643,84,26.616608
3.434642,84,26.946341
9.793207,84,27.287615
6.260799,84,27.628965
8.862105,84,27.979182
13.210244,84,28.337364
6.170916,84,28.688728
5.288809,84,29.027983
6.1874,84,29.37845
1.113687,84,29.708913
6.566399,84,30.039984
6.652078,84,30.387879
5.680673,84,30.756302
11.086409,84,31.101644
-1.249844,84,31.450056
5.471808,84,31.790029
7.686813,84,32.129253
10.283379,84,32.470271
0.752137,84,32.820459
1.534327,84,33.160866
8.207723,84,33.513309
8.521232,84,33.871408
4.697617,84,34.221646
5.760471,84,34.584226
-1.387217,84,34.930123
7.794038,84,35.261128
4.372893,84,35.614036
9.948008,84,35.961392
6.690006,84,36.30656
2.760846,84,36.657962
12.843013,84,37.004076
-1.542346,84,37.353778
5.671876,84,37.707848
4.385498,84,38.054607
1.976353,84,38.394468
6.379486,84,38.7341
-4.276288,84,39.083436
6.598308,84,39.413168
10.62695,84,39.775415
7.077204,84,40.114167
1.153507,84,40.46438
7.831962,84,40.804262
6.962692,84,41.164855
10.837085,84,41.505065
6.093652,84,41.854213
4.877982,84,42.184815
8.044631,84,42.534413
9.895454,84,42.868464
5.712431,84,43.215301
11.549042,84,43.566308
6.241816,84,43.921399
2.416797,84,44.26584
0.785245,84,44.621936
10.635367,84,44.966416
6.02025,84,45.326804
10.475256,84,45.680517
8.291598,84,46.018014
9.130531,84,46.369223
5.583313,84,46.723223
11.930768,84,47.076052
5.647284,84,47.417426
-2.496782,84,47.767015
7.713456,84,48.119099
5.437083,84,48.468126
5.14922,84,48.809172
-1.954318,84,49.158725
6.471654,84,49.521255
10.723798,84,49.87015
2.793193,84,50.209258
4.027427,84,50.558949
-1.107806,84,50.92047
-5.535618,84,51.262208
3.523347,84,51.596445
-1.532847,84,51.942347
0.486992,84,52.293242
6.498498,84,52.640213
9.576679,84,52.99414
8.814996,84,53.340185
1.960823,84,53.690711
3.582529,84,54.121204
6.016867,84,54.492368
-0.233436,84,54.844252
0.868968,84,55.193791
2.334556,84,55.541086
4.800235,84,55.880928
5.204911,84,56.243298
11.046842,84,56.5937
6.962833,84,56.926866
7.939285,84,57.276742
1.459811,84,57.624777
1.469853,84,57.963542
7.131683,84,58.29647
-6.626721,84,58.633795
3.724165,84,58.97392
6.599987,84,59.313246
7.332447,84,59.6649
10.845924,84,60.008217
10.071003,84,60.365927
11.113011,84,60.710712
-1.429073,84,61.037863
12.439837,84,61.376034
1.863225,84,61.726056
0.95577,84,62.087481
2.879302,84,62.435574
-0.173377,84,62.779457
13.161819,84,63.119479
3.415804,84,63.457097
6.383473,84,63.797736
11.289938,84,64.148689
7.941286,84,64.499043
