time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/learning_rate,train/loss
1,84.0,0,213,-7.181995,0.9995012499999999,84,,,
2,84.0,0,194,-0.9200919999999999,0.9990024999999998,168,16,0.0001,80.91386413574219
3,84.0,1,205,0.8735230000000002,0.9985037499999997,252,37,0.0001,62.05268096923828
4,84.0,1,212,1.6613725000000001,0.9980049999999996,336,58,0.0001,56.67041015625
5,84.0,1,216,2.1365948,0.9975062499999995,420,79,0.0001,34.948123931884766
6,84.0,2,221,3.866550333333334,0.9970075000000005,504,100,0.0001,26.42797088623047
7,84.0,2,225,3.928126285714286,0.9965087500000004,588,121,0.0001,17.127914428710938
8,84.0,2,228,4.452002625,0.9960100000000003,672,142,0.0001,28.393983840942383
9,84.0,3,231,5.170846222222222,0.9955112500000001,756,163,0.0001,15.33917236328125
10,84.0,3,234,5.4248208,0.9950125000000001,840,184,0.0001,13.689927101135254
11,84.0,3,236,5.766467272727272,0.99451375,924,205,0.0001,9.809942245483398
12,84.0,4,238,5.77548525,0.9940149999999999,1008,226,0.0001,10.788185119628906
13,84.0,4,239,4.591083692307692,0.9935162499999997,1092,247,0.0001,9.016546249389648
14,84.0,4,240,4.280136428571429,0.9930174999999997,1176,268,0.0001,4.185582160949707
15,84.0,5,241,4.181552333333333,0.9925187499999996,1260,289,0.0001,3.74599027633667
16,84.0,5,243,4.0912688125,0.9920200000000005,1344,310,0.0001,8.509252548217773
17,84.0,5,244,4.156899705882353,0.9915212500000004,1428,331,0.0001,4.969149589538574
18,84.0,6,245,4.329115388888889,0.9910225000000003,1512,352,0.0001,3.0531539916992188
19,84.0,6,246,3.9725859473684206,0.9905237500000001,1596,373,0.0001,5.69795036315918
20,84.0,6,246,4.19141565,0.990025,1680,394,0.0001,1.9335827827453613
21,84.0,7,246,4.3627564761904765,0.9895262499999999,1764,415,0.0001,5.424328804016113
22,84.0,7,246,4.216558181818182,0.9890274999999998,1848,436,0.0001,5.1472930908203125
23,84.0,7,245,4.243478565217392,0.9885287499999997,1932,457,0.0001,2.5133886337280273
24,84.0,8,245,4.398207291666667,0.9880299999999996,2016,478,0.0001,5.768986701965332
25,84.0,8,245,4.57554368,0.9875312499999995,2100,499,0.0001,5.044793128967285
26,84.0,8,245,4.697591461538462,0.9870325000000005,2184,520,0.0001,1.6088687181472778
27,84.0,9,245,4.872755222222223,0.9865337500000004,2268,541,0.0001,2.323026180267334
28,84.0,9,245,4.853628392857142,0.9860350000000003,2352,562,0.0001,2.1034460067749023
29,84.0,9,245,4.5987607241379305,0.9855362500000002,2436,583,0.0001,7.458932876586914
30,84.0,10,245,4.679237433333332,0.9850375000000001,2520,604,0.0001,2.2401084899902344
31,84.0,10,245,4.613700612903225,0.98453875,2604,625,0.0001,2.2982640266418457
32,84.0,10,245,4.655406187500001,0.9840399999999998,2688,646,0.0001,2.385146141052246
33,84.0,11,244,4.50740493939394,0.9835412499999998,2772,667,0.0001,2.34356951713562
34,84.0,11,244,4.637498764705883,0.9830424999999996,2856,688,0.0001,2.5958590507507324
35,84.0,12,244,4.589668942857144,0.9825437499999996,2940,709,0.0001,1.8306019306182861
36,84.0,12,243,4.444686805555557,0.9820450000000005,3024,730,0.0001,4.199704170227051
37,84.0,12,243,4.47782183783784,0.9815462500000004,3108,751,0.0001,2.282500743865967
38,84.0,13,243,4.647238157894738,0.9810475000000003,3192,772,0.0001,4.219651222229004
39,84.0,13,243,4.615641512820514,0.9805487500000002,3276,793,0.0001,4.461427211761475
40,84.0,13,243,4.69118475,0.9800500000000001,3360,814,0.0001,4.553902626037598
41,84.0,14,243,4.706832243902438,0.97955125,3444,835,0.0001,1.0147849321365356
42,84.0,14,243,4.709057904761904,0.9790524999999999,3528,856,0.0001,1.260459303855896
43,84.0,14,243,4.6126942558139525,0.9785537499999998,3612,877,0.0001,1.4839426279067993
44,84.0,15,243,4.644613545454544,0.9780549999999997,3696,898,0.0001,1.5493583679199219
45,84.0,15,243,4.7618587777777766,0.9775562499999996,3780,919,0.0001,3.588808536529541
46,84.0,15,243,4.8009252608695645,0.9770575000000006,3864,940,0.0001,1.324669599533081
47,84.0,16,243,4.8430954255319145,0.9765587500000005,3948,961,0.0001,1.0389169454574585
48,84.0,16,243,4.81087575,0.9760600000000004,4032,982,0.0001,1.5721862316131592
49,84.0,16,243,5.010629020408163,0.9755612500000003,4116,1003,0.0001,1.3647160530090332
50,84.0,17,242,5.039102,0.9750625000000002,4200,1024,0.0001,1.6409531831741333
