#{"t_start": 1753187277.6460896, "env_id": "None"}
r,l,t
87.03228,84,0.734206
86.986628,84,1.270248
86.946338,84,1.659915
87.018061,84,2.047913
86.816102,84,2.410391
87.041068,84,2.783535
87.014847,84,3.176038
86.809118,84,3.537277
86.825083,84,3.901995
86.90901,84,4.246231
86.897973,84,4.597018
87.09085,84,4.934811
87.2471,84,5.382445
87.152312,84,5.743903
86.875886,84,6.063516
87.018248,84,6.435322
87.036886,84,6.793345
86.648986,84,7.117153
86.8973,84,7.467812
86.823753,84,7.837142
86.916146,84,8.2026
87.000418,84,8.581299
86.700611,84,9.019816
87.05591,84,9.461378
86.9237,84,9.894347
86.687902,84,10.323208
86.918737,84,10.717429
87.019708,84,11.075755
87.027314,84,11.437854
86.905725,84,11.802164
87.153889,84,12.169576
87.160904,84,12.688688
86.876258,84,13.134479
86.875092,84,13.569406
86.936475,84,14.013099
86.927926,84,14.487967
86.783394,84,14.906142
86.823374,84,15.254378
86.989131,84,15.64235
86.800548,84,16.101294
86.8158,84,16.562476
86.905707,84,16.937624
86.988932,84,17.328557
86.976283,84,17.748817
86.918095,84,18.16629
86.831123,84,18.536226
87.13797,84,19.021199
86.821765,84,19.43264
87.0541,84,19.776751
86.956458,84,20.236128
87.096104,84,20.597435
86.902692,84,20.954931
87.081067,84,21.34101
87.058849,84,21.761614
86.755809,84,22.217439
86.855589,84,22.610712
86.746634,84,23.019433
87.101924,84,23.527467
86.887899,84,24.089005
86.817837,84,24.458289
86.81795,84,24.932594
86.960209,84,25.380502
86.988021,84,25.754568
86.92158,84,26.207477
86.766766,84,26.642752
87.014763,84,27.00467
86.943684,84,27.37965
87.237319,84,27.841629
86.699153,84,28.373995
87.092028,84,28.827541
87.011096,84,29.257448
87.018057,84,29.671654
86.984445,84,30.023044
87.030594,84,30.540649
86.910534,84,30.954234
86.924978,84,31.356602
86.981245,84,31.718891
86.819652,84,32.056269
86.843075,84,32.468736
86.925316,84,32.874628
86.894067,84,33.284787
87.152302,84,33.708878
87.052507,84,34.128222
86.987785,84,34.595102
86.859572,84,34.945166
86.871758,84,35.287516
86.975569,84,35.68689
86.965935,84,36.094978
86.980352,84,36.477263
86.998434,84,36.887006
86.968858,84,37.351107
86.913632,84,37.789753
86.948492,84,38.168863
87.294216,84,38.524889
87.212439,84,39.047601
86.830684,84,39.446421
87.002322,84,39.829383
86.710437,84,40.331708
86.87488,84,40.791844
87.106443,84,41.190344
86.843005,84,41.614722
86.930175,84,42.019804
86.931055,84,42.430895
86.692674,84,42.796484
86.873923,84,43.25896
86.693191,84,43.610855
87.094071,84,43.943686
86.730381,84,44.305641
86.918909,84,44.741684
86.818171,84,45.136996
86.901085,84,45.639394
87.02449,84,46.032704
86.850879,84,46.412683
86.929674,84,46.821107
86.851571,84,47.206647
87.023999,84,47.581067
86.98225,84,47.99268
87.008819,84,48.372772
86.777649,84,48.747737
86.912582,84,49.136703
87.139975,84,49.493518
86.70216,84,49.914349
86.868384,84,50.307668
86.918447,84,50.649997
87.061593,84,50.987563
86.892677,84,51.306797
86.869374,84,51.654725
86.866175,84,52.027313
86.93701,84,52.396771
86.711079,84,52.763508
86.967976,84,53.131949
86.773022,84,53.496392
86.789567,84,53.833535
87.034439,84,54.153085
86.855942,84,54.486738
86.865993,84,54.844484
86.859607,84,55.202459
87.127537,84,55.580135
86.865571,84,55.925668
86.581359,84,56.295029
86.888514,84,56.625852
86.98493,84,56.96902
87.085891,84,57.317859
86.823334,84,57.68858
87.065313,84,58.024457
86.710154,84,58.381395
87.129684,84,58.732512
86.817304,84,59.081465
87.033035,84,59.440086
86.803097,84,59.782355
86.985467,84,60.107558
86.912304,84,60.460387
86.836276,84,60.836984
86.883237,84,61.207792
86.980064,84,61.554828
86.951844,84,61.915665
86.424077,84,62.263438
87.231414,84,62.65185
87.032434,84,63.010923
87.151113,84,63.344758
86.754745,84,63.728764
86.934319,84,64.113776
87.034422,84,64.481068
86.918964,84,64.814819
87.224907,84,65.167528
87.151584,84,65.540805
86.954141,84,65.990838
86.969666,84,66.361304
86.989802,84,66.713486
86.904218,84,67.041642
86.883959,84,67.376541
87.023508,84,67.705446
87.047352,84,68.077945
86.80854,84,68.432216
86.904639,84,68.768361
87.060632,84,69.141519
86.973248,84,69.516671
86.903173,84,69.886968
86.913527,84,70.23475
86.741666,84,70.620408
87.068538,84,71.019015
87.12656,84,71.388469
86.807013,84,71.761653
86.91187,84,72.147009
86.944365,84,72.539744
87.125224,84,72.909438
86.970595,84,73.253687
87.099234,84,73.610254
86.993974,84,73.938666
86.85092,84,74.306746
86.89332,84,74.641328
86.987555,84,74.981764
86.899763,84,75.346068
86.684765,84,75.695966
86.887409,84,76.065707
87.034627,84,76.4188
86.943835,84,76.790782
86.913703,84,77.163291
86.964699,84,77.539824
86.934636,84,77.890978
87.005068,84,78.266879
86.567149,84,78.72984
86.740787,84,79.132025
87.161327,84,79.488408
86.992618,84,79.826792
86.947258,84,80.165383
86.815426,84,80.507926
86.971463,84,80.861939
86.989615,84,81.227671
86.640917,84,81.632946
87.02112,84,81.997952
86.981946,84,82.330787
86.920793,84,82.667097
87.194341,84,83.026066
86.994403,84,83.394793
86.658837,84,83.821678
87.08499,84,84.194282
86.806893,84,84.60168
86.764094,84,84.939437
86.402826,84,85.278868
86.785978,84,85.631762
86.944189,84,86.004334
86.665235,84,86.381347
87.025381,84,86.733218
86.798962,84,87.076724
87.123111,84,87.525044
86.686398,84,87.917281
86.506215,84,88.264866
86.812416,84,88.722248
86.971385,84,89.197205
86.068537,84,89.585629
86.75228,84,89.94408
87.119677,84,90.326728
87.081867,84,90.72094
87.001987,84,91.045243
86.849316,84,91.393488
86.952588,84,91.748092
86.85572,84,92.110738
86.766137,84,92.464826
87.093942,84,92.830438
86.772077,84,93.198947
86.714092,84,93.576948
86.844245,84,93.945923
87.03868,84,94.339181
86.790811,84,94.777942
86.900612,84,95.158207
86.531526,84,95.552201
87.035411,84,95.914805
86.848089,84,96.278081
87.14606,84,96.670209
87.01924,84,97.049186
86.844987,84,97.426991
86.838948,84,97.887165
86.773025,84,98.354111
87.036601,84,98.712383
86.91375,84,99.223029
86.86969,84,99.612874
86.885237,84,100.043727
86.507308,84,100.408064
87.088937,84,100.895962
86.650127,84,101.445832
86.771904,84,101.812077
86.682713,84,102.165195
87.032864,84,102.582281
86.983852,84,102.936291
86.709846,84,103.337376
86.806001,84,103.763177
87.003185,84,104.205063
86.808092,84,104.589884
86.891461,84,104.955221
86.631181,84,105.355261
86.911506,84,105.73786
86.969874,84,106.062202
86.358277,84,106.399496
86.953158,84,106.763164
86.943811,84,107.127294
86.957115,84,107.477071
86.838002,84,107.847308
86.986997,84,108.251233
86.821329,84,108.60692
86.566598,84,108.983356
86.864722,84,109.347481
87.112006,84,109.698158
86.849284,84,110.040029
87.030415,84,110.38602
86.962974,84,110.751913
86.854759,84,111.10555
87.020497,84,111.487932
86.975475,84,111.872782
86.847208,84,112.258506
87.082287,84,112.665163
86.856144,84,113.024352
86.89217,84,113.392628
86.862768,84,113.744964
86.591113,84,114.151032
86.965538,84,114.527713
87.086781,84,114.946097
86.734774,84,115.279408
86.700328,84,115.637339
86.695047,84,115.998574
86.922542,84,116.344222
86.912954,84,116.703883
87.026076,84,117.099888
87.128853,84,117.522938
86.767225,84,117.887013
86.860466,84,118.257033
86.919707,84,118.630594
86.974235,84,119.037414
86.869302,84,119.404025
87.079329,84,119.75509
86.906367,84,120.139075
86.932239,84,120.506991
86.762184,84,120.847126
86.980967,84,121.30791
86.895339,84,121.770699
86.873819,84,122.164532
86.909338,84,122.539711
87.158916,84,122.945891
86.90805,84,123.362294
86.324449,84,123.714791
87.087065,84,124.16297
86.844113,84,124.541934
87.073768,84,124.941113
86.993864,84,125.353259
86.995331,84,125.780485
86.919206,84,126.224244
