time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
182,84,87.03228,0,0.9991133333333339,1,84.0,,,
168,168,87.009454,0,0.9982266666666666,2,84.0,69.80853271484375,0.0001,16
179,252,86.98841533333332,1,0.9973400000000006,3,84.0,59.4368896484375,0.0001,37
188,336,86.99582674999999,1,0.9964533333333333,4,84.0,46.42942810058594,0.0001,58
196,420,86.95988179999999,2,0.9955666666666672,5,84.0,37.6513671875,0.0001,79
200,504,86.97341283333333,2,0.99468,6,84.0,22.405147552490234,0.0001,100
203,588,86.979332,2,0.9937933333333339,7,84.0,16.225353240966797,0.0001,121
205,672,86.95805525,3,0.9929066666666666,8,84.0,25.189414978027344,0.0001,142
208,756,86.94328055555555,3,0.9920200000000005,9,84.0,17.81547737121582,0.0001,163
211,840,86.9398535,3,0.9911333333333332,10,84.0,13.26620864868164,0.0001,184
214,924,86.93604618181817,4,0.9902466666666672,11,84.0,13.270641326904297,0.0001,205
215,1008,86.94894649999999,4,0.9893599999999999,12,84.0,13.061717987060547,0.0001,226
213,1092,86.97188138461539,5,0.9884733333333338,13,84.0,8.600812911987305,0.0001,247
215,1176,86.98476928571428,5,0.9875866666666666,14,84.0,9.594793319702148,0.0001,268
217,1260,86.9775104,5,0.9867000000000004,15,84.0,5.951968193054199,0.0001,289
218,1344,86.98005649999999,6,0.9858133333333332,16,84.0,7.126834392547607,0.0001,310
219,1428,86.98339941176471,6,0.9849266666666671,17,84.0,5.589942932128906,0.0001,331
221,1512,86.96482088888888,6,0.9840399999999998,18,84.0,3.8060898780822754,0.0001,352
221,1596,86.96126715789474,7,0.9831533333333338,19,84.0,6.494387626647949,0.0001,373
222,1680,86.95439144999999,7,0.9822666666666665,20,84.0,2.504213809967041,0.0001,394
222,1764,86.95257023809523,7,0.9813800000000004,21,84.0,4.911462306976318,0.0001,415
221,1848,86.95474513636363,8,0.9804933333333332,22,84.0,6.175532817840576,0.0001,436
220,1932,86.94369582608695,8,0.9796066666666671,23,84.0,3.2982089519500732,0.0001,457
219,2016,86.94837141666669,9,0.9787199999999998,24,84.0,4.775572776794434,0.0001,478
218,2100,86.94738456,9,0.9778333333333337,25,84.0,5.1709699630737305,0.0001,499
217,2184,86.93740446153848,10,0.9769466666666664,26,84.0,2.6615540981292725,0.0001,520
216,2268,86.93671307407409,10,0.9760600000000004,27,84.0,3.1285064220428467,0.0001,541
217,2352,86.93967717857143,10,0.9751733333333331,28,84.0,2.0267763137817383,0.0001,562
218,2436,86.94269913793104,11,0.974286666666667,29,84.0,7.446494102478027,0.0001,583
218,2520,86.94146666666667,11,0.9733999999999998,30,84.0,2.2930045127868652,0.0001,604
218,2604,86.94831900000001,11,0.9725133333333337,31,84.0,1.845710277557373,0.0001,625
215,2688,86.95496228125,12,0.9716266666666664,32,84.0,2.5859222412109375,0.0001,646
215,2772,86.95257730303031,12,0.9707400000000003,33,84.0,1.9682446718215942,0.0001,667
214,2856,86.95029832352942,13,0.969853333333333,34,84.0,1.3893003463745117,0.0001,688
213,2940,86.94990337142859,13,0.968966666666667,35,84.0,1.3497183322906494,0.0001,709
212,3024,86.9492928888889,14,0.9680799999999997,36,84.0,3.8917880058288574,0.0001,730
212,3108,86.94480913513515,14,0.9671933333333336,37,84.0,2.224745273590088,0.0001,751
213,3192,86.94161347368423,14,0.9663066666666664,38,84.0,4.543919563293457,0.0001,772
212,3276,86.94283187179488,15,0.9654200000000003,39,84.0,3.89937162399292,0.0001,793
212,3360,86.93927477499999,15,0.964533333333333,40,84.0,5.10727071762085,0.0001,814
211,3444,86.93626319512194,16,0.9636466666666669,41,84.0,1.3791879415512085,0.0001,835
211,3528,86.93553566666665,16,0.9627599999999996,42,84.0,1.6677325963974,0.0001,856
211,3612,86.93677744186046,17,0.9618733333333336,43,84.0,1.567952275276184,0.0001,877
211,3696,86.93767529545454,17,0.9609866666666663,44,84.0,1.9895415306091309,0.0001,898
211,3780,86.93724017777777,17,0.9601000000000002,45,84.0,3.7392239570617676,0.0001,919
211,3864,86.93493328260868,18,0.959213333333333,46,84.0,1.7101155519485474,0.0001,940
210,3948,86.93925321276595,18,0.9583266666666669,47,84.0,2.200863838195801,0.0001,961
210,4032,86.93680554166667,19,0.9574399999999996,48,84.0,1.1239529848098755,0.0001,982
211,4116,86.93919930612246,19,0.9565533333333335,49,84.0,1.5406243801116943,0.0001,1003
210,4200,86.93954448000001,19,0.9556666666666662,50,84.0,1.8527686595916748,0.0001,1024
210,4284,86.94261427450981,20,0.9547800000000002,51,84.0,1.6085495948791504,0.0001,1045
211,4368,86.94184653846153,20,0.9538933333333329,52,84.0,1.1711511611938477,0.0001,1066
211,4452,86.94447333962265,21,0.9530066666666668,53,84.0,3.9141502380371094,0.0001,1087
210,4536,86.94659140740741,21,0.9521199999999996,54,84.0,1.832228660583496,0.0001,1108
