#{"t_start": 1753348350.973733, "env_id": "None"}
r,l,t
143.281465,84,1.695696
153.720064,84,2.54192
129.07952,84,3.445658
175.890841,84,4.353226
106.560742,84,5.273247
179.683513,84,6.174326
101.933237,84,7.10285
132.549124,84,7.967005
165.148919,84,8.882903
149.450983,84,9.708643
161.028717,84,10.638489
168.010248,84,11.559323
171.845349,84,12.462444
176.666707,84,13.360865
39.709933,84,14.245559
199.786423,84,15.119011
167.099393,84,16.027659
185.088639,84,16.927969
193.065074,84,17.869811
191.755189,84,18.787766
181.608607,84,19.716462
155.011005,84,20.612377
202.856593,84,21.543296
141.544934,84,22.455181
17.938524,84,23.36807
117.389273,84,24.278728
165.481339,84,25.307408
159.290939,84,26.194458
147.91824,84,27.100892
161.299857,84,27.977865
203.025436,84,28.911136
155.460814,84,29.837586
181.765521,84,30.743073
76.341224,84,31.645238
153.437543,84,32.531727
210.205212,84,33.40644
116.750627,84,34.270019
136.830151,84,35.178691
132.641887,84,36.05545
134.107518,84,36.952788
107.786747,84,37.860918
132.686357,84,38.766676
49.26661,84,39.648072
203.175632,84,40.550483
139.199172,84,41.444762
159.806675,84,42.301862
170.975906,84,43.184655
144.155431,84,44.068698
210.524558,84,44.963181
153.295456,84,45.872238
139.379189,84,46.683954
181.496057,84,47.606494
189.242433,84,48.499423
128.300476,84,49.357501
154.210265,84,50.257305
122.522437,84,51.172598
144.468074,84,52.081084
186.385504,84,52.999337
166.410753,84,53.931102
183.826868,84,54.743952
123.231048,84,55.648322
123.36622,84,56.541991
34.185958,84,57.439847
165.703158,84,58.263756
189.178363,84,59.156702
180.099968,84,60.050766
1.769047,84,60.951926
147.771043,84,61.831003
81.043612,84,62.737323
171.441554,84,63.583186
121.987921,84,64.455928
200.745643,84,65.347089
176.577828,84,66.240114
159.685556,84,67.126214
166.803082,84,68.016518
153.696921,84,68.889194
154.701727,84,69.768962
205.432209,84,70.662717
138.151896,84,71.557295
179.603899,84,72.438596
154.15963,84,73.358749
133.833276,84,74.34446
70.985075,84,75.377501
175.711428,84,76.312596
133.780743,84,77.234348
185.884225,84,78.146992
126.116824,84,79.048419
112.404524,84,79.936482
155.337578,84,80.86067
199.691771,84,81.768741
144.929743,84,82.702481
45.195121,84,83.589078
122.61526,84,84.481096
112.429786,84,85.397844
209.887241,84,86.443547
140.004804,84,87.33044
96.639377,84,88.205565
92.092199,84,89.12711
50.45157,84,90.019204
107.520624,84,90.943421
122.22363,84,91.818213
117.961396,84,92.710019
92.316464,84,93.597093
171.820302,84,94.496553
143.677256,84,95.361928
123.839726,84,96.260819
193.151167,84,97.145673
171.028322,84,98.071524
143.841144,84,98.981013
129.814677,84,99.876847
75.757413,84,100.768859
204.100553,84,101.658504
106.734805,84,102.525685
153.733621,84,103.411518
112.23855,84,104.313735
141.230779,84,105.200797
215.457657,84,106.09534
3.045699,84,106.989398
137.654287,84,107.896708
112.616528,84,108.809909
181.506919,84,109.730138
34.689819,84,110.600109
97.084394,84,111.464639
112.087166,84,112.366855
170.48902,84,113.274074
226.614825,84,114.178738
149.864387,84,115.079485
174.597075,84,115.990167
48.851603,84,116.903234
143.304612,84,117.809005
206.325832,84,118.719302
199.639633,84,119.639584
132.671758,84,120.529635
170.578269,84,121.444106
183.774195,84,122.364326
188.51907,84,123.300464
137.661404,84,124.209042
123.360893,84,125.099122
219.0236,84,126.030596
189.337198,84,126.937732
193.835258,84,127.843875
185.33144,84,128.763477
110.927279,84,129.669128
1.466066,84,130.571554
107.397156,84,131.484368
147.516319,84,132.393314
18.312029,84,133.31051
140.909233,84,134.218428
143.8757,84,135.164292
199.371068,84,136.04414
156.317784,84,136.920121
143.851306,84,137.805271
128.411209,84,138.707863
65.012616,84,139.59707
170.266193,84,140.49479
102.104127,84,141.399613
169.783192,84,142.307988
187.298264,84,143.22591
159.047534,84,144.125377
154.155585,84,145.033922
198.45407,84,145.934038
138.413509,84,146.829217
82.454055,84,147.802369
138.865524,84,148.725258
148.261797,84,149.623842
185.424117,84,150.526405
134.063317,84,151.425381
182.453589,84,152.353705
169.753779,84,153.238231
142.16098,84,154.110441
160.569856,84,155.026009
200.049125,84,155.930844
144.59217,84,156.8425
153.257994,84,157.75096
181.622404,84,158.676481
180.287879,84,159.598509
122.868186,84,160.51795
117.908242,84,161.451145
138.345962,84,162.388629
148.112295,84,163.354266
172.415586,84,164.284545
191.101586,84,165.196934
122.479739,84,166.10848
130.497335,84,167.028042
92.345126,84,167.92512
117.679867,84,168.846456
203.917386,84,169.746705
159.689565,84,170.652498
70.905045,84,171.508974
66.504901,84,172.4124
153.714162,84,173.345615
198.458568,84,174.202795
222.413921,84,175.095236
86.535964,84,175.97534
176.799632,84,176.88682
198.088205,84,177.8027
96.290027,84,178.70679
127.895124,84,179.603669
144.484377,84,180.52549
86.710856,84,181.410136
8.436903,84,182.297816
132.628804,84,183.219385
148.565618,84,184.066257
156.720352,84,184.959855
70.297369,84,185.858274
76.415414,84,186.772543
197.68029,84,187.681674
60.236981,84,188.577685
122.740403,84,189.49709
180.729652,84,190.43173
186.216811,84,191.332794
137.603263,84,192.270086
87.340323,84,193.149266
0.206787,84,194.060911
186.907978,84,194.973119
153.986125,84,195.868598
203.761924,84,196.764804
138.564754,84,197.699641
148.569317,84,198.582474
60.78706,84,199.499768
186.2358,84,200.406353
195.101071,84,201.303372
193.175387,84,202.217882
127.08477,84,203.123068
133.038695,84,204.038581
150.157087,84,204.938729
160.562313,84,205.832707
54.930497,84,206.732975
164.195203,84,207.644653
180.887299,84,208.517007
147.882244,84,209.534181
129.042371,84,210.422679
144.747778,84,211.326794
198.423614,84,212.249929
137.593623,84,213.145214
152.147696,84,214.035039
144.042803,84,214.957878
132.087487,84,215.86117
169.749265,84,216.759907
143.386064,84,217.635837
191.053016,84,218.554653
95.899549,84,219.511042
81.764106,84,220.433322
186.386276,84,221.386449
66.424806,84,222.306569
148.846988,84,223.251686
95.461715,84,224.170739
176.497966,84,225.118433
165.106361,84,226.0762
112.844116,84,227.005297
118.221329,84,227.923566
197.5546,84,228.833123
124.658357,84,229.742459
136.640226,84,230.6415
154.543889,84,231.557345
121.819729,84,232.45615
134.095856,84,233.362624
112.357743,84,234.262043
127.379925,84,235.177887
145.703921,84,236.090788
205.216843,84,237.012273
157.65067,84,237.893689
179.923084,84,238.760204
150.101809,84,239.677321
211.8452,84,240.58474
176.423265,84,241.488302
65.536974,84,242.404967
160.241191,84,243.318871
167.628267,84,244.220872
163.440259,84,245.123735
118.321547,84,245.978829
76.19789,84,246.907763
19.844323,84,247.84049
171.814637,84,248.738159
176.53588,84,249.660795
0.416135,84,250.550453
225.134166,84,251.456614
82.032427,84,252.373595
113.147923,84,253.278939
113.319091,84,254.178049
49.563502,84,255.059344
152.674576,84,255.909395
218.164691,84,256.832246
153.556065,84,257.717682
147.533339,84,258.630569
188.38615,84,259.576722
36.345711,84,260.442425
154.742352,84,261.367584
94.90126,84,262.274078
214.876,84,263.194722
208.975025,84,264.09414
192.372026,84,265.013595
219.286859,84,265.88959
147.485011,84,266.800879
153.394986,84,267.717013
181.143158,84,268.62196
160.330136,84,269.555965
181.739485,84,270.472848
123.06934,84,271.446111
75.529852,84,272.368666
131.570756,84,273.284968
-3.711145,84,274.185603
92.61001,84,275.097639
184.28713,84,276.020267
97.170559,84,276.926309
117.63425,84,277.834726
152.509456,84,278.746679
66.154006,84,279.68302
161.442582,84,280.587708
154.881193,84,281.486312
60.388889,84,282.397124
190.039657,84,283.310325
157.854564,84,284.223179
159.72158,84,285.133247
60.394661,84,285.985121
159.806502,84,286.900086
189.893731,84,287.834323
205.734003,84,288.736318
65.592919,84,289.65751
108.663899,84,290.596483
213.474753,84,291.499811
165.140375,84,292.400834
159.510563,84,293.326703
152.563221,84,294.225695
181.834102,84,295.118865
137.577623,84,295.993418
122.551375,84,296.892192
70.197244,84,297.794423
81.692307,84,298.691761
96.594861,84,299.581569
97.986934,84,300.460475
148.580329,84,301.359794
101.220909,84,302.262171
69.835261,84,303.071105
105.179053,84,303.962537
180.612669,84,304.878163
202.644617,84,305.819778
-1.348992,84,306.662613
155.983945,84,307.57503
177.455382,84,308.493999
164.45306,84,309.38744
127.591076,84,310.30696
209.629134,84,311.25539
171.429137,84,312.194294
185.493552,84,313.137491
71.689614,84,314.107032
55.736966,84,315.046279
139.119163,84,316.008218
117.377907,84,316.936196
129.601139,84,317.851393
116.472609,84,318.772923
102.824124,84,319.700458
169.990513,84,320.628576
208.70627,84,321.516235
179.495351,84,322.413983
193.172515,84,323.336785
9.142589,84,324.260526
180.737433,84,325.196306
193.732715,84,326.119703
180.856486,84,327.071985
-2.824646,84,327.998496
150.044897,84,328.910785
148.616055,84,329.824183
164.491034,84,330.627419
185.91409,84,331.539671
128.420381,84,332.465878
189.735082,84,333.364137
61.006632,84,334.2077
86.389726,84,335.128241
0.76487,84,336.039685
191.775993,84,336.946123
172.117246,84,337.851474
186.504135,84,338.770848
0.71491,84,339.666776
79.747209,84,340.560958
219.100694,84,341.437852
71.232447,84,342.356446
196.410019,84,343.234522
164.129792,84,344.143342
121.920865,84,345.026702
132.272884,84,345.944626
157.670968,84,346.821499
186.962307,84,347.747009
151.060232,84,348.642564
161.08183,84,349.543855
39.279609,84,350.372283
187.498381,84,351.254295
122.679963,84,352.14362
179.825598,84,353.061051
108.603182,84,353.933067
170.199948,84,354.831051
-0.837448,84,355.759905
91.979787,84,356.695796
198.888304,84,357.58483
159.696176,84,358.498215
112.012978,84,359.422471
178.694954,84,360.351864
140.44681,84,361.238477
