#{"t_start": 1753684571.5634117, "env_id": "None"}
r,l,t
24.002814,84,2.426088
8.913897,84,4.387345
12.418713,84,6.952461
18.635809,84,9.367853
16.331989,84,11.78509
12.070933,84,14.258069
12.50799,84,16.805856
15.437632,84,19.441334
20.81934,84,22.035501
26.696633,84,24.850826
18.606872,84,27.457479
16.020783,84,29.938162
23.079497,84,32.50823
22.998942,84,35.075129
20.289558,84,37.608538
15.514625,84,40.241775
16.750893,84,42.91987
14.945168,84,45.676223
17.333364,84,48.314573
27.764282,84,51.02454
19.482476,84,53.506431
17.128711,84,56.125824
15.182463,84,58.566131
16.996682,84,61.060604
27.45996,84,63.599184
25.478153,84,66.281439
16.260459,84,68.762614
12.703705,84,71.26533
13.355445,84,73.884918
27.280924,84,76.20195
20.206329,84,78.610049
19.159649,84,81.211658
16.411685,84,83.635896
24.53542,84,86.141199
20.366051,84,88.712799
22.674879,84,91.386817
21.415993,84,93.831831
18.353518,84,96.371928
16.607816,84,99.010282
17.069351,84,101.582182
14.678637,84,104.107311
16.832799,84,106.749532
18.904437,84,109.466601
26.580931,84,112.009066
14.515852,84,114.547532
11.97489,84,117.097514
14.896137,84,119.589375
21.196106,84,122.218046
11.748594,84,124.768067
12.936924,84,127.143252
20.364319,84,129.683555
19.979455,84,132.300622
19.58553,84,135.208333
24.191687,84,137.761298
21.651875,84,140.323774
16.062581,84,142.792979
17.065366,84,145.118422
18.269905,84,147.571541
14.977364,84,150.010719
12.036307,84,152.415881
19.849404,84,155.146151
28.849074,84,157.574964
14.737756,84,160.154911
12.640893,84,162.792401
21.440123,84,165.24447
17.258699,84,167.973021
22.34499,84,170.445085
23.234792,84,173.030805
26.577959,84,175.689033
24.961037,84,178.382868
24.877993,84,181.023374
19.919862,84,183.52228
18.18242,84,186.163162
27.51198,84,188.711012
12.671388,84,191.371395
30.507621,84,193.924094
19.141537,84,196.399703
19.041376,84,198.991205
22.53819,84,201.575877
23.43989,84,204.097854
28.00332,84,206.499603
31.200011,84,209.106863
14.028596,84,211.324822
20.266532,84,213.862161
10.279788,84,216.282795
26.680859,84,219.014101
14.69805,84,221.623944
19.567007,84,224.269869
17.852051,84,226.928397
13.84175,84,229.541217
30.835684,84,232.220722
20.377648,84,234.729938
19.631218,84,237.018677
15.047067,84,239.651498
17.966063,84,242.183705
24.626036,84,244.783487
17.009056,84,247.334831
21.405109,84,249.905019
17.882791,84,252.498829
17.617902,84,255.060513
14.239125,84,257.741906
25.492304,84,260.102494
11.298495,84,262.682683
14.239437,84,265.291915
10.801819,84,267.607132
15.248293,84,270.081981
16.536917,84,272.675776
