time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
1,24.002814,84.0,0,136,0.9991133333333339,84,,,
2,16.4583555,84.0,2,62,0.9982266666666666,168,16,72.9610824584961,0.0001
3,15.111808000000002,84.0,5,47,0.9973400000000006,252,37,49.45476531982422,0.0001
4,15.99280825,84.0,7,43,0.9964533333333333,336,58,59.5146369934082,0.0001
5,16.0606444,84.0,9,42,0.9955666666666672,420,79,41.106117248535156,0.0001
6,15.395692500000001,84.0,12,39,0.99468,504,100,32.47762680053711,0.0001
7,14.983163571428573,84.0,15,39,0.9937933333333339,588,121,32.77576446533203,0.0001
8,15.039972125,84.0,17,38,0.9929066666666666,672,142,11.321955680847168,0.0001
9,15.682124111111111,84.0,20,36,0.9920200000000005,756,163,12.911157608032227,0.0001
10,16.783575,84.0,23,36,0.9911333333333332,840,184,6.171316146850586,0.0001
11,16.949329272727272,84.0,25,36,0.9902466666666672,924,205,11.578262329101562,0.0001
12,16.871950416666667,84.0,28,35,0.9893599999999999,1008,226,6.680357933044434,0.0001
13,17.349454,84.0,30,35,0.9884733333333338,1092,247,5.91137170791626,0.0001
14,17.752988857142856,84.0,33,35,0.9875866666666666,1176,268,8.197243690490723,0.0001
15,17.92209346666667,84.0,35,35,0.9867000000000004,1260,289,3.621575355529785,0.0001
16,17.7716266875,84.0,38,34,0.9858133333333332,1344,310,9.91932201385498,0.0001
17,17.711583529411765,84.0,41,34,0.9849266666666671,1428,331,3.742579221725464,0.0001
18,17.557893777777778,84.0,43,34,0.9840399999999998,1512,352,3.850558280944824,0.0001
19,17.546076421052636,84.0,46,34,0.9831533333333338,1596,373,5.044922351837158,0.0001
20,18.056986700000003,84.0,49,34,0.9822666666666665,1680,394,2.765749216079712,0.0001
21,18.124867142857145,84.0,51,34,0.9813800000000004,1764,415,5.56647253036499,0.0001
22,18.079587318181822,84.0,54,34,0.9804933333333332,1848,436,4.780969619750977,0.0001
23,17.95362539130435,84.0,56,34,0.9796066666666671,1932,457,3.1193294525146484,0.0001
24,17.91375275,84.0,59,33,0.9787199999999998,2016,478,5.133878231048584,0.0001
25,18.29560104,84.0,61,33,0.9778333333333337,2100,499,5.965916633605957,0.0001
26,18.57185303846154,84.0,64,33,0.9769466666666664,2184,520,2.6071133613586426,0.0001
27,18.486245851851855,84.0,67,33,0.9760600000000004,2268,541,2.2769532203674316,0.0001
28,18.27972653571429,84.0,69,33,0.9751733333333331,2352,562,1.9151787757873535,0.0001
29,18.109923724137932,84.0,72,33,0.974286666666667,2436,583,7.886624813079834,0.0001
30,18.415623733333337,84.0,74,33,0.9733999999999998,2520,604,1.8290963172912598,0.0001
