#{"t_start": 1753624439.6058657, "env_id": "None"}
r,l,t
264.406169,84,0.725183
262.01055,84,1.242825
266.084161,84,1.59724
262.753618,84,1.957138
263.035703,84,2.367101
262.831024,84,2.778626
260.250362,84,3.156278
261.419236,84,3.555417
259.659891,84,3.964553
265.914548,84,4.434882
259.770096,84,4.825158
265.948214,84,5.24048
264.950622,84,5.620466
260.904165,84,5.989288
263.34969,84,6.364771
263.884906,84,6.76517
261.758654,84,7.189374
264.341072,84,7.633102
266.557811,84,8.098024
263.579442,84,8.509642
263.874262,84,8.927329
260.014101,84,9.323585
263.139512,84,9.697144
259.756919,84,10.098845
261.822755,84,10.513618
259.728982,84,10.972557
263.798905,84,11.380131
263.342322,84,11.78767
259.467698,84,12.17957
259.140578,84,12.576005
264.858129,84,13.000855
265.761362,84,13.456034
262.198777,84,13.887835
261.005285,84,14.314151
261.756959,84,14.73869
264.903279,84,15.14089
265.297379,84,15.545456
263.607349,84,15.972791
261.01877,84,16.432962
268.607962,84,16.82919
267.800547,84,17.265182
259.619787,84,17.826543
259.836855,84,18.258197
267.640688,84,18.729303
263.1164,84,19.245044
263.889341,84,19.680304
266.067236,84,20.075109
262.313996,84,20.450998
266.1219,84,20.895213
266.398078,84,21.339321
264.784924,84,21.749756
265.353481,84,22.173355
264.496171,84,22.708489
262.697007,84,23.162176
260.518496,84,23.582236
265.233177,84,24.093171
264.973193,84,24.522661
262.651731,84,25.048183
258.857507,84,25.575198
264.799701,84,26.084945
263.715714,84,26.515817
264.216083,84,27.033697
264.074201,84,27.515149
266.292229,84,27.95136
263.041833,84,28.5431
265.009753,84,29.005397
263.831281,84,29.462631
259.746939,84,30.026304
265.410868,84,30.512282
264.718828,84,30.966319
264.262052,84,31.498809
264.937,84,32.180176
268.382793,84,32.731918
263.175341,84,33.202184
261.974839,84,33.703221
261.965561,84,34.283414
265.699436,84,34.759221
265.790008,84,35.187898
262.538693,84,35.673472
262.275619,84,36.119537
264.806028,84,36.553253
264.51059,84,36.937544
264.437123,84,37.285831
266.130827,84,37.701228
263.400206,84,38.170925
262.686065,84,38.679214
265.354618,84,39.116522
263.891257,84,39.550308
264.280982,84,39.964448
264.258912,84,40.381014
258.438047,84,40.824651
266.257175,84,41.235452
267.926158,84,41.625703
265.66937,84,42.060634
262.443092,84,42.48208
261.168917,84,42.909831
258.972965,84,43.361408
260.950633,84,43.800951
264.434315,84,44.347407
264.976563,84,44.819361
261.620689,84,45.300675
265.889173,84,45.763059
264.549378,84,46.273115
263.22267,84,46.873312
264.941868,84,47.300977
262.92644,84,47.752382
264.143849,84,48.182511
263.532475,84,48.594672
262.545626,84,49.005104
262.674618,84,49.399735
264.190794,84,49.832557
263.05144,84,50.332227
265.881479,84,50.696774
264.268599,84,51.09243
263.644337,84,51.616374
260.359389,84,52.053027
263.365336,84,52.443202
262.320656,84,52.868178
264.553319,84,53.294373
260.052159,84,53.730887
257.516715,84,54.202219
266.324048,84,54.638075
264.375995,84,55.033488
261.767503,84,55.402177
263.460702,84,55.807207
258.463946,84,56.192846
265.301339,84,56.6538
259.418203,84,57.085825
258.324683,84,57.52855
265.487149,84,57.926593
261.540987,84,58.303735
263.822231,84,58.688909
259.631876,84,59.163445
260.001151,84,59.601315
260.01688,84,59.988162
261.646091,84,60.355439
264.167455,84,60.785469
260.984706,84,61.185699
261.586696,84,61.599272
264.654013,84,61.999233
262.848928,84,62.438284
260.828388,84,63.100335
264.358637,84,63.596212
263.353814,84,64.012893
260.429852,84,64.41334
263.197974,84,64.887604
260.566454,84,65.406876
264.517665,84,65.862392
264.804649,84,66.281054
260.372283,84,66.70873
262.305394,84,67.107373
263.353623,84,67.494584
264.834285,84,68.170427
266.369256,84,68.655784
267.52294,84,69.077129
264.293762,84,69.467654
264.996827,84,69.935683
266.298715,84,70.438352
263.855836,84,71.019974
267.551329,84,71.5009
261.798438,84,71.933746
266.582214,84,72.410797
262.128878,84,72.826289
260.461882,84,73.279706
267.905937,84,73.6987
262.329806,84,74.120766
258.497264,84,74.630763
270.118111,84,75.133686
267.42804,84,75.678915
260.922259,84,76.185166
266.690675,84,76.597453
261.967999,84,77.067895
263.221635,84,77.528293
261.409705,84,77.950491
269.535406,84,78.336672
268.40269,84,78.741098
261.908766,84,79.22509
264.240973,84,79.652467
264.827557,84,80.034023
266.151231,84,80.444935
268.501488,84,80.859944
260.040766,84,81.302523
264.973582,84,81.792755
261.167043,84,82.227465
262.027032,84,82.616475
264.576145,84,82.978605
260.395561,84,83.42048
264.28424,84,83.896393
263.866652,84,84.356147
264.768146,84,84.758059
262.006548,84,85.239868
263.802589,84,85.667621
261.530234,84,86.098768
263.104536,84,86.5775
263.435652,84,87.04376
258.188004,84,87.436188
260.479612,84,87.885082
261.90539,84,88.44494
266.614755,84,88.939448
264.339788,84,89.441422
264.720992,84,89.840892
262.160901,84,90.257823
263.294944,84,90.685806
267.39534,84,91.196039
257.958223,84,91.654926
263.792146,84,92.034577
263.606542,84,92.521141
265.484964,84,93.026892
259.383165,84,93.461628
259.356992,84,93.961505
263.87519,84,94.419958
265.978386,84,94.915636
267.619612,84,95.368683
264.073236,84,95.917956
261.800951,84,96.42885
263.492358,84,96.887838
265.785872,84,97.454012
260.625568,84,97.937728
262.652864,84,98.563312
260.228819,84,99.028584
263.623792,84,99.458269
260.66615,84,99.965614
265.410115,84,100.449791
264.521212,84,100.975245
260.617331,84,101.431385
260.923721,84,101.879251
263.909064,84,102.282791
260.909919,84,102.725961
265.435709,84,103.169533
263.267496,84,103.591284
261.546319,84,103.995746
259.141625,84,104.430306
258.968908,84,104.856856
265.091067,84,105.256769
265.866702,84,105.61464
261.757676,84,105.963526
260.800772,84,106.385346
262.222374,84,106.79447
263.541965,84,107.170834
262.92746,84,107.579496
258.304652,84,108.065794
265.474163,84,108.544971
263.148638,84,108.968918
264.886263,84,109.392639
263.994497,84,109.805237
260.567579,84,110.260854
260.858084,84,110.711966
261.392008,84,111.278435
267.380895,84,111.690073
262.742813,84,112.115882
263.389216,84,112.540293
263.707782,84,112.942672
265.036339,84,113.365389
264.426039,84,113.786316
260.729803,84,114.178186
260.591309,84,114.564945
266.220415,84,114.950952
267.839028,84,115.352753
259.368882,84,115.753041
265.781728,84,116.148149
261.906385,84,116.513857
260.724034,84,116.902917
262.47088,84,117.275129
259.2507,84,117.645879
264.863084,84,118.053153
263.05727,84,118.50187
263.056975,84,119.045856
266.806379,84,119.602412
261.396437,84,120.078974
263.314335,84,120.485432
263.796242,84,120.899825
260.083907,84,121.46151
264.274449,84,121.8906
265.496396,84,122.289064
263.624886,84,122.756357
261.229236,84,123.237265
258.903881,84,123.757042
266.827223,84,124.248458
262.289017,84,124.696115
260.633742,84,125.156779
260.542823,84,125.553633
262.934661,84,125.937935
267.685427,84,126.371809
266.312551,84,126.780923
263.999664,84,127.176665
264.105221,84,127.648523
261.931096,84,128.060829
267.200805,84,128.451647
267.203307,84,128.875429
263.714297,84,129.353014
265.117845,84,129.794281
264.206224,84,130.241517
264.115621,84,130.633979
265.064641,84,131.209073
262.860534,84,131.763255
264.475545,84,132.183297
258.5036,84,132.621186
266.302035,84,133.084935
259.578026,84,133.585847
265.392979,84,134.092836
264.865585,84,134.60396
265.351753,84,135.088771
263.722045,84,135.484146
266.09941,84,135.907034
262.127443,84,136.329693
262.239512,84,136.77996
260.480069,84,137.211538
264.705464,84,137.632023
264.728707,84,138.013913
261.573036,84,138.49741
263.585196,84,138.944623
261.716086,84,139.41926
259.194042,84,139.838178
267.11869,84,140.247921
261.057154,84,140.689585
263.766102,84,141.163111
266.62106,84,141.594052
261.841028,84,142.033692
259.852101,84,142.441545
257.018388,84,142.911004
264.769433,84,143.416583
263.274744,84,143.899647
258.63761,84,144.38341
263.440075,84,144.813382
261.389072,84,145.258152
259.498673,84,145.682217
260.265206,84,146.093204
262.907468,84,146.512744
260.054485,84,146.901527
259.225065,84,147.283013
265.744481,84,147.708198
264.010832,84,148.118275
262.613771,84,148.533107
260.124015,84,148.927041
264.498931,84,149.361525
263.842497,84,149.81816
260.869647,84,150.223436
266.205459,84,150.688617
264.522777,84,151.145714
265.493849,84,151.561612
265.727722,84,151.968473
257.121473,84,152.41773
265.162956,84,152.864328
267.383746,84,153.285226
268.26763,84,153.674875
262.257131,84,154.117722
259.395778,84,154.592441
263.850074,84,155.032049
261.293428,84,155.466457
260.01858,84,155.990351
264.271384,84,156.512254
263.373183,84,157.059521
261.499697,84,157.533199
261.123089,84,158.052361
264.459937,84,158.557549
263.081535,84,159.0198
258.519691,84,159.429243
263.754601,84,159.897486
262.991742,84,160.369109
260.076658,84,160.790289
264.258745,84,161.257215
258.949406,84,161.800051
259.856785,84,162.302138
262.292264,84,162.722257
263.126663,84,163.201556
264.656954,84,163.718618
261.582098,84,164.324653
259.125167,84,164.934084
261.754781,84,165.432113
261.737936,84,165.98132
263.581345,84,166.555679
263.805012,84,167.098492
267.071048,84,167.569839
256.394532,84,168.067214
264.120083,84,168.541157
264.224378,84,168.93948
267.923341,84,169.383828
262.704658,84,169.849052
257.193359,84,170.25109
259.392592,84,170.712607
260.622974,84,171.149632
263.450909,84,171.549627
259.347856,84,171.967468
267.158874,84,172.420096
264.647794,84,172.854029
264.931774,84,173.305444
256.952384,84,173.735091
265.633606,84,174.212006
263.399762,84,174.631976
262.412477,84,175.038318
257.648512,84,175.549978
262.790804,84,176.057802
259.807176,84,176.580128
264.840927,84,177.143399
264.051576,84,177.614993
259.140825,84,178.070669
262.880617,84,178.473504
263.093157,84,178.905558
265.319208,84,179.402332
264.704458,84,179.961498
263.116861,84,180.401715
255.684986,84,180.812201
265.470822,84,181.25231
262.691344,84,181.737971
262.215457,84,182.187525
267.35024,84,182.702112
259.854713,84,183.160612
261.063731,84,183.624274
261.128205,84,184.136735
258.384273,84,184.651441
258.590338,84,185.067266
264.130189,84,185.47766
260.760824,84,185.885836
258.588251,84,186.387646
264.237442,84,186.877359
267.01401,84,187.278938
260.760346,84,187.719379
261.244398,84,188.159204
262.252813,84,188.569531
263.142038,84,189.003692
261.666868,84,189.454771
266.605977,84,189.864587
265.052317,84,190.260623
263.785606,84,190.684614
261.932331,84,191.147033
268.359219,84,191.55119
263.630264,84,191.941926
260.003246,84,192.34669
262.889367,84,192.750778
260.856302,84,193.159595
259.467891,84,193.593372
260.605464,84,194.056094
261.149869,84,194.51529
264.997978,84,194.978609
260.20028,84,195.437448
261.766471,84,195.858698
260.790132,84,196.312723
261.336665,84,196.726793
264.395034,84,197.198888
265.755128,84,197.583633
262.168067,84,198.069909
262.34395,84,198.585407
258.2212,84,199.139811
264.710394,84,199.573751
260.819212,84,200.092533
263.263532,84,200.576546
262.116414,84,201.004886
264.480792,84,201.578854
263.650212,84,201.997362
259.747146,84,202.421851
263.532674,84,202.879995
262.695763,84,203.297856
259.228265,84,203.758759
260.146182,84,204.211098
266.295087,84,204.672604
264.757311,84,205.139756
263.3905,84,205.695302
261.450603,84,206.229238
266.555742,84,206.668442
264.862267,84,207.159184
261.442014,84,207.677703
265.680614,84,208.096451
258.908533,84,208.503833
259.178598,84,208.955582
264.082558,84,209.441684
264.226403,84,209.846439
264.807749,84,210.307786
263.942792,84,210.728204
257.761181,84,211.153627
265.601084,84,211.60201
256.632986,84,212.070372
263.35469,84,212.482157
261.063455,84,212.93908
261.201954,84,213.380964
260.280106,84,213.819745
262.678006,84,214.309995
261.978539,84,214.734372
260.11391,84,215.182346
257.544424,84,215.624589
263.794207,84,216.081099
262.899929,84,216.644772
260.067562,84,217.138979
260.55523,84,217.59738
262.511004,84,218.048744
265.347686,84,218.505921
262.307863,84,218.950514
264.293695,84,219.393603
266.840764,84,219.830112
262.179118,84,220.22516
265.369331,84,220.669597
265.327235,84,221.090827
261.372278,84,221.487367
266.57973,84,221.937273
261.364366,84,222.36112
260.544502,84,222.797008
265.145689,84,223.197148
265.032866,84,223.595378
267.631637,84,223.990119
259.196859,84,224.450413
257.338888,84,224.969405
266.518427,84,225.474317
267.212985,84,225.947746
259.65458,84,226.380562
264.930128,84,226.91872
262.939303,84,227.449515
260.037952,84,227.89979
258.057544,84,228.314822
257.377579,84,228.74625
267.886938,84,229.18023
261.474033,84,229.709738
261.101068,84,230.204771
255.553129,84,230.646048
260.260164,84,231.107509
258.737099,84,231.58473
262.970504,84,232.079808
260.853914,84,232.5539
259.987473,84,233.081445
264.863071,84,233.534568
262.776105,84,233.978359
266.329808,84,234.446662
260.420999,84,234.925731
265.041172,84,235.36766
262.729818,84,235.799423
264.015119,84,236.230084
264.99954,84,236.643693
261.445332,84,237.117185
261.564626,84,237.526426
258.851907,84,237.972706
264.278993,84,238.436876
260.047035,84,238.988575
265.949109,84,239.457957
258.586114,84,239.907295
258.641453,84,240.373893
266.031507,84,240.867975
264.832517,84,241.284066
262.256725,84,241.693745
260.40316,84,242.169079
264.610064,84,242.624797
261.626725,84,243.020886
261.712632,84,243.43511
260.165935,84,243.904207
261.261811,84,244.320141
256.210574,84,244.718175
259.235777,84,245.139763
264.086401,84,245.541119
265.560017,84,245.958503
264.484075,84,246.362046
262.280978,84,246.819226
264.284509,84,247.239239
261.310154,84,247.6804
268.705524,84,248.148964
264.496322,84,248.580529
262.988504,84,249.024109
268.275106,84,249.577855
259.184021,84,250.06489
262.048791,84,250.480568
265.411301,84,250.918111
265.132491,84,251.379301
268.106562,84,251.820729
262.400794,84,252.270167
265.777433,84,252.709528
261.378262,84,253.126775
264.214322,84,253.518692
266.979154,84,253.942947
262.432267,84,254.38541
263.279595,84,254.867408
260.601019,84,255.296708
263.877413,84,255.715088
263.474054,84,256.197956
262.166867,84,256.708396
268.127784,84,257.174067
262.734707,84,257.617898
267.149301,84,258.042301
265.758631,84,258.507557
262.967023,84,258.948987
258.750038,84,259.36941
262.643457,84,259.817319
259.689209,84,260.253303
265.25493,84,260.68022
260.605358,84,261.089479
263.399685,84,261.552302
263.83325,84,261.999632
265.032064,84,262.477141
260.23969,84,262.986153
262.027115,84,263.512298
258.950373,84,264.00227
264.73414,84,264.439258
263.081396,84,264.866935
264.863057,84,265.298759
264.182773,84,265.703985
266.224513,84,266.129618
264.031418,84,266.606369
258.547796,84,267.024676
264.570844,84,267.471901
271.598573,84,267.930404
264.859605,84,268.405661
267.700978,84,268.831027
261.017736,84,269.258419
258.552324,84,269.720857
261.517426,84,270.177696
261.412198,84,270.624171
259.337682,84,271.068434
261.658538,84,271.478835
259.810605,84,271.916362
261.407186,84,272.342948
259.517739,84,272.75443
261.773924,84,273.154442
261.332902,84,273.560454
259.227827,84,274.075416
260.933386,84,274.516723
262.16923,84,274.964108
261.588592,84,275.397415
266.359996,84,275.809686
268.549896,84,276.296308
260.898629,84,276.791055
268.925553,84,277.239781
264.142302,84,277.670493
259.777725,84,278.107033
262.322833,84,278.612416
262.494882,84,279.076579
260.221949,84,279.507
260.236858,84,280.01516
262.53673,84,280.513411
263.392624,84,281.034394
260.354817,84,281.646344
262.345351,84,282.108253
265.434061,84,282.604732
262.193393,84,283.124495
257.931469,84,283.640404
265.228844,84,284.123306
268.40441,84,284.68438
266.802423,84,285.170661
264.56485,84,285.679834
262.943782,84,286.149793
263.220586,84,286.622114
257.523604,84,287.069053
262.744297,84,287.542889
263.275204,84,288.006168
258.960235,84,288.533167
259.832167,84,288.98344
267.119993,84,289.500991
262.523604,84,289.965249
266.235612,84,290.42946
261.668347,84,290.995119
257.586993,84,291.449639
260.867281,84,291.901489
262.135955,84,292.374174
261.639766,84,292.85543
265.83601,84,293.306152
261.397891,84,293.757451
261.396429,84,294.201299
266.146104,84,294.657228
261.705243,84,295.09316
258.408754,84,295.539657
264.780014,84,295.972828
259.214437,84,296.408892
261.037551,84,296.82337
259.077099,84,297.322581
260.656209,84,297.762308
268.058351,84,298.212445
261.149873,84,298.650188
265.703899,84,299.112895
262.725244,84,299.549734
261.585308,84,300.039119
259.888963,84,300.503328
267.814922,84,300.924606
261.368529,84,301.393505
258.106009,84,301.847587
261.872053,84,302.299897
268.143338,84,302.769634
259.878507,84,303.244672
263.019538,84,303.711331
268.182792,84,304.142973
265.636727,84,304.578269
266.751292,84,305.009938
260.693291,84,305.443322
259.157154,84,305.882571
266.655381,84,306.355455
259.8458,84,306.782026
259.477721,84,307.205042
258.579489,84,307.644677
261.16829,84,308.098736
265.860578,84,308.52317
261.097721,84,308.979631
264.350403,84,309.433678
265.4271,84,309.872329
267.845532,84,310.392944
257.960491,84,310.934999
258.847822,84,311.412921
261.074703,84,311.875671
262.207372,84,312.379727
256.93084,84,312.976509
264.39924,84,313.45094
262.459495,84,313.953356
261.515481,84,314.460566
262.825841,84,314.937748
262.756198,84,315.49051
