#{"t_start": 1755439648.6559148, "env_id": "None"}
r,l,t
90.089097,84,0.753645
90.94292,84,1.298195
72.75744,84,1.723309
53.141595,84,2.271046
100.175759,84,2.707137
74.254624,84,3.144589
83.26892,84,3.609304
89.495838,84,4.035774
45.170882,84,4.469633
93.198816,84,4.981474
27.470449,84,5.382578
103.789755,84,5.791758
90.085752,84,6.226929
101.259033,84,6.62633
69.734145,84,7.048893
82.809121,84,7.443072
85.54605,84,7.961516
84.001848,84,8.412085
107.32695,84,8.933451
75.480854,84,9.370507
79.304562,84,9.813395
102.857455,84,10.216812
76.682269,84,10.662564
89.878012,84,11.091667
91.914058,84,11.517632
93.803239,84,11.953668
103.61239,84,12.363873
111.671927,84,12.752049
91.95534,84,13.173983
120.69107,84,13.608144
80.022643,84,13.997925
135.43594,84,14.403704
84.827275,84,14.803501
83.582348,84,15.200748
80.125141,84,15.608404
103.629307,84,16.071805
94.457786,84,16.502843
123.903049,84,16.923601
86.060926,84,17.330977
78.761363,84,17.800323
110.800973,84,18.230646
91.83436,84,18.683982
89.134432,84,19.135122
119.062771,84,19.602245
77.664815,84,20.02603
93.803831,84,20.490549
49.468537,84,20.917159
98.430965,84,21.492915
63.37352,84,22.016572
108.125736,84,22.495791
113.054493,84,23.012856
100.616041,84,23.539458
85.068686,84,24.036737
71.329897,84,24.444888
101.656201,84,24.908424
67.832754,84,25.327845
73.406802,84,25.749138
81.985759,84,26.166116
105.783782,84,26.62541
109.560117,84,27.14149
90.476315,84,27.582184
100.765089,84,28.16744
61.859217,84,28.744231
70.159154,84,29.221141
68.331919,84,29.676245
45.800064,84,30.144358
84.069175,84,30.608529
127.719897,84,31.038682
75.24763,84,31.479267
100.880716,84,31.956179
87.130041,84,32.536017
76.033134,84,33.003126
78.205765,84,33.479879
124.198152,84,33.955809
83.892408,84,34.404036
92.366731,84,34.913764
104.805319,84,35.386791
82.936696,84,35.853309
91.052419,84,36.320448
69.707548,84,36.751863
74.759072,84,37.178306
70.269052,84,37.665984
85.707826,84,38.138451
86.727179,84,38.670224
78.989704,84,39.092435
110.424129,84,39.553318
136.076451,84,40.006679
109.282907,84,40.485111
73.745661,84,40.976754
87.929488,84,41.453149
97.417432,84,41.89064
100.935781,84,42.322138
95.634207,84,42.816764
76.160585,84,43.323797
73.405804,84,43.83243
99.66984,84,44.379289
91.200998,84,44.84956
77.481803,84,45.340617
89.070574,84,45.872285
66.846934,84,46.324502
96.452293,84,46.904886
73.782583,84,47.497631
82.69779,84,47.982113
76.849761,84,48.457184
77.876064,84,48.960113
52.467448,84,49.467344
114.178862,84,50.041218
59.779133,84,50.481316
89.999257,84,51.001159
103.06737,84,51.5473
59.099295,84,52.083511
83.642545,84,52.595483
52.428948,84,53.084127
75.73587,84,53.581673
70.275632,84,54.103739
105.46536,84,54.599541
58.984249,84,55.109898
53.657962,84,55.625019
116.88119,84,56.150675
56.41213,84,56.764732
122.654175,84,57.229334
98.116959,84,57.722678
98.961216,84,58.231093
41.921367,84,58.740317
59.116472,84,59.275676
95.292208,84,59.803464
106.448092,84,60.338821
88.726134,84,60.947734
101.267656,84,61.478084
100.799842,84,62.014988
66.121334,84,62.556673
70.352008,84,63.124588
58.892068,84,63.660301
117.057931,84,64.153029
69.403959,84,64.691669
101.950428,84,65.187339
87.787196,84,65.767147
65.165045,84,66.378978
98.269506,84,66.916088
90.775471,84,67.451077
