time/total_timesteps,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
84,0.9991133333333339,0,90.089097,1,190,84.0,,,
168,0.9982266666666666,0,90.5160085,2,170,84.0,16,0.0001,65.51368713378906
252,0.9973400000000006,1,84.59648566666667,3,178,84.0,37,0.0001,58.481014251708984
336,0.9964533333333333,1,76.732763,4,170,84.0,58,0.0001,46.877193450927734
420,0.9955666666666672,2,81.4213622,5,174,84.0,79,0.0001,34.94033432006836
504,0.99468,2,80.22690583333333,6,177,84.0,100,0.0001,28.19969940185547
588,0.9937933333333339,3,80.6614792857143,7,178,84.0,121,0.0001,20.070926666259766
672,0.9929066666666666,3,81.76577412500001,8,180,84.0,142,0.0001,15.281835556030273
756,0.9920200000000005,4,77.69967500000001,9,181,84.0,163,0.0001,16.790632247924805
840,0.9911333333333332,4,79.24958910000001,10,179,84.0,184,0.0001,16.54405975341797
924,0.9902466666666672,5,74.54239454545456,11,182,84.0,205,0.0001,15.481840133666992
1008,0.9893599999999999,5,76.97967458333333,12,183,84.0,226,0.0001,9.271431922912598
1092,0.9884733333333338,5,77.98783438461538,13,184,84.0,247,0.0001,10.773945808410645
1176,0.9875866666666666,6,79.65006285714286,14,186,84.0,268,0.0001,5.109690189361572
1260,0.9867000000000004,6,78.98900166666665,15,187,84.0,289,0.0001,6.519477844238281
1344,0.9858133333333332,7,79.227759125,16,187,84.0,310,0.0001,10.09223747253418
1428,0.9849266666666671,7,79.59942329411764,17,186,84.0,331,0.0001,5.4456586837768555
1512,0.9840399999999998,8,79.84400244444444,18,186,84.0,352,0.0001,4.273258209228516
1596,0.9831533333333338,8,81.29047336842105,19,184,84.0,373,0.0001,5.921777725219727
1680,0.9822666666666665,9,80.99999239999998,20,184,84.0,394,0.0001,3.968026638031006
1764,0.9813800000000004,9,80.91925761904761,21,185,84.0,415,0.0001,5.781967639923096
1848,0.9804933333333332,9,81.9164484090909,22,186,84.0,436,0.0001,5.675566673278809
1932,0.9796066666666671,10,81.68887539130434,23,186,84.0,457,0.0001,3.5277483463287354
2016,0.9787199999999998,10,82.03008941666666,24,187,84.0,478,0.0001,5.8327956199646
2100,0.9778333333333337,11,82.42544816,25,187,84.0,499,0.0001,5.722347736358643
2184,0.9769466666666664,11,82.86305549999999,26,187,84.0,520,0.0001,2.5976028442382812
2268,0.9760600000000004,12,83.63154937037035,27,188,84.0,541,0.0001,2.4744367599487305
2352,0.9751733333333331,12,84.6329914285714,28,189,84.0,562,0.0001,3.4374358654022217
2436,0.974286666666667,12,84.88548620689653,29,189,84.0,583,0.0001,7.2460455894470215
2520,0.9733999999999998,13,86.07900566666665,30,189,84.0,604,0.0001,2.517957925796509
2604,0.9725133333333337,13,85.88363912903223,31,190,84.0,625,0.0001,3.3301315307617188
2688,0.9716266666666664,14,87.43214853125,32,190,84.0,646,0.0001,2.085655689239502
2772,0.9707400000000003,14,87.35321296969697,33,191,84.0,667,0.0001,2.752896308898926
2856,0.969853333333333,14,87.24230517647058,34,191,84.0,688,0.0001,1.6118505001068115
2940,0.968966666666667,15,87.03895762857142,35,192,84.0,709,0.0001,2.273141622543335
3024,0.9680799999999997,15,87.49980066666666,36,191,84.0,730,0.0001,4.597835063934326
3108,0.9671933333333336,16,87.68785432432432,37,191,84.0,751,0.0001,2.816762685775757
3192,0.9663066666666664,16,88.6408857631579,38,192,84.0,772,0.0001,4.745598316192627
3276,0.9654200000000003,17,88.57473294871795,39,192,84.0,793,0.0001,4.761402130126953
3360,0.964533333333333,17,88.3293987,40,192,84.0,814,0.0001,5.2171525955200195
3444,0.9636466666666669,17,88.87748587804877,41,192,84.0,835,0.0001,2.2088890075683594
3528,0.9627599999999996,18,88.94788764285714,42,191,84.0,856,0.0001,2.630375623703003
3612,0.9618733333333336,18,88.95222588372093,43,191,84.0,877,0.0001,1.2249908447265625
3696,0.9609866666666663,19,89.63655645454544,44,191,84.0,898,0.0001,2.028442859649658
3780,0.9601000000000002,19,89.37051775555554,45,191,84.0,919,0.0001,4.3805131912231445
3864,0.959213333333333,20,89.46689413043477,46,191,84.0,940,0.0001,2.146970748901367
3948,0.9583266666666669,20,88.61586525531912,47,191,84.0,961,0.0001,2.0339488983154297
4032,0.9574399999999996,21,88.82034650000001,48,189,84.0,982,0.0001,1.0611419677734375
4116,0.9565533333333335,21,88.30102351020409,49,189,84.0,1003,0.0001,1.1716132164001465
4200,0.9556666666666662,22,88.69751776000001,50,188,84.0,1024,0.0001,1.3294577598571777
4284,0.9547800000000002,22,89.17510550980393,51,188,84.0,1045,0.0001,1.2463419437408447
4368,0.9538933333333329,23,89.39512350000001,52,187,84.0,1066,0.0001,1.4445922374725342
4452,0.9530066666666668,23,89.31349260377358,53,187,84.0,1087,0.0001,4.29941463470459
4536,0.9521199999999996,24,88.98046305555555,54,187,84.0,1108,0.0001,1.1832681894302368
4620,0.9512333333333335,24,89.21093101818181,55,187,84.0,1129,0.0001,1.4958449602127075
4704,0.9503466666666662,25,88.82917785714287,56,187,84.0,1150,0.0001,4.0802788734436035
4788,0.9494600000000001,25,88.55860985964914,57,188,84.0,1171,0.0001,1.5132815837860107
4872,0.9485733333333328,25,88.4452848448276,58,188,84.0,1192,0.0001,1.3101892471313477
4956,0.9476866666666668,26,88.73915767796612,59,188,84.0,1213,0.0001,0.9943158030509949
5040,0.9467999999999995,26,89.08617366666668,60,187,84.0,1234,0.0001,1.9456682205200195
5124,0.9459133333333334,27,89.10896286885247,61,187,84.0,1255,0.0001,0.9939123392105103
5208,0.9450266666666662,27,89.29696490322583,62,186,84.0,1276,0.0001,3.883594036102295
5292,0.9441400000000001,28,88.86144509523812,63,186,84.0,1297,0.0001,1.7401611804962158
5376,0.9432533333333328,28,88.56922179687498,64,185,84.0,1318,0.0001,1.0963832139968872
5460,0.9423666666666667,29,88.25787867692307,65,185,84.0,1339,0.0001,6.549718379974365
5544,0.9414799999999994,29,87.61457845454544,66,185,84.0,1360,0.0001,1.1874457597732544
5628,0.9405933333333334,30,87.56166198507461,67,185,84.0,1381,0.0001,0.8028620481491089
5712,0.9397066666666672,30,88.15222426470586,68,185,84.0,1402,0.0001,1.4276707172393799
5796,0.93882,31,87.96520115942027,69,185,84.0,1423,0.0001,0.9710740447044373
5880,0.9379333333333338,31,88.14970851428569,70,185,84.0,1444,0.0001,3.590285301208496
5964,0.9370466666666666,32,88.13534699999998,71,184,84.0,1465,0.0001,0.7135807275772095
6048,0.9361600000000005,32,87.96726070833333,72,184,84.0,1486,0.0001,1.17891526222229
6132,0.9352733333333333,33,87.83354158904109,73,184,84.0,1507,0.0001,0.519164502620697
6216,0.9343866666666671,33,88.32495524324324,74,184,84.0,1528,0.0001,4.042603015899658
6300,0.9335,34,88.26585461333332,75,184,84.0,1549,0.0001,3.8085458278656006
6384,0.9326133333333338,34,88.31981351315788,76,184,84.0,1570,0.0001,3.8385682106018066
6468,0.9317266666666666,35,88.53391098701297,77,184,84.0,1591,0.0001,3.8038337230682373
6552,0.9308400000000004,35,88.4621518205128,78,184,84.0,1612,0.0001,0.9644399285316467
6636,0.9299533333333332,36,88.4949400126582,79,184,84.0,1633,0.0001,0.8467952013015747
6720,0.9290666666666672,36,88.2600976125,80,184,84.0,1654,0.0001,0.7543405294418335
6804,0.9281799999999999,36,88.09341828395061,81,184,84.0,1675,0.0001,3.5708041191101074
6888,0.9272933333333337,37,87.87604796341462,82,184,84.0,1696,0.0001,3.279391288757324
6972,0.9264066666666666,37,87.8499248072289,83,184,84.0,1717,0.0001,3.6053225994110107
7056,0.9255200000000005,38,87.83655878571429,84,183,84.0,1738,0.0001,0.3575817048549652
7140,0.9246333333333332,38,87.73247814117646,85,183,84.0,1759,0.0001,0.8051835298538208
7224,0.923746666666667,39,87.99633454651162,86,184,84.0,1780,0.0001,0.7098304033279419
7308,0.9228599999999998,39,88.54897956321838,87,184,84.0,1801,0.0001,0.778987467288971
7392,0.9219733333333338,40,88.784592375,88,183,84.0,1822,0.0001,0.6128334403038025
7476,0.9210866666666665,40,88.61561561797753,89,183,84.0,1843,0.0001,0.5608516931533813
7560,0.9202000000000004,41,88.60799197777777,90,183,84.0,1864,0.0001,0.5467276573181152
7644,0.9193133333333332,41,88.704799010989,91,183,84.0,1885,0.0001,0.5953038334846497
7728,0.9184266666666671,42,88.8377444673913,92,183,84.0,1906,0.0001,0.5471415519714355
7812,0.9175399999999998,42,88.91082470967741,93,183,84.0,1927,0.0001,0.43445226550102234
7896,0.9166533333333337,43,88.77518386170212,94,183,84.0,1948,0.0001,0.6648329496383667
7980,0.9157666666666665,43,88.61340091578947,95,183,84.0,1969,0.0001,3.274038314819336
8064,0.9148800000000004,44,88.72857215625,96,182,84.0,1990,0.0001,3.691493511199951
8148,0.9139933333333331,44,88.75406108247422,97,182,84.0,2011,0.0001,0.4023558795452118
8232,0.913106666666667,45,88.63903804081633,98,182,84.0,2032,0.0001,0.6919900178909302
8316,0.9122199999999998,45,88.64339698989899,99,182,84.0,2053,0.0001,0.8265242576599121
8400,0.9113333333333337,46,88.42543236,100,182,84.0,2074,0.0001,3.2336854934692383
8484,0.9104466666666664,46,88.48906432,101,181,84.0,2095,0.0001,0.7341311573982239
8568,0.9095600000000003,47,88.31746094999998,102,181,84.0,2116,0.0001,3.5642545223236084
8652,0.9086733333333331,47,88.41686445,103,181,84.0,2137,0.0001,3.316702365875244
8736,0.907786666666667,48,88.65394610999999,104,181,84.0,2158,0.0001,0.5182341933250427
8820,0.9068999999999997,48,88.43094916,105,181,84.0,2179,0.0001,3.735297679901123
8904,0.9060133333333336,49,88.21307739999999,106,180,84.0,2200,0.0001,3.599853515625
8988,0.9051266666666664,49,88.52217682,107,180,84.0,2221,0.0001,0.6722449064254761
9072,0.9042400000000003,50,88.22500977,108,180,84.0,2242,0.0001,0.6203333735466003
9156,0.903353333333333,50,88.67329351999999,109,180,84.0,2263,0.0001,0.536924421787262
9240,0.9024666666666669,51,88.77197906,110,180,84.0,2284,0.0001,0.5014560222625732
9324,0.9015799999999997,51,89.08826752,111,180,84.0,2305,0.0001,0.5187081098556519
9408,0.9006933333333336,52,88.88679542,112,179,84.0,2326,0.0001,0.5531185865402222
9492,0.8998066666666663,52,88.51022738000002,113,179,84.0,2347,0.0001,0.5696556568145752
9576,0.8989200000000002,53,88.25499575000002,114,179,84.0,2368,0.0001,0.9940543174743652
9660,0.898033333333333,53,88.26041062000002,115,179,84.0,2389,0.0001,0.5986112952232361
9744,0.8971466666666669,54,88.48697301,116,179,84.0,2410,0.0001,0.4508246183395386
9828,0.8962599999999996,54,88.221355,117,179,84.0,2431,0.0001,6.039767265319824
9912,0.8953733333333335,55,87.91791614,118,179,84.0,2452,0.0001,0.8069547414779663
9996,0.8944866666666663,55,88.01345853999997,119,178,84.0,2473,0.0001,0.5159024000167847
10080,0.8936000000000002,56,87.82277129999999,120,178,84.0,2494,0.0001,1.053829312324524
10164,0.8927133333333329,56,88.25626743,121,178,84.0,2515,0.0001,1.148772954940796
10248,0.8918266666666668,57,88.20886247000003,122,178,84.0,2536,0.0001,6.579015731811523
10332,0.8909399999999996,57,88.43165194000001,123,178,84.0,2557,0.0001,6.3540544509887695
10416,0.8900533333333335,58,87.95208549000003,124,178,84.0,2578,0.0001,0.9595180749893188
10500,0.8891666666666662,58,87.62410963,125,177,84.0,2599,0.0001,3.706977367401123
10584,0.8882800000000001,59,87.63899932000002,126,177,84.0,2620,0.0001,0.6699103116989136
10668,0.8873933333333329,60,87.66735634000001,127,177,84.0,2641,0.0001,0.5080698132514954
10752,0.8865066666666668,60,87.43789841,128,177,84.0,2662,0.0001,0.5802003145217896
10836,0.8856199999999995,61,87.53102157000001,129,176,84.0,2683,0.0001,0.7668402194976807
10920,0.8847333333333334,61,87.33210929,130,176,84.0,2704,0.0001,0.4505578279495239
11004,0.8838466666666662,62,87.1930962,131,176,84.0,2725,0.0001,0.5082483887672424
11088,0.8829600000000001,62,86.54225687999998,132,176,84.0,2746,0.0001,0.33454158902168274
11172,0.8820733333333328,63,86.28290481,133,176,84.0,2767,0.0001,0.3031776249408722
11256,0.8811866666666667,63,86.61766063999998,134,176,84.0,2788,0.0001,0.356004536151886
11340,0.8803000000000005,64,86.51044881999998,135,176,84.0,2809,0.0001,3.372859239578247
11424,0.8794133333333334,64,86.49366002999997,136,176,84.0,2830,0.0001,0.2455250322818756
11508,0.8785266666666672,65,86.42695413,137,175,84.0,2851,0.0001,3.280341625213623
11592,0.87764,66,85.83957408999999,138,175,84.0,2872,0.0001,0.6477581262588501
11676,0.8767533333333338,66,85.96165989,139,175,84.0,2893,0.0001,0.5715601444244385
11760,0.8758666666666667,67,86.08180097,140,175,84.0,2914,0.0001,3.427319049835205
11844,0.8749800000000005,67,86.07742787000001,141,175,84.0,2935,0.0001,0.4093945622444153
11928,0.8740933333333333,68,86.12093802000001,142,175,84.0,2956,0.0001,3.227034568786621
12012,0.8732066666666671,68,86.41179465,143,175,84.0,2977,0.0001,0.4577653706073761
12096,0.87232,69,85.92724138,144,174,84.0,2998,0.0001,0.5599908828735352
12180,0.8714333333333338,69,86.11854960999999,145,174,84.0,3019,0.0001,0.293445885181427
12264,0.8705466666666666,70,86.59978326000001,146,174,84.0,3040,0.0001,0.6509116888046265
12348,0.8696600000000004,70,86.95173929999999,147,174,84.0,3061,0.0001,0.4405921995639801
12432,0.8687733333333332,71,86.81406905,148,174,84.0,3082,0.0001,0.32629579305648804
12516,0.8678866666666671,71,87.05033952,149,174,84.0,3103,0.0001,3.263702869415283
12600,0.8669999999999999,72,86.62392310999999,150,173,84.0,3124,0.0001,0.5140971541404724
12684,0.8661133333333337,72,86.53778564,151,173,84.0,3145,0.0001,0.3129306137561798
12768,0.8652266666666666,73,86.3533696,152,173,84.0,3166,0.0001,0.2818121314048767
12852,0.8643400000000004,73,86.37815043,153,173,84.0,3187,0.0001,0.22252076864242554
12936,0.8634533333333332,74,86.35552095000001,154,173,84.0,3208,0.0001,3.402928352355957
13020,0.862566666666667,74,85.96102148999998,155,173,84.0,3229,0.0001,6.326167106628418
13104,0.8616799999999998,75,86.16817836,156,173,84.0,3250,0.0001,0.46252545714378357
13188,0.8607933333333337,75,86.59514675,157,173,84.0,3271,0.0001,0.3723642826080322
13272,0.8599066666666665,76,86.71375734000002,158,173,84.0,3292,0.0001,0.5874053835868835
13356,0.8590200000000003,76,86.41657927,159,173,84.0,3313,0.0001,0.45176294445991516
13440,0.8581333333333332,77,85.75056129999999,160,173,84.0,3334,0.0001,0.3025936484336853
13524,0.857246666666667,78,85.32576058999999,161,173,84.0,3355,0.0001,0.2876299321651459
13608,0.8563599999999998,78,85.17543354000001,162,173,84.0,3376,0.0001,3.294363260269165
13692,0.8554733333333336,79,85.29324556000002,163,173,84.0,3397,0.0001,0.5480310916900635
13776,0.8545866666666664,79,85.3021839,164,172,84.0,3418,0.0001,0.46594148874282837
13860,0.8537000000000003,80,85.33812425,165,172,84.0,3439,0.0001,0.48689836263656616
13944,0.8528133333333331,80,85.54171817999999,166,172,84.0,3460,0.0001,0.40776151418685913
14028,0.8519266666666669,81,85.47532636,167,172,84.0,3481,0.0001,0.5016267895698547
14112,0.8510399999999998,81,85.16155914,168,172,84.0,3502,0.0001,0.4059235453605652
14196,0.8501533333333336,82,85.34691608000001,169,172,84.0,3523,0.0001,3.2366724014282227
14280,0.8492666666666664,83,85.2675491,170,172,84.0,3544,0.0001,0.4252870976924896
14364,0.8483800000000002,83,84.93075067000001,171,171,84.0,3565,0.0001,0.47236576676368713
14448,0.847493333333333,84,84.78211053000001,172,171,84.0,3586,0.0001,0.44298431277275085
14532,0.846606666666667,84,84.54303540000002,173,171,84.0,3607,0.0001,0.35876718163490295
14616,0.8457199999999997,85,84.47848897000002,174,171,84.0,3628,0.0001,3.3590962886810303
14700,0.8448333333333335,85,84.37494859,175,171,84.0,3649,0.0001,0.3211178183555603
14784,0.8439466666666664,86,84.01326233,176,171,84.0,3670,0.0001,0.23471984267234802
14868,0.8430600000000003,86,83.95023225999999,177,171,84.0,3691,0.0001,0.25586509704589844
14952,0.842173333333333,87,84.10835237,178,171,84.0,3712,0.0001,0.47857412695884705
15036,0.8412866666666668,87,84.16503875000001,179,171,84.0,3733,0.0001,0.5231126546859741
15120,0.8403999999999997,88,84.59851908,180,170,84.0,3754,0.0001,0.2923327684402466
15204,0.8395133333333336,89,84.65099996,181,170,84.0,3775,0.0001,0.37916892766952515
15288,0.8386266666666663,89,84.95465134999999,182,170,84.0,3796,0.0001,0.310818612575531
15372,0.8377400000000002,90,85.04627079999999,183,170,84.0,3817,0.0001,0.3243557810783386
15456,0.836853333333333,90,84.70576107999999,184,170,84.0,3838,0.0001,0.30540731549263
15540,0.8359666666666669,91,84.86376273,185,170,84.0,3859,0.0001,0.40196090936660767
15624,0.8350799999999996,91,84.62372219000001,186,170,84.0,3880,0.0001,0.4191286563873291
15708,0.8341933333333335,92,83.94604625,187,170,84.0,3901,0.0001,0.47346314787864685
15792,0.8333066666666663,92,83.03601506,188,170,84.0,3922,0.0001,0.30889561772346497
15876,0.8324200000000002,93,82.75247009,189,170,84.0,3943,0.0001,0.5845563411712646
15960,0.8315333333333329,93,82.64206949,190,170,84.0,3964,0.0001,0.5184446573257446
16044,0.8306466666666668,94,82.52931478999999,191,170,84.0,3985,0.0001,0.500626802444458
16128,0.8297599999999996,94,82.59442649,192,170,84.0,4006,0.0001,0.33556944131851196
16212,0.8288733333333335,95,82.43952598,193,169,84.0,4027,0.0001,6.525586128234863
16296,0.8279866666666662,96,82.59964077999999,194,169,84.0,4048,0.0001,0.5358861088752747
16380,0.8271000000000001,96,82.5682523,195,169,84.0,4069,0.0001,3.2420806884765625
16464,0.8262133333333329,97,82.17715526,196,169,84.0,4090,0.0001,3.3936917781829834
16548,0.8253266666666668,97,82.31045027,197,169,84.0,4111,0.0001,0.6639211177825928
16632,0.8244399999999995,98,82.47952409999999,198,169,84.0,4132,0.0001,3.317180633544922
16716,0.8235533333333334,98,82.40133765,199,169,84.0,4153,0.0001,0.28117233514785767
16800,0.8226666666666662,99,82.82593661000001,200,169,84.0,4174,0.0001,0.2753722071647644
16884,0.8217800000000001,99,82.68054075000002,201,169,84.0,4195,0.0001,0.26137131452560425
16968,0.8208933333333328,100,83.00003709,202,169,84.0,4216,0.0001,0.2778072953224182
17052,0.8200066666666667,100,82.50740335000002,203,169,84.0,4237,0.0001,0.3418789505958557
17136,0.8191200000000005,101,82.63369114,204,169,84.0,4258,0.0001,0.40380001068115234
17220,0.8182333333333334,101,82.52911492999999,205,169,84.0,4279,0.0001,0.3069347143173218
17304,0.8173466666666672,102,82.38453346,206,169,84.0,4300,0.0001,3.4413208961486816
17388,0.81646,102,81.60295082,207,169,84.0,4321,0.0001,0.44559168815612793
17472,0.8155733333333338,103,82.10192702,208,168,84.0,4342,0.0001,3.272547960281372
17556,0.8146866666666667,103,82.14802746,209,168,84.0,4363,0.0001,0.35838866233825684
17640,0.8138000000000005,104,81.82621298,210,168,84.0,4384,0.0001,0.5429263114929199
17724,0.8129133333333333,105,82.34728860000001,211,168,84.0,4405,0.0001,0.4785144031047821
17808,0.8120266666666671,105,82.37677503,212,168,84.0,4426,0.0001,3.174607038497925
17892,0.81114,106,82.59809896,213,168,84.0,4447,0.0001,3.612844944000244
17976,0.8102533333333338,106,82.85473365,214,168,84.0,4468,0.0001,0.5068050622940063
18060,0.8093666666666666,107,83.08115591000002,215,168,84.0,4489,0.0001,0.44175100326538086
18144,0.8084800000000004,107,83.13832346999999,216,168,84.0,4510,0.0001,0.3518182039260864
18228,0.8075933333333333,108,83.49443759,217,168,84.0,4531,0.0001,3.1627471446990967
18312,0.8067066666666671,108,83.37527413999999,218,168,84.0,4552,0.0001,0.42532166838645935
18396,0.8058199999999999,109,83.02175124,219,168,84.0,4573,0.0001,0.42000555992126465
18480,0.8049333333333337,109,83.36117479,220,168,84.0,4594,0.0001,3.2388086318969727
18564,0.8040466666666666,110,82.31174412,221,168,84.0,4615,0.0001,6.294304370880127
18648,0.8031600000000004,110,82.42095265,222,168,84.0,4636,0.0001,3.3166072368621826
18732,0.8022733333333332,111,82.1391983,223,168,84.0,4657,0.0001,0.4652174115180969
18816,0.801386666666667,111,82.34751472999999,224,168,84.0,4678,0.0001,0.4828789234161377
18900,0.8004999999999999,112,82.51355949999999,225,167,84.0,4699,0.0001,0.5745783448219299
18984,0.7996133333333337,113,82.52065374,226,167,84.0,4720,0.0001,0.4420424699783325
19068,0.7987266666666665,113,82.14230931999998,227,167,84.0,4741,0.0001,3.345950126647949
19152,0.7978400000000003,114,82.1583454,228,167,84.0,4762,0.0001,3.489154100418091
19236,0.7969533333333332,114,82.15572748999999,229,167,84.0,4783,0.0001,0.49392837285995483
19320,0.796066666666667,115,82.01143017,230,167,84.0,4804,0.0001,0.47594815492630005
19404,0.7951799999999998,115,82.16014353,231,167,84.0,4825,0.0001,3.315647602081299
19488,0.7942933333333336,116,82.39635117,232,167,84.0,4846,0.0001,0.3536911904811859
19572,0.7934066666666665,116,82.24715798999999,233,167,84.0,4867,0.0001,0.5603415369987488
19656,0.7925200000000003,117,81.83723926,234,167,84.0,4888,0.0001,0.37043219804763794
19740,0.7916333333333331,118,82.32240576999999,235,167,84.0,4909,0.0001,0.22290250658988953
19824,0.7907466666666669,118,82.32274186000001,236,167,84.0,4930,0.0001,0.23856905102729797
19908,0.7898599999999998,119,82.25200423,237,167,84.0,4951,0.0001,0.37943002581596375
19992,0.7889733333333336,119,82.85169456,238,166,84.0,4972,0.0001,3.3909311294555664
20076,0.7880866666666664,120,82.58540038,239,166,84.0,4993,0.0001,0.5741760730743408
20160,0.7872000000000002,120,82.46931691,240,166,84.0,5014,0.0001,6.9390997886657715
20244,0.7863133333333331,121,82.15977041999999,241,166,84.0,5035,0.0001,6.5695600509643555
20328,0.7854266666666669,121,81.71932975,242,166,84.0,5056,0.0001,0.6359657645225525
20412,0.7845399999999997,122,81.36723054999999,243,166,84.0,5077,0.0001,0.49014344811439514
20496,0.7836533333333335,123,81.12629095,244,166,84.0,5098,0.0001,9.351280212402344
20580,0.7827666666666664,123,81.28663307000001,245,166,84.0,5119,0.0001,0.5251993536949158
