#{"t_start": 1755484462.699584, "env_id": "None"}
r,l,t
73.99343,84,0.742699
86.357198,84,1.301595
83.942208,84,1.904661
59.891749,84,2.389393
69.412152,84,2.75875
55.926998,84,3.122765
83.828659,84,3.507704
85.804094,84,3.912951
89.1727,84,4.316249
77.490111,84,4.731575
83.827392,84,5.130096
52.066855,84,5.545638
93.901545,84,5.973853
106.045837,84,6.386784
94.492861,84,6.803562
87.318899,84,7.200014
64.327437,84,7.579704
78.428796,84,7.974825
83.024352,84,8.368296
97.131982,84,8.752596
101.959212,84,9.150875
94.932494,84,9.535312
95.38112,84,9.961699
70.857732,84,10.344488
83.760207,84,10.717829
47.953674,84,11.099041
50.970044,84,11.523101
86.256566,84,11.947516
55.642058,84,12.336132
64.619176,84,12.737086
65.469675,84,13.113696
52.580118,84,13.529571
95.542574,84,13.887094
89.316382,84,14.25579
73.381144,84,14.656877
93.306293,84,15.087603
78.347724,84,15.474625
56.476847,84,15.909743
81.371116,84,16.364262
41.432259,84,17.156471
88.812481,84,17.965166
82.300303,84,18.461773
65.544231,84,18.896836
