time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,train/loss,train/learning_rate,train/n_updates
1,84,84.0,73.99343,0,0.9991133333333339,192,,,
2,168,84.0,80.175314,0,0.9982266666666666,169,79.52092742919922,0.0001,16
3,252,84.0,81.43094533333333,1,0.9973400000000006,159,66.12200927734375,0.0001,37
4,336,84.0,76.04614624999999,2,0.9964533333333333,161,46.46233367919922,0.0001,58
5,420,84.0,74.71934739999999,2,0.9955666666666672,172,43.48806381225586,0.0001,79
6,504,84.0,71.58728916666666,2,0.99468,179,36.42816162109375,0.0001,100
7,588,84.0,73.33605628571429,3,0.9937933333333339,184,17.710561752319336,0.0001,121
8,672,84.0,74.894561,3,0.9929066666666666,186,22.6888484954834,0.0001,142
9,756,84.0,76.48102088888888,3,0.9920200000000005,189,17.31222915649414,0.0001,163
10,840,84.0,76.58192989999999,4,0.9911333333333332,190,12.360050201416016,0.0001,184
11,924,84.0,77.24060827272727,4,0.9902466666666672,191,4.539741039276123,0.0001,205
12,1008,84.0,75.14279549999999,5,0.9893599999999999,192,6.172913551330566,0.0001,226
13,1092,84.0,76.58577623076923,5,0.9884733333333338,192,4.606987953186035,0.0001,247
14,1176,84.0,78.69006628571427,6,0.9875866666666666,193,6.595678329467773,0.0001,268
15,1260,84.0,79.74358593333332,6,0.9867000000000004,193,6.890724182128906,0.0001,289
16,1344,84.0,80.217043,6,0.9858133333333332,195,6.30273962020874,0.0001,310
17,1428,84.0,79.28236029411765,7,0.9849266666666671,196,4.0692057609558105,0.0001,331
18,1512,84.0,79.23494005555555,7,0.9840399999999998,197,4.287729263305664,0.0001,352
19,1596,84.0,79.43438278947367,8,0.9831533333333338,198,7.089179039001465,0.0001,373
20,1680,84.0,80.31926274999998,8,0.9822666666666665,199,3.625709056854248,0.0001,394
21,1764,84.0,81.34973652380951,8,0.9813800000000004,199,5.3079328536987305,0.0001,415
22,1848,84.0,81.96713459090907,9,0.9804933333333332,200,7.029933929443359,0.0001,436
23,1932,84.0,82.55035134782607,9,0.9796066666666671,200,3.1939706802368164,0.0001,457
24,2016,84.0,82.063158875,10,0.9787199999999998,201,6.618865013122559,0.0001,478
25,2100,84.0,82.1310408,10,0.9778333333333337,201,7.143475532531738,0.0001,499
26,2184,84.0,80.81652669230768,10,0.9769466666666664,202,2.4223721027374268,0.0001,520
27,2268,84.0,79.7111014074074,11,0.9760600000000004,202,2.634549856185913,0.0001,541
28,2352,84.0,79.944868,11,0.9751733333333331,202,2.237743854522705,0.0001,562
29,2436,84.0,79.10684006896551,12,0.974286666666667,202,7.277252197265625,0.0001,583
30,2520,84.0,78.62391793333333,12,0.9733999999999998,202,2.795372724533081,0.0001,604
31,2604,84.0,78.19958751612903,12,0.9725133333333337,203,3.3297739028930664,0.0001,625
32,2688,84.0,77.39897909375,13,0.9716266666666664,203,2.6426849365234375,0.0001,646
33,2772,84.0,77.948785,13,0.9707400000000003,204,2.528287887573242,0.0001,667
34,2856,84.0,78.28312608823529,13,0.969853333333333,205,2.6688733100891113,0.0001,688
35,2940,84.0,78.14306945714286,14,0.968966666666667,204,1.6203720569610596,0.0001,709
36,3024,84.0,78.56427011111111,14,0.9680799999999997,204,5.9454665184021,0.0001,730
37,3108,84.0,78.55841751351352,15,0.9671933333333336,205,1.8210861682891846,0.0001,751
38,3192,84.0,77.97732355263159,15,0.9663066666666664,204,5.190060138702393,0.0001,772
