time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
118,84.0,0,95.810114,84,1,0.9991133333333339,,,
109,84.0,1,91.82245950000001,168,2,0.9982266666666666,0.0001,82.06755828857422,16
112,84.0,2,108.19772666666667,252,3,0.9973400000000006,0.0001,60.59816360473633,37
116,84.0,2,118.37101975,336,4,0.9964533333333333,0.0001,47.92710876464844,58
116,84.0,3,113.65191,420,5,0.9955666666666672,0.0001,35.92912673950195,79
121,84.0,4,110.48289233333333,504,6,0.99468,0.0001,31.623641967773438,100
122,84.0,4,108.36016771428571,588,7,0.9937933333333339,0.0001,26.414064407348633,121
124,84.0,5,107.40459824999999,672,8,0.9929066666666666,0.0001,22.495616912841797,142
126,84.0,5,110.6504061111111,756,9,0.9920200000000005,0.0001,13.613049507141113,163
127,84.0,6,101.64592579999999,840,10,0.9911333333333332,0.0001,17.1958065032959,184
129,84.0,7,101.63082545454544,924,11,0.9902466666666672,0.0001,8.27264404296875,205
129,84.0,7,102.84196891666666,1008,12,0.9893599999999999,0.0001,4.371969699859619,226
130,84.0,8,105.95253046153847,1092,13,0.9884733333333338,0.0001,6.117973327636719,247
131,84.0,8,105.89767135714285,1176,14,0.9875866666666666,0.0001,8.293954849243164,268
131,84.0,9,104.9521642,1260,15,0.9867000000000004,0.0001,4.126621723175049,289
131,84.0,10,107.721244875,1344,16,0.9858133333333332,0.0001,5.9976725578308105,310
132,84.0,10,111.03880358823528,1428,17,0.9849266666666671,0.0001,8.249353408813477,331
132,84.0,11,108.86088611111111,1512,18,0.9840399999999998,0.0001,5.694517135620117,352
132,84.0,12,105.63572142105262,1596,19,0.9831533333333338,0.0001,6.506929397583008,373
132,84.0,12,107.9452178,1680,20,0.9822666666666665,0.0001,4.182419776916504,394
133,84.0,13,109.98253661904762,1764,21,0.9813800000000004,0.0001,6.558943748474121,415
133,84.0,13,107.73398118181818,1848,22,0.9804933333333332,0.0001,5.724700450897217,436
133,84.0,14,109.32512586956521,1932,23,0.9796066666666671,0.0001,3.807199239730835,457
134,84.0,14,109.60454425,2016,24,0.9787199999999998,0.0001,5.77784538269043,478
134,84.0,15,112.17023416,2100,25,0.9778333333333337,0.0001,5.46922492980957,499
135,84.0,16,113.24457923076922,2184,26,0.9769466666666664,0.0001,3.0826339721679688,520
136,84.0,16,113.4975902962963,2268,27,0.9760600000000004,0.0001,3.589979410171509,541
136,84.0,17,114.57825532142856,2352,28,0.9751733333333331,0.0001,2.8547582626342773,562
137,84.0,17,115.14473696551723,2436,29,0.974286666666667,0.0001,7.751819610595703,583
137,84.0,18,115.47231976666666,2520,30,0.9733999999999998,0.0001,3.7016379833221436,604
137,84.0,18,115.70627206451613,2604,31,0.9725133333333337,0.0001,2.599898099899292,625
137,84.0,19,116.75517865625,2688,32,0.9716266666666664,0.0001,2.467954635620117,646
137,84.0,20,117.4244116060606,2772,33,0.9707400000000003,0.0001,2.421860694885254,667
137,84.0,20,116.96425552941176,2856,34,0.969853333333333,0.0001,2.138111114501953,688
138,84.0,21,117.15576325714285,2940,35,0.968966666666667,0.0001,1.8160518407821655,709
138,84.0,21,117.82562797222221,3024,36,0.9680799999999997,0.0001,4.767575263977051,730
139,84.0,22,117.16629329729727,3108,37,0.9671933333333336,0.0001,3.120398998260498,751
139,84.0,22,116.02832834210525,3192,38,0.9663066666666664,0.0001,5.172696590423584,772
139,84.0,23,116.26290466666666,3276,39,0.9654200000000003,0.0001,4.553464889526367,793
139,84.0,24,116.97226235000001,3360,40,0.964533333333333,0.0001,6.159526348114014,814
139,84.0,24,117.5623331707317,3444,41,0.9636466666666669,0.0001,2.125889301300049,835
138,84.0,25,118.39001028571428,3528,42,0.9627599999999996,0.0001,2.149808406829834,856
138,84.0,26,118.17483137209301,3612,43,0.9618733333333336,0.0001,1.8512694835662842,877
138,84.0,26,117.78866452272727,3696,44,0.9609866666666663,0.0001,2.1946778297424316,898
138,84.0,27,117.6101751111111,3780,45,0.9601000000000002,0.0001,4.376744747161865,919
