#{"t_start": 1755487617.6075735, "env_id": "None"}
r,l,t
356.863206,84,0.978734
449.803625,84,1.734266
435.881514,84,2.632134
419.89837,84,3.396998
437.610682,84,3.960612
471.645277,84,4.579948
218.917421,84,5.126774
449.245782,84,5.700674
375.966656,84,6.380895
420.334103,84,7.021498
185.493724,84,7.613915
441.985603,84,8.19351
414.280197,84,8.757163
330.998615,84,9.360204
329.622241,84,9.974407
379.50999,84,10.651306
330.647468,84,11.305123
493.718612,84,11.932452
515.446132,84,12.547381
481.373903,84,13.24918
374.697434,84,13.878666
435.583851,84,14.507004
260.132922,84,15.140308
394.009925,84,15.814491
457.785923,84,16.410893
378.065274,84,16.997859
465.99392,84,17.607237
465.535637,84,18.200415
428.398473,84,18.91744
373.229432,84,19.50346
417.803102,84,20.186641
438.369551,84,20.765797
426.125492,84,21.405511
478.479693,84,21.971947
466.711846,84,22.517738
485.278587,84,23.217971
445.410495,84,23.83122
161.950777,84,24.390825
404.256882,84,25.069998
388.907562,84,25.624802
375.425029,84,26.258518
425.762397,84,26.861592
371.745656,84,27.496429
349.543807,84,28.078277
195.838875,84,28.6239
202.701393,84,29.222635
432.457377,84,29.815418
272.353344,84,30.480909
425.254529,84,31.099608
470.748406,84,31.679817
367.331747,84,32.240838
251.626311,84,32.743935
526.031018,84,33.276495
358.082167,84,33.873705
490.866333,84,34.51357
465.912795,84,35.144641
357.881481,84,35.68909
524.76047,84,36.306504
524.870539,84,36.854804
435.244099,84,37.40192
460.18275,84,37.980111
387.587467,84,38.549493
405.548416,84,39.220697
424.615554,84,39.873845
362.378766,84,40.585163
323.273628,84,41.289181
248.461056,84,41.972947
399.647199,84,42.554935
394.464519,84,43.148943
292.325349,84,43.645504
188.657776,84,44.270625
281.416333,84,44.849052
428.538961,84,45.554389
203.035678,84,46.243871
402.331251,84,46.86204
150.01766,84,47.586416
448.333073,84,48.182493
240.338667,84,48.770213
443.31958,84,49.412787
435.274268,84,50.03927
340.343142,84,50.683947
427.151808,84,51.526294
398.265233,84,52.246089
313.80034,84,52.949374
450.097895,84,53.713864
330.908343,84,54.483815
458.203673,84,55.184229
440.146531,84,55.851539
524.914919,84,56.543461
458.900894,84,57.196533
106.950455,84,57.885482
389.062923,84,58.464568
495.506699,84,59.074112
226.79891,84,59.755732
342.87275,84,60.373967
511.048331,84,61.078655
389.864427,84,61.686215
554.589594,84,62.378489
339.883915,84,63.045852
281.446253,84,63.713304
399.864042,84,64.296484
397.811974,84,65.001886
319.964369,84,65.598104
345.520307,84,66.256582
540.13214,84,66.850991
454.059703,84,67.485877
431.715516,84,68.14354
469.597821,84,68.836466
346.459174,84,69.46579
235.307928,84,70.09796
226.894483,84,70.747954
341.532365,84,71.351867
488.28624,84,72.009979
379.214735,84,72.609454
472.863089,84,73.268694
389.434915,84,73.941601
453.314632,84,74.688944
305.236935,84,75.354182
477.30461,84,76.048589
273.823229,84,76.717774
414.990633,84,77.316921
303.661047,84,77.961364
241.958396,84,78.584352
370.495102,84,79.18899
453.96941,84,79.871921
428.722851,84,80.495072
454.138722,84,81.274111
463.723267,84,81.937247
454.33613,84,82.611486
399.261054,84,83.307775
315.511329,84,83.981833
163.722209,84,84.660154
294.550417,84,85.325275
363.612096,84,85.92817
489.093547,84,86.564615
436.213214,84,87.194511
425.671352,84,87.849345
354.644159,84,88.469982
324.554555,84,89.073071
64.54142,84,89.75229
466.840946,84,90.399233
313.326068,84,91.038825
325.95826,84,91.634547
326.313281,84,92.322315
357.004749,84,92.926215
248.093303,84,93.630617
467.240493,84,94.306023
239.587639,84,95.026353
173.397144,84,95.750693
483.69993,84,96.44878
409.659985,84,97.143015
292.371704,84,97.802494
301.595961,84,98.494824
300.563873,84,99.109792
418.326254,84,99.693247
541.335383,84,100.365212
497.98271,84,100.997208
440.04484,84,101.668219
413.855713,84,102.313338
198.813805,84,102.941732
446.75526,84,103.576715
432.776395,84,104.209941
444.221365,84,104.812751
451.888158,84,105.467753
331.077028,84,106.279345
493.551318,84,107.029101
374.998108,84,107.764366
446.401679,84,108.453785
343.488773,84,109.087986
221.244006,84,109.69977
414.797544,84,110.344273
297.323206,84,111.033984
420.459196,84,111.667027
487.428786,84,112.324159
408.067445,84,112.958043
306.551684,84,113.553903
336.308725,84,114.270957
349.431416,84,114.897976
313.26915,84,115.568729
233.535941,84,116.208015
380.781101,84,116.993552
373.071181,84,117.639953
335.107342,84,118.327464
473.544983,84,118.976892
327.918246,84,119.623878
358.092197,84,120.321356
186.200729,84,120.958323
259.772307,84,121.628283
137.7449,84,122.319385
256.467073,84,123.094061
186.553232,84,123.680418
306.54501,84,124.32814
454.888304,84,125.030282
158.895627,84,125.614363
348.184482,84,126.256121
413.675147,84,126.88311
448.719182,84,127.509696
490.571359,84,128.130131
379.427853,84,128.849758
379.229419,84,129.523898
436.638021,84,130.190565
422.217257,84,130.798058
254.496766,84,131.423512
413.411553,84,132.111094
408.020862,84,132.763956
369.265105,84,133.422073
359.408095,84,134.083367
260.978599,84,134.716424
412.960728,84,135.413847
301.952585,84,136.10793
501.384834,84,136.752772
370.091016,84,137.420682
229.040027,84,138.07078
447.306466,84,138.774547
342.994042,84,139.393316
