time/episodes,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
1,0.9991133333333339,133,84.0,84,356.863206,0,,,
2,0.9982266666666666,121,84.0,168,403.3334155,1,16,71.46908569335938,0.0001
3,0.9973400000000006,105,84.0,252,414.18278166666664,2,37,70.505126953125,0.0001
4,0.9964533333333333,110,84.0,336,415.61167875,3,58,46.656036376953125,0.0001
5,0.9955666666666672,115,84.0,420,420.0114794,3,79,47.26124572753906,0.0001
6,0.99468,119,84.0,504,428.61711233333335,4,100,36.229400634765625,0.0001
7,0.9937933333333339,123,84.0,588,398.6600135714286,4,121,24.75212860107422,0.0001
8,0.9929066666666666,125,84.0,672,404.983234625,5,142,21.458736419677734,0.0001
9,0.9920200000000005,125,84.0,756,401.7591703333334,6,163,17.46570587158203,0.0001
10,0.9911333333333332,125,84.0,840,403.61666360000004,6,184,8.716272354125977,0.0001
11,0.9902466666666672,127,84.0,924,383.7873054545455,7,205,14.775614738464355,0.0001
12,0.9893599999999999,128,84.0,1008,388.6371635833334,7,226,13.970096588134766,0.0001
13,0.9884733333333338,129,84.0,1092,390.60970461538466,8,247,7.830783843994141,0.0001
14,0.9875866666666666,130,84.0,1176,386.3517696428572,9,268,13.556129455566406,0.0001
15,0.9867000000000004,131,84.0,1260,382.56980106666674,9,289,7.672955513000488,0.0001
16,0.9858133333333332,129,84.0,1344,382.37856287500006,10,310,10.904156684875488,0.0001
17,0.9849266666666671,130,84.0,1428,379.33555729411773,10,331,13.504410743713379,0.0001
18,0.9840399999999998,130,84.0,1512,385.6901714444445,11,352,6.94559907913208,0.0001
19,0.9831533333333338,130,84.0,1596,392.5194325263158,12,373,8.916290283203125,0.0001
20,0.9822666666666665,129,84.0,1680,396.96215605000003,12,394,7.967582702636719,0.0001
21,0.9813800000000004,130,84.0,1764,395.90193119047626,13,415,10.687395095825195,0.0001
22,0.9804933333333332,130,84.0,1848,397.7056548181818,14,436,8.749700546264648,0.0001
23,0.9796066666666671,130,84.0,1932,391.72423165217396,14,457,7.097594738006592,0.0001
24,0.9787199999999998,130,84.0,2016,391.819468875,15,478,7.125509262084961,0.0001
25,0.9778333333333337,130,84.0,2100,394.45812703999997,16,499,7.069194316864014,0.0001
26,0.9769466666666664,131,84.0,2184,393.8276326923077,16,520,4.429644584655762,0.0001
27,0.9760600000000004,131,84.0,2268,396.50045814814814,17,541,5.411262512207031,0.0001
28,0.9751733333333331,131,84.0,2352,398.96600025000004,17,562,5.632364273071289,0.0001
29,0.974286666666667,131,84.0,2436,399.9809131034483,18,583,9.870147705078125,0.0001
30,0.9733999999999998,131,84.0,2520,399.0891970666667,19,604,5.717609405517578,0.0001
31,0.9725133333333337,131,84.0,2604,399.69287141935484,19,625,6.724072456359863,0.0001
32,0.9716266666666664,131,84.0,2688,400.90151765625,20,646,4.115640163421631,0.0001
33,0.9707400000000003,131,84.0,2772,401.6658805151515,21,667,3.465083599090576,0.0001
34,0.969853333333333,132,84.0,2856,403.9251102941176,21,688,4.930111408233643,0.0001
35,0.968966666666667,132,84.0,2940,405.7190170285714,22,709,4.343056678771973,0.0001
36,0.9680799999999997,132,84.0,3024,407.9290050833333,22,730,6.86026668548584,0.0001
37,0.9671933333333336,132,84.0,3108,408.9420183243243,23,751,3.098503351211548,0.0001
38,0.9663066666666664,132,84.0,3192,402.44224881578947,24,772,5.629761695861816,0.0001
39,0.9654200000000003,132,84.0,3276,402.48877787179487,24,793,6.181102752685547,0.0001
40,0.964533333333333,132,84.0,3360,402.149247475,25,814,5.6740851402282715,0.0001
41,0.9636466666666669,132,84.0,3444,401.49743726829274,25,835,4.247586727142334,0.0001
42,0.9627599999999996,132,84.0,3528,402.0751744047619,26,856,5.21951150894165,0.0001
43,0.9618733333333336,132,84.0,3612,401.3698367674418,27,877,4.576180934906006,0.0001
44,0.9609866666666663,133,84.0,3696,400.19197245454546,27,898,3.464777946472168,0.0001
45,0.9601000000000002,133,84.0,3780,395.65079251111115,28,919,6.019510746002197,0.0001
46,0.959213333333333,133,84.0,3864,391.4562403478261,28,940,3.8846473693847656,0.0001
47,0.9583266666666669,133,84.0,3948,392.3286049574468,29,961,3.215879440307617,0.0001
48,0.9574399999999996,133,84.0,4032,389.82912035416666,30,982,2.8584065437316895,0.0001
49,0.9565533333333335,133,84.0,4116,390.55208787755106,30,1003,2.8047332763671875,0.0001
50,0.9556666666666662,134,84.0,4200,392.15601424,31,1024,3.1168150901794434,0.0001
51,0.9547800000000002,134,84.0,4284,391.6692639019608,31,1045,2.5104050636291504,0.0001
52,0.9538933333333329,134,84.0,4368,388.9761301923077,32,1066,2.399606466293335,0.0001
53,0.9530066666666668,135,84.0,4452,391.5620714716982,32,1087,5.549941062927246,0.0001
54,0.9521199999999996,135,84.0,4536,390.9420732407408,33,1108,2.416386842727661,0.0001
55,0.9512333333333335,135,84.0,4620,392.75887796363645,34,1129,2.9297475814819336,0.0001
56,0.9503466666666662,135,84.0,4704,394.0651979107143,34,1150,5.301456451416016,0.0001
57,0.9494600000000001,135,84.0,4788,393.43039585964914,35,1171,2.1415483951568604,0.0001
58,0.9485733333333328,135,84.0,4872,395.69470748275864,35,1192,2.541618824005127,0.0001
