#{"t_start": 1755440129.7164223, "env_id": "None"}
r,l,t
89.058141,84,1.236279
37.673503,84,2.172942
115.813509,84,2.80037
75.017331,84,3.581017
75.199697,84,4.247258
96.317757,84,4.904679
78.925203,84,5.527033
60.346365,84,6.226142
89.303729,84,6.936062
91.242095,84,7.631814
106.448692,84,8.32903
74.684269,84,9.055839
25.685552,84,9.782032
111.120688,84,10.447877
74.428784,84,11.118021
98.445264,84,11.898625
91.240935,84,12.614833
107.223767,84,13.29969
13.183621,84,13.983357
109.217868,84,14.74074
109.484292,84,15.420916
76.516531,84,16.179983
95.647931,84,16.86047
65.579148,84,17.515833
78.482814,84,18.243137
98.995702,84,18.988566
88.317519,84,19.691838
102.560007,84,20.422089
87.924378,84,21.133268
62.624269,84,21.883906
81.432578,84,22.596083
109.677919,84,23.304384
87.796501,84,23.941514
84.252513,84,24.630296
56.392786,84,25.286144
76.078456,84,26.042367
106.168178,84,26.730918
91.984045,84,27.405468
66.447693,84,28.091224
51.268492,84,28.818443
101.013049,84,29.464934
92.804045,84,30.249812
94.485131,84,30.92254
63.237911,84,31.653677
85.70406,84,32.393665
72.69537,84,33.052499
15.283099,84,33.77566
63.759295,84,34.486619
72.162257,84,35.245872
94.626102,84,35.879556
105.614086,84,36.61275
68.936205,84,37.315737
91.875397,84,38.040239
57.046479,84,38.738737
29.583438,84,39.428677
89.543426,84,40.053322
100.990868,84,40.792865
68.676017,84,41.449055
70.420214,84,42.156757
92.917921,84,42.804591
75.728188,84,43.475209
54.920109,84,44.167435
46.587472,84,44.971703
101.098908,84,45.60451
75.362476,84,46.298764
81.810128,84,46.937736
70.247135,84,47.711594
66.921095,84,48.363675
64.080231,84,49.056347
69.458869,84,49.723943
68.304001,84,50.439675
102.214067,84,51.160303
111.449284,84,51.914524
79.215435,84,52.660651
71.857192,84,53.364642
87.972405,84,54.160681
95.01759,84,54.892884
89.921599,84,55.626042
64.30905,84,56.31936
81.167932,84,57.203282
19.253691,84,57.832725
86.967207,84,58.588907
94.858465,84,59.247515
46.551386,84,59.943389
80.608767,84,60.647064
93.959982,84,61.361829
88.814802,84,62.110589
65.371292,84,62.824076
91.888027,84,63.578765
84.333537,84,64.231562
81.804423,84,64.94799
103.976063,84,65.686733
81.073543,84,66.369049
103.455233,84,67.147274
69.511201,84,67.864433
40.843812,84,68.526432
42.041107,84,69.180847
71.879143,84,69.845654
77.784498,84,70.520454
81.816716,84,71.224293
116.599509,84,72.079974
74.749291,84,72.665312
62.991926,84,73.393198
91.347857,84,74.081892
70.51007,84,74.783381
83.900313,84,75.427139
90.730674,84,76.19204
90.762016,84,76.882651
97.240148,84,77.628643
41.05165,84,78.28416
82.111206,84,79.038643
63.258961,84,79.678321
85.447464,84,80.454754
64.282347,84,81.133826
99.111332,84,81.910347
92.306198,84,82.594825
97.855524,84,83.267556
93.742128,84,84.017896
101.426278,84,84.701568
93.680993,84,85.414327
95.438721,84,86.096104
88.339906,84,86.845972
39.247365,84,87.655005
91.672211,84,88.466402
91.990333,84,89.189286
61.925234,84,89.905494
108.221475,84,90.570107
59.803033,84,91.329711
76.69898,84,91.989622
43.541984,84,92.752084
96.673222,84,93.490901
88.329155,84,94.154167
70.041569,84,94.880626
42.457817,84,95.610737
63.706497,84,96.293403
94.156723,84,96.942525
70.07607,84,97.623414
64.007739,84,98.312608
66.381622,84,99.032798
32.927618,84,99.733559
51.516156,84,100.435567
60.546514,84,101.098652
90.765084,84,101.855818
115.791483,84,102.587374
74.313253,84,103.288924
57.437299,84,104.010944
93.646495,84,104.950179
83.169759,84,105.706824
40.507791,84,106.380517
82.294383,84,107.053296
93.932386,84,107.792152
55.856883,84,108.488211
79.231121,84,109.201207
100.002606,84,109.898252
73.285614,84,110.593249
79.949032,84,111.333087
22.685212,84,111.985293
84.046626,84,112.699069
64.145678,84,113.375285
65.050967,84,114.120478
91.982835,84,114.869085
83.015845,84,115.595047
92.02898,84,116.307251
58.182147,84,117.014724
93.604768,84,117.753552
103.374501,84,118.673146
38.146579,84,119.385029
83.495239,84,120.072332
66.972611,84,120.756271
74.538539,84,121.515676
91.605852,84,122.226401
73.604502,84,122.944087
110.398209,84,123.600717
54.927098,84,124.275099
101.753478,84,125.087235
80.119085,84,125.827332
72.486756,84,126.567094
104.089355,84,127.350786
81.483744,84,128.046907
44.28226,84,128.791777
80.606422,84,129.509047
43.00026,84,130.255205
49.083945,84,130.938151
51.145649,84,131.58876
48.926298,84,132.326652
105.567737,84,133.045643
116.407364,84,133.77793
78.714192,84,134.509233
80.41981,84,135.169124
88.448458,84,135.8785
89.731027,84,136.699332
