time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
104,89.058141,84,1,84.0,0,0.9991133333333339,,,
99,63.365822,168,2,84.0,1,0.9982266666666666,16,52.0363883972168,0.0001
104,80.84838433333333,252,3,84.0,2,0.9973400000000006,37,38.14567947387695,0.0001
106,79.390621,336,4,84.0,3,0.9964533333333333,58,37.06892395019531,0.0001
110,78.5524362,420,5,84.0,3,0.9955666666666672,79,35.15241241455078,0.0001
113,81.513323,504,6,84.0,4,0.99468,100,25.811664581298828,0.0001
115,81.14359157142857,588,7,84.0,5,0.9937933333333339,121,22.456844329833984,0.0001
116,78.54393825,672,8,84.0,5,0.9929066666666666,142,22.047000885009766,0.0001
116,79.73947055555556,756,9,84.0,6,0.9920200000000005,163,16.273469924926758,0.0001
116,80.889733,840,10,84.0,7,0.9911333333333332,184,8.932462692260742,0.0001
116,83.21327472727272,924,11,84.0,7,0.9902466666666672,205,8.764425277709961,0.0001
116,82.50252425,1008,12,84.0,8,0.9893599999999999,226,4.640392303466797,0.0001
117,78.13198792307692,1092,13,84.0,9,0.9884733333333338,247,5.680846691131592,0.0001
117,80.48832364285714,1176,14,84.0,10,0.9875866666666666,268,9.86724853515625,0.0001
118,80.08435433333332,1260,15,84.0,10,0.9867000000000004,289,5.754515647888184,0.0001
117,81.2319111875,1344,16,84.0,11,0.9858133333333332,310,5.191493988037109,0.0001
117,81.82067729411766,1428,17,84.0,12,0.9849266666666671,331,7.017277717590332,0.0001
117,83.23196005555556,1512,18,84.0,12,0.9840399999999998,352,3.8259332180023193,0.0001
117,79.54520536842105,1596,19,84.0,13,0.9831533333333338,373,5.890019416809082,0.0001
117,81.02883849999999,1680,20,84.0,14,0.9822666666666665,394,3.869574785232544,0.0001
117,82.38386009523809,1764,21,84.0,14,0.9813800000000004,415,4.726526737213135,0.0001
117,82.11716331818182,1848,22,84.0,15,0.9804933333333332,436,4.305764198303223,0.0001
117,82.70545756521739,1932,23,84.0,16,0.9796066666666671,457,2.3858699798583984,0.0001
118,81.99186133333333,2016,24,84.0,17,0.9787199999999998,478,4.6205549240112305,0.0001
117,81.85149944,2100,25,84.0,17,0.9778333333333337,499,4.98219633102417,0.0001
117,82.51089184615384,2184,26,84.0,18,0.9769466666666664,520,2.2084708213806152,0.0001
117,82.72595211111111,2268,27,84.0,19,0.9760600000000004,541,2.024458408355713,0.0001
117,83.43431121428571,2352,28,84.0,19,0.9751733333333331,562,2.7624104022979736,0.0001
117,83.58914110344828,2436,29,84.0,20,0.974286666666667,583,6.270902633666992,0.0001
117,82.89031203333334,2520,30,84.0,21,0.9733999999999998,604,2.183098793029785,0.0001
117,82.84328835483872,2604,31,84.0,22,0.9725133333333337,625,2.7417831420898438,0.0001
117,83.6818705625,2688,32,84.0,22,0.9716266666666664,646,3.2528481483459473,0.0001
118,83.80655633333332,2772,33,84.0,23,0.9707400000000003,667,2.6001834869384766,0.0001
118,83.81967270588234,2856,34,84.0,24,0.969853333333333,688,2.015806198120117,0.0001
118,83.03604737142855,2940,35,84.0,24,0.968966666666667,709,1.574275016784668,0.0001
118,82.84278094444443,3024,36,84.0,25,0.9680799999999997,730,4.5876784324646,0.0001
118,83.47319708108107,3108,37,84.0,26,0.9671933333333336,751,2.0556869506835938,0.0001
118,83.69716676315788,3192,38,84.0,26,0.9663066666666664,772,4.113114833831787,0.0001
118,83.25487256410256,3276,39,84.0,27,0.9654200000000003,793,3.9025468826293945,0.0001
118,82.45521305,3360,40,84.0,28,0.964533333333333,814,4.266935348510742,0.0001
118,82.90784319512196,3444,41,84.0,29,0.9636466666666669,835,1.2117805480957031,0.0001
118,83.14346704761904,3528,42,84.0,29,0.9627599999999996,856,1.7148257493972778,0.0001
118,83.4072266744186,3612,43,84.0,30,0.9618733333333336,877,1.412621021270752,0.0001
118,82.94883313636363,3696,44,84.0,31,0.9609866666666663,898,1.4835925102233887,0.0001
118,83.0100604,3780,45,84.0,31,0.9601000000000002,919,3.8127567768096924,0.0001
118,82.785828,3864,46,84.0,32,0.959213333333333,940,1.8456242084503174,0.0001
118,81.34959972340425,3948,47,84.0,33,0.9583266666666669,961,1.7483460903167725,0.0001
118,80.98313504166667,4032,48,84.0,34,0.9574399999999996,982,1.3257174491882324,0.0001
118,80.80311712244898,4116,49,84.0,34,0.9565533333333335,1003,1.1529426574707031,0.0001
118,81.07957682,4200,50,84.0,35,0.9556666666666662,1024,2.027869701385498,0.0001
118,81.56064562745098,4284,51,84.0,36,0.9547800000000002,1045,1.1038589477539062,0.0001
118,81.31786792307692,4368,52,84.0,36,0.9538933333333329,1066,1.1457399129867554,0.0001
118,81.51706658490565,4452,53,84.0,37,0.9530066666666668,1087,3.518672227859497,0.0001
118,81.06390755555555,4536,54,84.0,38,0.9521199999999996,1108,1.6977753639221191,0.0001
118,80.1278990181818,4620,55,84.0,38,0.9512333333333335,1129,1.2798197269439697,0.0001
118,80.29603342857142,4704,56,84.0,39,0.9503466666666662,1150,3.861711025238037,0.0001
118,80.65910070175438,4788,57,84.0,40,0.9494600000000001,1171,1.1121885776519775,0.0001
118,80.45249581034481,4872,58,84.0,40,0.9485733333333328,1192,1.3281434774398804,0.0001
118,80.2824571355932,4956,59,84.0,41,0.9476866666666668,1213,1.1711468696594238,0.0001
118,80.49304819999999,5040,60,84.0,42,0.9467999999999995,1234,1.243814468383789,0.0001
119,80.41493573770491,5124,61,84.0,43,0.9459133333333334,1255,1.238612413406372,0.0001
119,80.0037288548387,5208,62,84.0,43,0.9450266666666662,1276,3.281888246536255,0.0001
118,79.47331207936507,5292,63,84.0,44,0.9441400000000001,1297,0.8957194089889526,0.0001
119,79.811212015625,5376,64,84.0,45,0.9432533333333328,1318,0.8300158381462097,0.0001
119,79.74276992307693,5460,65,84.0,45,0.9423666666666667,1339,5.682771682739258,0.0001
119,79.77409353030303,5544,66,84.0,46,0.9414799999999994,1360,1.2237436771392822,0.0001
119,79.63190011940299,5628,67,84.0,47,0.9405933333333334,1381,0.6889191269874573,0.0001
119,79.44497651470589,5712,68,84.0,47,0.9397066666666672,1402,1.3544256687164307,0.0001
119,79.22229904347826,5796,69,84.0,48,0.93882,1423,0.7688812613487244,0.0001
119,79.08282147142857,5880,70,84.0,49,0.9379333333333338,1444,2.856107711791992,0.0001
119,78.93100709859155,5964,71,84.0,50,0.9370466666666666,1465,0.5836195945739746,0.0001
119,79.25438293055555,6048,72,84.0,50,0.9361600000000005,1486,0.8867920637130737,0.0001
119,79.69540897260273,6132,73,84.0,51,0.9352733333333333,1507,0.6469978094100952,0.0001
118,79.68892283783784,6216,74,84.0,52,0.9343866666666671,1528,3.4741342067718506,0.0001
119,79.58449976,6300,75,84.0,52,0.9335,1549,3.214289665222168,0.0001
118,79.69486693421054,6384,76,84.0,53,0.9326133333333338,1570,3.3778462409973145,0.0001
118,79.89386333766235,6468,77,84.0,54,0.9317266666666666,1591,2.9531683921813965,0.0001
118,80.02242405128206,6552,78,84.0,55,0.9308400000000004,1612,0.6121053099632263,0.0001
118,79.82352058227849,6636,79,84.0,55,0.9299533333333332,1633,0.8292515873908997,0.0001
118,79.840325725,6720,80,84.0,56,0.9290666666666672,1654,0.7046399712562561,0.0001
118,79.09234258024692,6804,81,84.0,57,0.9281799999999999,1675,3.4807288646698,0.0001
118,79.18837751219512,6888,82,84.0,58,0.9272933333333337,1696,3.168428421020508,0.0001
118,79.37717374698795,6972,83,84.0,58,0.9264066666666666,1717,3.140170097351074,0.0001
118,78.98639055952381,7056,84,84.0,59,0.9255200000000005,1738,0.619399905204773,0.0001
118,79.00547734117647,7140,85,84.0,60,0.9246333333333332,1759,0.7151243686676025,0.0001
118,79.17936693023256,7224,86,84.0,60,0.923746666666667,1780,0.6722151041030884,0.0001
118,79.29011905747126,7308,87,84.0,61,0.9228599999999998,1801,0.4676838517189026,0.0001
118,79.13195056818182,7392,88,84.0,62,0.9219733333333338,1822,0.4796447157859802,0.0001
118,79.27527726966292,7476,89,84.0,63,0.9210866666666665,1843,0.468610942363739,0.0001
118,79.33148015555555,7560,90,84.0,63,0.9202000000000004,1864,0.40967226028442383,0.0001
118,79.35865535164835,7644,91,84.0,64,0.9193133333333332,1885,0.4713733494281769,0.0001
118,79.62623586956522,7728,92,84.0,65,0.9184266666666671,1906,0.5397613644599915,0.0001
118,79.64179831182796,7812,93,84.0,65,0.9175399999999998,1927,0.9380728602409363,0.0001
118,79.89513272340426,7896,94,84.0,66,0.9166533333333337,1948,0.49641141295433044,0.0001
118,79.78582817894737,7980,95,84.0,67,0.9157666666666665,1969,2.8762142658233643,0.0001
118,79.38018217708333,8064,96,84.0,68,0.9148800000000004,1990,2.962374210357666,0.0001
118,78.99524325773196,8148,97,84.0,68,0.9139933333333331,2011,0.48937520384788513,0.0001
118,78.92262998979591,8232,98,84.0,69,0.913106666666667,2032,0.6632602214813232,0.0001
118,78.9111337070707,8316,99,84.0,70,0.9122199999999998,2053,0.6387898921966553,0.0001
118,78.94018953,8400,100,84.0,70,0.9113333333333337,2074,2.8365581035614014,0.0001
118,79.21560320999998,8484,101,84.0,71,0.9104466666666664,2095,0.466203898191452,0.0001
118,79.58636109,8568,102,84.0,72,0.9095600000000003,2116,2.973155975341797,0.0001
118,79.05814526,8652,103,84.0,72,0.9086733333333331,2137,2.950664758682251,0.0001
118,79.22145052,8736,104,84.0,73,0.907786666666667,2158,0.4208749532699585,0.0001
118,79.17455424999999,8820,105,84.0,74,0.9068999999999997,2179,3.1573538780212402,0.0001
118,79.05037981,8904,106,84.0,74,0.9060133333333336,2200,2.90028715133667,0.0001
118,79.16843452,8988,107,84.0,75,0.9051266666666664,2221,0.6264735460281372,0.0001
118,79.47259103,9072,108,84.0,76,0.9042400000000003,2242,0.4048401415348053,0.0001
118,79.55195522,9156,109,84.0,77,0.903353333333333,2263,0.36643707752227783,0.0001
118,79.05005077000001,9240,110,84.0,77,0.9024666666666669,2284,0.5568764209747314,0.0001
118,78.80667591000001,9324,111,84.0,78,0.9015799999999997,2305,0.5620063543319702,0.0001
118,78.69242283,9408,112,84.0,79,0.9006933333333336,2326,0.46161121129989624,0.0001
118,79.29004195,9492,113,84.0,79,0.8998066666666663,2347,0.42002445459365845,0.0001
118,78.82165854,9576,114,84.0,80,0.8989200000000002,2368,0.771971583366394,0.0001
118,79.06848402,9660,115,84.0,81,0.898033333333333,2389,0.5873355865478516,0.0001
118,79.00709336000001,9744,116,84.0,82,0.8971466666666669,2410,0.6020826697349548,0.0001
118,79.07323925,9828,117,84.0,82,0.8962599999999996,2431,5.3749871253967285,0.0001
118,78.93842286,9912,118,84.0,83,0.8953733333333335,2452,0.6430668830871582,0.0001
118,79.82084943,9996,119,84.0,84,0.8944866666666663,2473,0.45668932795524597,0.0001
118,79.66548067999999,10080,120,84.0,84,0.8936000000000002,2494,1.5464625358581543,0.0001
118,79.52502497,10164,121,84.0,85,0.8927133333333329,2515,1.2979841232299805,0.0001
118,79.64325872,10248,122,84.0,86,0.8918266666666668,2536,4.8852386474609375,0.0001
118,79.07925306000001,10332,123,84.0,87,0.8909399999999996,2557,4.7721757888793945,0.0001
118,79.34018369,10416,124,84.0,88,0.8900533333333335,2578,0.41008803248405457,0.0001
118,79.47525888,10500,125,84.0,88,0.8891666666666662,2599,2.6831040382385254,0.0001
118,79.1045542,10584,126,84.0,89,0.8882800000000001,2620,0.6655693650245667,0.0001
118,79.30359376,10668,127,84.0,90,0.8873933333333329,2641,0.39593589305877686,0.0001
118,78.87602402,10752,128,84.0,90,0.8865066666666668,2662,0.40368783473968506,0.0001
118,78.76377004000001,10836,129,84.0,91,0.8856199999999995,2683,0.56586754322052,0.0001
118,78.57294719000001,10920,130,84.0,92,0.8847333333333334,2704,0.4049926996231079,0.0001
118,78.72535363000001,11004,131,84.0,93,0.8838466666666662,2725,0.31006157398223877,0.0001
118,78.51186599000002,11088,132,84.0,93,0.8829600000000001,2746,0.37746351957321167,0.0001
118,78.33431667,11172,133,84.0,94,0.8820733333333328,2767,0.3886600136756897,0.0001
118,77.91636971000001,11256,134,84.0,95,0.8811866666666667,2788,0.4431883692741394,0.0001
118,77.98950682,11340,135,84.0,95,0.8803000000000005,2809,2.6136083602905273,0.0001
118,78.17028949,11424,136,84.0,96,0.8794133333333334,2830,0.2903628945350647,0.0001
118,77.80936841,11508,137,84.0,97,0.8785266666666672,2851,2.529088020324707,0.0001
118,77.52960535,11592,138,84.0,97,0.87764,2872,0.26144567131996155,0.0001
118,77.52894464,11676,139,84.0,98,0.8767533333333338,2893,0.6421923041343689,0.0001
118,77.34553589999999,11760,140,84.0,99,0.8758666666666667,2914,2.445817708969116,0.0001
118,76.85056696999999,11844,141,84.0,100,0.8749800000000005,2935,0.37878525257110596,0.0001
118,76.52799165999998,11928,142,84.0,100,0.8740933333333333,2956,2.4383347034454346,0.0001
118,76.49079119,12012,143,84.0,101,0.8732066666666671,2977,0.4026997685432434,0.0001
118,77.01632690999999,12096,144,84.0,102,0.87232,2998,0.47412288188934326,0.0001
118,76.90241884,12180,145,84.0,102,0.8714333333333338,3019,0.3665369749069214,0.0001
118,76.74983813,12264,146,84.0,103,0.8705466666666666,3040,0.3655257821083069,0.0001
118,77.53347209,12348,147,84.0,104,0.8696600000000004,3061,0.4418671727180481,0.0001
118,77.72757673,12432,148,84.0,105,0.8687733333333332,3082,0.31893354654312134,0.0001
118,77.41103207,12516,149,84.0,105,0.8678866666666671,3103,2.5463860034942627,0.0001
118,77.28771488000001,12600,150,84.0,106,0.8669999999999999,3124,0.48950254917144775,0.0001
118,77.17089788000001,12684,151,84.0,107,0.8661133333333337,3145,0.18492040038108826,0.0001
118,77.04010466000001,12768,152,84.0,108,0.8652266666666666,3166,0.4069722294807434,0.0001
118,76.91366190000001,12852,153,84.0,108,0.8643400000000004,3187,0.3832341134548187,0.0001
118,77.34322317000002,12936,154,84.0,109,0.8634533333333332,3208,2.5213418006896973,0.0001
118,77.78024493000001,13020,155,84.0,110,0.862566666666667,3229,4.756056785583496,0.0001
118,77.68430099,13104,156,84.0,110,0.8616799999999998,3250,0.4789033532142639,0.0001
118,76.90124443000002,13188,157,84.0,111,0.8607933333333337,3271,0.29991087317466736,0.0001
118,77.05495052,13272,158,84.0,112,0.8599066666666665,3292,0.6381754875183105,0.0001
118,76.99220516000001,13356,159,84.0,112,0.8590200000000003,3313,0.32772114872932434,0.0001
118,76.71353562000002,13440,160,84.0,113,0.8581333333333332,3334,0.2558310031890869,0.0001
118,76.87608209,13524,161,84.0,114,0.857246666666667,3355,0.23719774186611176,0.0001
118,77.15703945,13608,162,84.0,115,0.8563599999999998,3376,2.3998425006866455,0.0001
118,77.61145453,13692,163,84.0,115,0.8554733333333336,3397,0.6258331537246704,0.0001
118,77.18228692,13776,164,84.0,116,0.8545866666666664,3418,0.2591695189476013,0.0001
118,77.36470984,13860,165,84.0,117,0.8537000000000003,3439,0.3012339472770691,0.0001
117,77.58035357,13944,166,84.0,118,0.8528133333333331,3460,0.3872282803058624,0.0001
117,77.25934801000001,14028,167,84.0,118,0.8519266666666669,3481,0.4614194631576538,0.0001
117,77.42508945,14112,168,84.0,119,0.8510399999999998,3502,0.26993435621261597,0.0001
118,77.45401325,14196,169,84.0,120,0.8501533333333336,3523,2.570838689804077,0.0001
117,77.50480995,14280,170,84.0,121,0.8492666666666664,3544,0.26852768659591675,0.0001
117,77.73782845999999,14364,171,84.0,121,0.8483800000000002,3565,0.6419904232025146,0.0001
117,77.45173281000001,14448,172,84.0,122,0.847493333333333,3586,0.3639053404331207,0.0001
117,77.44122205999999,14532,173,84.0,123,0.846606666666667,3607,0.25800976157188416,0.0001
117,77.19833869,14616,174,84.0,123,0.8457199999999997,3628,2.6249570846557617,0.0001
