#{"t_start": 1757224162.0695589, "env_id": "None"}
r,l,t
98.853118,84,0.680518
66.660063,84,1.205939
36.932951,84,1.640852
78.291217,84,2.0789
45.250413,84,2.479852
66.316458,84,2.826368
78.948905,84,3.248039
70.560539,84,3.721759
110.331095,84,4.177604
99.759532,84,4.58988
28.654523,84,4.961932
79.163275,84,5.344399
58.067502,84,5.70222
81.503563,84,6.060012
59.878696,84,6.449003
48.132663,84,6.921511
48.096082,84,7.30591
80.355324,84,7.66272
78.730754,84,8.043828
103.475392,84,8.475453
56.262146,84,8.882567
37.346711,84,9.268266
68.248801,84,9.640467
60.46243,84,10.001982
67.140859,84,10.393791
78.774329,84,10.801712
79.079764,84,11.178393
85.477436,84,11.546909
92.541819,84,11.930848
104.477755,84,12.348194
20.866658,84,12.77501
71.944311,84,13.177355
77.414113,84,13.545194
69.873025,84,13.902404
63.900351,84,14.277372
63.293102,84,14.691031
89.999169,84,15.047551
63.506233,84,15.430869
88.45444,84,15.782076
76.898359,84,16.25287
83.049756,84,16.593599
73.139534,84,16.952471
5.545629,84,17.301141
27.00767,84,17.694252
40.723013,84,18.086292
88.820719,84,18.50577
38.454445,84,18.905884
69.687504,84,19.336772
99.764435,84,19.733805
46.146969,84,20.19309
91.51811,84,20.629241
59.426534,84,21.0397
55.605466,84,21.418389
67.761887,84,21.881431
92.144575,84,22.344748
76.437335,84,22.761024
73.592561,84,23.197403
69.879832,84,23.658603
30.514331,84,24.112767
98.091797,84,24.545547
74.222377,84,24.933393
24.652614,84,25.38319
30.519865,84,25.871186
54.036128,84,26.300562
76.34111,84,26.720882
73.618138,84,27.169555
66.86362,84,27.680433
19.049447,84,28.063462
73.166227,84,28.465703
76.673786,84,28.862942
106.265171,84,29.233301
68.848117,84,29.611463
88.187103,84,30.023541
100.435932,84,30.446095
68.28042,84,30.86203
96.083761,84,31.287048
76.511434,84,31.738241
22.221623,84,32.177733
78.239259,84,32.628379
90.361348,84,33.037328
49.240385,84,33.441712
95.741382,84,33.924477
98.002485,84,34.298459
67.6384,84,34.661198
59.103484,84,35.08417
94.812613,84,35.458168
68.179846,84,35.888505
44.433629,84,36.334443
58.688289,84,36.811866
61.18293,84,37.255197
54.170801,84,37.707666
61.2856,84,38.120903
59.749581,84,38.529065
55.660421,84,38.948058
-8.673356,84,39.355926
78.080506,84,39.807922
96.418475,84,40.212057
90.064,84,40.638557
72.867234,84,41.025988
82.440954,84,41.426407
93.859091,84,41.83117
105.148648,84,42.250056
50.897111,84,42.644912
78.24107,84,43.078237
83.95808,84,43.488645
68.264299,84,43.982575
84.805971,84,44.399731
71.164426,84,44.872367
50.895833,84,45.347234
87.385753,84,45.706466
64.269903,84,46.133426
63.945238,84,46.68136
74.345559,84,47.093681
68.057423,84,47.573445
80.80074,84,47.989638
105.457294,84,48.439072
34.807575,84,48.803261
104.101211,84,49.204043
37.778261,84,49.654398
