time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
1,0,0.9991133333333339,17.124965,223,84,84.0,,,
2,0,0.9982266666666666,20.5424825,197,168,84.0,91.47444152832031,0.0001,16
3,1,0.9973400000000006,19.750546,207,252,84.0,67.29644775390625,0.0001,37
4,1,0.9964533333333333,19.72346575,212,336,84.0,47.442142486572266,0.0001,58
5,1,0.9955666666666672,20.488691799999998,220,420,84.0,38.69121551513672,0.0001,79
6,2,0.99468,19.857887333333334,225,504,84.0,38.19408416748047,0.0001,100
7,2,0.9937933333333339,20.02094442857143,230,588,84.0,27.92230796813965,0.0001,121
8,2,0.9929066666666666,20.651501,234,672,84.0,27.600257873535156,0.0001,142
9,3,0.9920200000000005,20.208473444444444,235,756,84.0,14.074769973754883,0.0001,163
10,3,0.9911333333333332,20.0634851,236,840,84.0,9.704437255859375,0.0001,184
11,3,0.9902466666666672,20.308449454545453,237,924,84.0,5.735919952392578,0.0001,205
12,4,0.9893599999999999,20.5032425,237,1008,84.0,4.792596817016602,0.0001,226
13,4,0.9884733333333338,20.231039153846154,238,1092,84.0,4.427299499511719,0.0001,247
14,4,0.9875866666666666,19.977711357142855,239,1176,84.0,5.692507266998291,0.0001,268
15,5,0.9867000000000004,19.973183666666667,241,1260,84.0,9.860368728637695,0.0001,289
16,5,0.9858133333333332,19.9101421875,240,1344,84.0,5.106342315673828,0.0001,310
17,5,0.9849266666666671,20.044425705882354,240,1428,84.0,4.992313385009766,0.0001,331
18,6,0.9840399999999998,20.21686511111111,239,1512,84.0,5.068680763244629,0.0001,352
19,6,0.9831533333333338,20.276338894736842,239,1596,84.0,6.102246284484863,0.0001,373
20,6,0.9822666666666665,20.016375349999997,240,1680,84.0,3.758220672607422,0.0001,394
21,7,0.9813800000000004,20.009360523809523,240,1764,84.0,5.6734724044799805,0.0001,415
22,7,0.9804933333333332,20.113140409090907,241,1848,84.0,5.739081382751465,0.0001,436
23,8,0.9796066666666671,20.01896313043478,240,1932,84.0,2.3288919925689697,0.0001,457
24,8,0.9787199999999998,20.076688791666665,240,2016,84.0,4.861299514770508,0.0001,478
25,8,0.9778333333333337,19.95493124,240,2100,84.0,5.375006198883057,0.0001,499
26,9,0.9769466666666664,19.94386203846154,240,2184,84.0,2.527329444885254,0.0001,520
27,9,0.9760600000000004,19.922136407407407,239,2268,84.0,2.0442452430725098,0.0001,541
28,9,0.9751733333333331,19.77381610714286,240,2352,84.0,2.079486608505249,0.0001,562
29,10,0.974286666666667,19.85023179310345,240,2436,84.0,8.186873435974121,0.0001,583
30,10,0.9733999999999998,19.909052066666668,240,2520,84.0,1.898270606994629,0.0001,604
31,10,0.9725133333333337,19.73986183870968,240,2604,84.0,2.017460584640503,0.0001,625
32,11,0.9716266666666664,19.7467678125,239,2688,84.0,2.173386335372925,0.0001,646
33,11,0.9707400000000003,19.816478333333336,239,2772,84.0,2.5404345989227295,0.0001,667
34,11,0.969853333333333,19.715205823529413,239,2856,84.0,1.9918745756149292,0.0001,688
35,12,0.968966666666667,19.68738522857143,239,2940,84.0,0.9494113326072693,0.0001,709
36,12,0.9680799999999997,19.61248225,238,3024,84.0,4.254836559295654,0.0001,730
37,13,0.9671933333333336,19.648686837837836,238,3108,84.0,1.9331789016723633,0.0001,751
38,13,0.9663066666666664,19.66883936842105,238,3192,84.0,4.543756008148193,0.0001,772
39,13,0.9654200000000003,19.612708205128204,238,3276,84.0,4.556821346282959,0.0001,793
40,14,0.964533333333333,19.523545425,238,3360,84.0,5.1349592208862305,0.0001,814
41,14,0.9636466666666669,19.56488995121951,238,3444,84.0,1.2848944664001465,0.0001,835
42,14,0.9627599999999996,19.557695309523805,238,3528,84.0,1.667529821395874,0.0001,856
43,15,0.9618733333333336,19.355732976744182,237,3612,84.0,1.1837952136993408,0.0001,877
44,15,0.9609866666666663,19.286838704545453,237,3696,84.0,1.4781134128570557,0.0001,898
45,15,0.9601000000000002,19.244635399999996,237,3780,84.0,4.383330345153809,0.0001,919
46,16,0.959213333333333,19.051417999999998,237,3864,84.0,1.073023796081543,0.0001,940
47,16,0.9583266666666669,19.157618234042552,236,3948,84.0,1.306323528289795,0.0001,961
48,17,0.9574399999999996,19.0511331875,236,4032,84.0,1.0976237058639526,0.0001,982
49,17,0.9565533333333335,19.120103571428572,235,4116,84.0,0.964873194694519,0.0001,1003
50,17,0.9556666666666662,19.0819216,234,4200,84.0,1.4200775623321533,0.0001,1024
51,18,0.9547800000000002,19.053562764705884,232,4284,84.0,1.087625503540039,0.0001,1045
52,18,0.9538933333333329,18.97187355769231,232,4368,84.0,1.007737398147583,0.0001,1066
53,19,0.9530066666666668,19.015945867924533,232,4452,84.0,3.4970784187316895,0.0001,1087
54,19,0.9521199999999996,19.01120527777778,232,4536,84.0,1.3560466766357422,0.0001,1108
55,19,0.9512333333333335,18.93352923636364,232,4620,84.0,1.4989155530929565,0.0001,1129
56,20,0.9503466666666662,18.90715883928571,231,4704,84.0,4.488672256469727,0.0001,1150
57,20,0.9494600000000001,18.895590315789473,231,4788,84.0,0.8892073631286621,0.0001,1171
58,21,0.9485733333333328,18.91023472413793,231,4872,84.0,1.2488975524902344,0.0001,1192
