year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,0.7448377238717868,839.0194586610812,130.78262600642083,1254.0898205644744,0.5822895780648597,-30.726763942063645,17.55562935559892,13.39951888220142,47.50738509341707,50.312000000000005,0,-7.551622761282132,False
2018,0.8002102932708641,845.5118340467958,131.46065983517764,1257.953619671764,0.5860623061304895,-18.28903873653367,29.924615124552336,13.39951888220142,47.50738509341707,50.312000000000005,0,-6.997897067291358,False
2019,0.8560210898848709,851.2527994087015,132.1301735107019,1262.0140044938146,0.5908615573283212,-5.796243814180526,42.31617659390276,13.39951888220142,47.50738509341707,50.312000000000005,0,-6.439789101151291,False
2020,0.912040022866724,856.4611014994937,132.76973513885892,1266.242323928235,0.5966732701259321,6.902058195060426,54.77669203415505,13.39951888220142,47.50738509341707,50.312000000000005,0,-5.87959977133276,False
2021,0.9681758283854763,861.2874144704354,133.38390076312953,1270.6081852938432,0.6034805153896109,19.68948795554778,67.24503518404359,13.39951888220142,47.50738509341707,50.312000000000005,0,-5.318241716145237,False
2022,1.0214608349632008,865.8503350280954,133.98083524145486,1275.0878988563156,0.6112359393108421,32.761936345742235,79.9725068933273,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.785391650367991,False
2023,1.0719730992344987,870.1559854795443,134.5631050798149,1279.6632147961664,0.6198651009391658,46.11311815971056,92.91627836821769,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.280269007655013,False
2024,1.1197790596495298,874.0989916043476,135.12787653394432,1284.3171969346658,0.6292965181768365,59.4795082661045,105.93009544360348,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.8022094035047016,False
2025,1.1649410473533275,877.7473837528827,135.6734786269858,1289.0317232531402,0.6394613091693057,72.89495083592875,119.00546701819151,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.350589526466725,False
2026,1.207522526355741,881.0286448644443,136.19794515011031,1293.7893797012118,0.6502932735440571,86.07925509408825,131.98198711181178,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.9247747364425902,False
2027,1.247584069194879,883.998653045232,136.7000981112646,1298.572249522417,0.66172868475256,99.03943024062636,144.83666022901508,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.5241593080512104,False
2028,1.285187265153304,886.6053881091397,137.17847268252248,1303.3632945578217,0.6737063442506934,111.4989036894079,157.40387550203207,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.1481273484669594,False
2029,1.320392606225855,888.8970642779611,137.6324130698547,1308.145421492115,0.6861674205330786,123.44109543670206,169.64795411436685,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7960739377414492,False
2030,1.3532629570750596,890.8503542091184,138.06131761029386,1312.902666094275,0.6990555094371081,134.77478797672697,181.42500584415896,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4673704292494039,False
2031,1.3838630011916395,892.5316276002841,138.465344911719,1317.6196317938457,0.7123165423278071,146.30649651079386,192.74602325627805,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1613699880836048,False
2032,1.4122920103137608,894.0844194789722,138.8513224061841,1322.2842693830964,0.725899102147019,159.0189231734232,203.83315654628043,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8770798968623916,False
2033,1.4386449309325287,895.3894230998135,139.2196100035992,1326.888702509245,0.7397548491599838,173.06024542632724,214.45512481164002,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6135506906747135,False
2034,1.4630012253422928,896.5002599047723,139.56903181121788,1331.4242912963073,0.7538380395793981,188.32656871381909,224.6887011900509,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.3699877465770718,False
2035,1.485431743881157,897.3919634775848,139.8975447806702,1335.8824244911484,0.7681053721924004,204.7300313903973,234.4408126233122,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.14568256118842937,False
2036,1.5059906062607114,897.8773581584467,140.20143627990254,1340.2534194569134,0.7825156853479512,222.3858920194081,243.32428005345662,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.05990606260711351,False
2037,1.5247116476552849,898.1162916688746,140.47738898895926,1344.5245070719232,0.797029359043402,241.00660069041908,251.59394465053896,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.24711647655284885,False
2038,1.5416376022059666,897.9815240332306,140.7245449035447,1348.6838563093252,0.8116084441436979,260.50012320815785,258.9816276522433,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.41637602205966573,False
2039,1.5567952062546186,897.5262174175216,140.9405281710851,1352.7183786359296,0.8262163478345296,280.5929679663416,265.897320797186,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.5679520625461865,False
2040,1.5702118275349521,896.7005771527027,141.12402136160998,1356.6151962274732,0.8408177850374603,301.03576787934907,272.4075127087098,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7021182753495214,False
2041,1.581908093004423,895.5750009857105,141.27357749924505,1360.3609477585162,0.8553786048743329,321.62881878386565,278.47721015961434,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8190809300442292,False
2042,1.5919948250431073,894.5995335066311,141.40739386877556,1363.947952340583,0.8698664244768327,342.9284668849818,284.76410342561945,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.919948250431073,False
2043,1.6005623170976158,893.3018110699078,141.52361409129884,1367.3778628238108,0.884251952701624,364.3254620260676,290.5611180575974,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0056231709761576,False
