number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_learning_rate,state
0,,2025-06-26 22:58:49.582076,2025-06-26 22:58:52.651838,0 days 00:00:03.069762,64,5000,0.4142503696645371,0.9130956985905704,5.331019048214093e-05,FAIL
1,,2025-06-26 22:59:49.790465,2025-06-26 22:59:52.261862,0 days 00:00:02.471397,128,20000,0.25767980868738155,0.9439938030571279,0.00016947665334718929,FAIL
2,-159.49375,2025-06-26 23:10:40.067905,2025-06-27 00:03:56.791833,0 days 00:53:16.723928,64,10000,0.37027256062331626,0.9657854089129388,6.803847142294868e-05,COMPLETE
3,-97.218058,2025-06-27 00:03:57.034293,2025-06-27 00:58:20.663741,0 days 00:54:23.629448,32,10000,0.3078909537069624,0.9265421367804731,0.00018306860077535242,COMPLETE
4,-93.4844272,2025-06-27 00:58:20.715301,2025-06-27 01:51:50.476062,0 days 00:53:29.760761,32,5000,0.25955379589965955,0.9556916497077894,1.37739604494983e-05,COMPLETE
5,155.49223120000002,2025-06-27 01:51:50.766324,2025-06-27 02:46:14.653852,0 days 00:54:23.887528,64,10000,0.27635267443331624,0.9763757225672934,0.0002527125366972306,COMPLETE
6,74.3468466,2025-06-27 02:46:14.732001,2025-06-27 03:39:28.126210,0 days 00:53:13.394209,64,5000,0.38109233466332615,0.9493455680783738,4.348648559499574e-05,COMPLETE
7,122.21902600000001,2025-06-27 03:39:28.373974,2025-06-27 04:34:19.064959,0 days 00:54:50.690985,64,10000,0.26486682724425714,0.9565169795058601,0.0003988327788744236,COMPLETE
8,90.00832160000002,2025-06-27 04:34:19.305082,2025-06-27 05:28:29.459528,0 days 00:54:10.154446,128,10000,0.3213033770216198,0.92365979323838,0.00018796367751199359,COMPLETE
9,-25.244170599999997,2025-06-27 05:28:29.750072,2025-06-27 06:22:12.305627,0 days 00:53:42.555555,64,10000,0.42768953799932563,0.9804622409028477,0.00030020964306656767,COMPLETE
10,-88.23778460000001,2025-06-27 06:22:12.580967,2025-06-27 07:14:52.317411,0 days 00:52:39.736444,64,5000,0.47655818957667073,0.9785427252442177,0.00022389139801257737,COMPLETE
11,-48.4519392,2025-06-27 07:14:52.379708,2025-06-27 08:08:08.191024,0 days 00:53:15.811316,64,20000,0.47060284782691286,0.9361933114592744,2.224434796090231e-05,COMPLETE
12,222.79088700000003,2025-06-27 08:08:08.432055,2025-06-27 09:03:47.521956,0 days 00:55:39.089901,128,20000,0.12825949150185406,0.998316233072581,8.797479097015009e-05,COMPLETE
13,193.2819134,2025-06-27 09:03:47.583976,2025-06-27 09:58:43.512245,0 days 00:54:55.928269,128,20000,0.12364066632026202,0.997667670575972,0.0001057969223400364,COMPLETE
14,197.41244820000003,2025-06-27 09:58:43.805924,2025-06-27 10:54:29.419292,0 days 00:55:45.613368,128,20000,0.10549923436905215,0.9978248242753217,8.659595903556608e-05,COMPLETE
15,205.721161,2025-06-27 10:54:29.491515,2025-06-27 11:51:45.056924,0 days 00:57:15.565409,128,20000,0.10045431773677674,0.9952077089896689,4.901214375277671e-05,COMPLETE
16,-21.3052784,2025-06-27 11:51:45.342067,2025-06-27 12:53:10.452000,0 days 01:01:25.109933,128,20000,0.16435085654599385,0.9039410585175429,3.727637075411006e-05,COMPLETE
17,123.08466619999999,2025-06-27 12:53:10.522277,2025-06-27 13:54:20.898426,0 days 01:01:10.376149,128,20000,0.19086540620445358,0.9872394637599994,4.593253158494898e-05,COMPLETE
18,216.133254,2025-06-27 13:54:21.223225,2025-06-27 14:52:43.514298,0 days 00:58:22.291073,128,20000,0.1698532219363837,0.9891676226730546,0.00011970276364344923,COMPLETE
19,224.6121408,2025-06-27 14:52:43.859618,2025-06-27 15:47:00.889485,0 days 00:54:17.029867,128,20000,0.20457572538749452,0.9680629222023676,0.00013322033003059647,COMPLETE
20,193.664275,2025-06-27 15:47:01.146542,2025-06-27 16:41:51.713995,0 days 00:54:50.567453,128,20000,0.21687100228435002,0.9672679576486642,0.0001508194543658616,COMPLETE
21,-44.67098060000001,2025-06-27 16:41:51.774335,2025-06-27 17:36:49.382847,0 days 00:54:57.608512,32,20000,0.2137920993662256,0.9416674313152064,6.919481096280686e-05,COMPLETE
22,28.7476076,2025-06-27 17:36:49.630617,2025-06-27 18:30:10.484861,0 days 00:53:20.854244,128,20000,0.14039268013452813,0.9698403732306664,2.4053708492044263e-05,COMPLETE
23,217.8654946,2025-06-27 18:30:10.743204,2025-06-27 19:24:40.869760,0 days 00:54:30.126556,128,20000,0.177332303313529,0.9869268649319057,0.00012276011632869746,COMPLETE
24,196.01776560000002,2025-06-27 19:24:40.949317,2025-06-27 20:17:32.788152,0 days 00:52:51.838835,128,20000,0.22514932109770375,0.985716640658272,0.00012931179179992688,COMPLETE
25,186.0867968,2025-06-27 20:17:33.016765,2025-06-27 21:11:49.653867,0 days 00:54:16.637102,128,20000,0.15549587805411472,0.9735471193102598,9.091591196966043e-05,COMPLETE
26,73.8054626,2025-06-27 21:11:49.917907,2025-06-27 22:06:08.166759,0 days 00:54:18.248852,128,20000,0.19122639057006388,0.9612962397568946,0.00048437753486881723,COMPLETE
27,150.75195560000003,2025-06-27 22:06:08.236559,2025-06-27 22:58:57.937895,0 days 00:52:49.701336,128,5000,0.24209475517612286,0.987329607938514,6.72959125477872e-05,COMPLETE
28,175.8324582,2025-06-27 22:58:58.169046,2025-06-27 23:52:48.547826,0 days 00:53:50.378780,32,20000,0.18727262098143183,0.9913661251570854,0.00015524789376101004,COMPLETE
29,189.69957459999998,2025-06-27 23:52:48.760175,2025-06-28 00:46:34.785879,0 days 00:53:46.025704,128,20000,0.12915188574447442,0.9824254206897897,0.0003182239620538507,COMPLETE
30,195.49682479999998,2025-06-28 00:46:34.866334,2025-06-28 01:40:35.578295,0 days 00:54:00.711961,128,20000,0.14836144284478375,0.9758039631919874,8.917432709637071e-05,COMPLETE
