year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959322196361339,864.423416025478,133.11823225894207,1261.80415040753,0.48325292223941435,28.34858781063544,14.809583254336818,13.39951888220142,47.50738509341707,50.312000000000005,8,0.0,False
2018,1.1289846412945046,868.7309260696419,133.72612857345285,1266.7036834725131,0.49571500537461316,40.6153910001883,27.157974151757816,13.39951888220142,47.50738509341707,50.312000000000005,8,0.0,False
2019,1.1637362935621354,872.4983316180504,134.30488923119626,1271.6733594401915,0.5086021763473155,52.77450236473875,39.53791365096741,13.39951888220142,47.50738509341707,50.312000000000005,8,0.0,False
2020,1.1999013155903182,875.7749601627883,134.84972940567263,1276.6867569611056,0.5219367715837161,64.75013751035861,51.90807040765683,13.39951888220142,47.50738509341707,50.312000000000005,8,0.0,False
2021,1.2373134388312637,878.7824414280569,135.36750277692724,1281.719769168053,0.535736127334042,76.38632525758081,64.21955082945708,13.39951888220142,47.50738509341707,50.312000000000005,4,0.0,False
2022,1.2729528627925504,881.7152350013495,135.8707348266926,1286.756983536708,0.5499852289486709,88.16336783743485,76.81662795917447,13.39951888220142,47.50738509341707,50.312000000000005,4,10.473311389028884,False
2023,1.3068372264634025,884.3709842544216,136.36005119579931,1291.7895337404182,0.5646403396444266,100.34658472179996,89.28073199028495,13.39951888220142,47.50738509341707,50.312000000000005,6,9.717274338722007,False
2024,1.3389840049141875,886.9304592218738,136.83599742323142,1296.8076838474447,0.5796587590079029,119.95011631425075,101.3444525394712,13.39951888220142,47.50738509341707,50.312000000000005,4,9.024000560200369,False
2025,1.3693959836469431,889.0900637571219,137.2922215150983,1301.8023935179876,0.5949990662716435,130.14130156990763,113.9611650219449,13.39951888220142,47.50738509341707,50.312000000000005,4,8.43374946627524,False
2026,1.3980759055931335,891.0582891509508,137.72815358233788,1306.7605778806744,0.6106204517874847,141.46070783544783,126.36931054323722,13.39951888220142,47.50738509341707,50.312000000000005,4,7.923237578728531,False
2027,1.4250546578949659,892.8353181664503,138.14619359362672,1311.672038729662,0.6264833697849536,153.84910396001115,138.59582113884753,13.39951888220142,47.50738509341707,50.312000000000005,4,7.493197825918541,False
2028,1.4503531213855225,894.3190090447238,138.54386068730773,1316.5273912462792,0.6425496164999144,167.38974923682184,150.42466566861,13.39951888220142,47.50738509341707,50.312000000000005,4,7.157256634091529,False
2029,1.4739827916176174,895.5303921791896,138.918522923345,1321.3154937225133,0.6587819942317605,182.0084106164514,161.8430966240616,13.39951888220142,47.50738509341707,50.312000000000005,4,6.911010605025729,False
2030,1.4959543330092757,896.4827826034611,139.2681366238268,1326.0246000765874,0.6751442847563669,197.57878983893124,172.8135894815113,13.39951888220142,47.50738509341707,50.312000000000005,4,6.748632411162231,False
2031,1.5162723522414179,897.0289127379891,139.58934179577128,1330.6425490724764,0.6916012082349448,197.57878983893124,172.8135894815113,13.39951888220142,47.50738509341707,50.312000000000005,7,-1.3368616584002633,False
2032,1.5350376639528702,897.9386720545547,139.902672998225,1335.1607589219302,0.7081187689165502,197.57878983893124,172.8135894815113,13.39951888220142,47.50738509341707,50.312000000000005,7,-1.3207476112755956,False
2033,1.5524257033578208,899.0501395601761,140.22402835966474,1339.587950285519,0.7246668662488684,197.57878983893124,172.8135894815113,13.39951888220142,47.50738509341707,50.312000000000005,7,-1.3047624094256196,False
2034,1.5685693070374107,900.3126560899125,140.5532670220857,1343.9358548559856,0.7412189866119785,197.57878983893124,172.8135894815113,13.39951888220142,47.50738509341707,50.312000000000005,7,-1.2894557203287678,False
2035,1.5835773183517616,901.6739313022505,140.88792030391195,1348.2143882719688,0.7577515304006289,197.57878983893124,172.8135894815113,13.39951888220142,47.50738509341707,50.312000000000005,7,-1.2755696078593834,False
