year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959323611064244,864.4428584821532,133.11828444502783,1261.8041601275625,0.4832529541504159,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.17502264706617088,False
2018,1.129074576990204,869.3116523142363,133.74495646939076,1266.708631433182,0.4957156935735885,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.1950661542987825,False
2019,1.1641313800024538,874.0393371525581,134.37141024910156,1271.7054533054227,0.5086072683209378,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.20776033339688915,False
2020,1.2009116263503046,878.6606861298236,134.99378327923387,1276.7866080431165,0.5219551563454544,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.22458066631081575,False
2021,1.2393348720501856,883.3615545691093,135.61983532799127,1281.9458305867927,0.5357835222320614,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.32578220043234407,False
2022,1.2764371585684242,888.2736116887668,136.25887984329117,1287.1834891940803,0.5500855017095636,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.4185387231817411,False
2023,1.312300537322171,893.3505481912017,136.9147949892559,1292.5048405492873,0.5648263976253044,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.49854068637867344,False
2024,1.3469918396909062,898.5486092265411,137.58615102183666,1297.9152556614413,0.5799736992812599,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.5682056983284672,False
2025,1.3805676941418155,903.8297048018495,138.27077875498316,1303.4184218793232,0.5954967157666177,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.627112213433968,False
2026,1.4130753064924002,909.189317163329,138.96638113861096,1309.0161783124458,0.6113664195517565,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.68346184439455,False
2027,1.4445635605800362,914.5781471458462,139.67235644356296,1314.709486941935,0.6275552981793877,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.7244149692262103,False
2028,1.475062331373515,919.9432585494807,140.38480427609912,1320.4975647414108,0.6440371662930029,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.7551721500570563,False
2029,1.5045915732477846,925.259589167197,141.10043136385966,1326.3772005438584,0.6607868544403268,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.7867717921415285,False
2030,1.5331723087561908,930.5260466962674,141.81805145559767,1332.3438697273327,0.6777800686901378,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.8048594466644443,False
2031,1.5608190544419998,935.6959119185769,142.5352573492944,1338.3923299010116,0.6949933734336923,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.8851399317099323,False
2032,1.587563978405505,940.9131812550495,143.25510444225506,1344.5173109881669,0.71240418873797,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,15,0.9638001562698373,False
