year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959323611064244,864.4428584821532,133.11828444502783,1261.8041601275625,0.4832529541504159,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.0,False
2018,1.129074576990204,869.3116523142363,133.74495646939076,1266.708631433182,0.4957156935735885,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.0,False
2019,1.1641313800024538,874.0393371525581,134.37141024910156,1271.7054533054227,0.5086072683209378,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.0,False
2020,1.2009116263503046,878.6606861298236,134.99378327923387,1276.7866080431165,0.5219551563454544,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.0,False
2021,1.2393348717528014,883.3615282997558,135.61983523982,1281.9458305852413,0.5357835222319128,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.0,False
2022,1.2764370994259162,888.2731607686618,136.25886715470722,1287.1834858464586,0.5500855012932809,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,6.409967067842233,False
2023,1.3123002077078976,893.348897877038,136.91473383719767,1292.5048145254711,0.5648263937881949,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,5.823118759331454,False
2024,1.3469907543030069,898.5446828969917,137.58597866613923,1297.9151553495726,0.5799736825076889,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,5.225191432522285,False
2025,1.3805649127386799,903.7939193193785,138.270357270591,1303.418141171441,0.5954966312442106,30.908792493742045,16.773548956011133,13.39951888220142,47.50738509341707,50.312000000000005,10,4.623548862753608,False
2026,1.4129718028750078,908.4718985582768,138.9441714592974,1309.0099571438243,0.6113655410870424,44.700019442822445,30.955556602945695,13.39951888220142,47.50738509341707,50.312000000000005,10,4.0875503361120495,False
2027,1.4441121578169211,912.7766703000486,139.5933248282054,1314.6708560184948,0.6275493623416115,58.38979168904504,45.315962952666226,13.39951888220142,47.50738509341707,50.312000000000005,10,3.596222763179905,False
2028,1.4739191144554622,916.5547757203811,140.21487930130795,1320.378963489444,0.6440161610164438,74.75656388416091,59.26962016035405,13.39951888220142,47.50738509341707,50.312000000000005,10,3.167661620463385,False
2029,1.502335461249411,920.0132675818696,140.80842194513437,1326.1113232795137,0.6607332543540769,95.25067591061578,73.40579734004133,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.556037893147072,False
2030,1.52930520134927,922.8893702621257,141.36908958700644,1331.8468091777017,0.6776677158981672,120.58951405101625,87.06785736647706,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.4929026354143796,False
2031,1.5547422892296658,925.1956795157635,141.88845258747887,1337.5597018954209,0.694785738962387,150.93600023541114,100.25861237420563,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.444094981228883,False
2032,1.5785698480993324,926.7762013081218,142.36225754719723,1343.2224970764996,0.7120526101274012,186.61637790592644,112.54040462531613,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.4130776125471469,False
2033,1.6007153019751441,927.8508227358599,142.78875844473214,1348.8061065549803,0.7294326810385077,226.49994142252592,124.36224031811366,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.39468921850712635,False
2034,1.6211217766342774,928.3629578624522,143.16606746096184,1354.2838275592383,0.7468898920066951,268.8640453388144,135.57433695443973,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.3895355714544195,False
2035,1.6397139773228124,927.9097277492414,143.4867815733092,1359.6282555547293,0.7643876694054169,311.99413155097614,146.87537515311936,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.40516322937448834,False
2036,1.6564018626266426,926.9821221005976,143.74716704118146,1364.8064844706928,0.7818881748791742,353.150840190428,158.11208571266997,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.4303786553975337,False
2037,1.671149909854951,925.2845196278544,143.95013514200832,1369.7917026041534,0.7993534213431313,390.56179955559224,168.5352661154376,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.4709323734111782,False
2038,1.6839220751157071,923.1057092318687,144.097699364827,1374.557552024834,0.8167451925062265,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.5207756065665661,False
2039,1.6947104819776024,920.4913258536664,144.19265309734084,1379.0827692242697,0.8340257548420271,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,15,-0.5791092695610026,False
2040,1.7036420367705705,918.1097738879521,144.2641960770645,1383.356403133892,0.8511589555464798,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,15,-0.6320938867142349,False
2041,1.7108937681732317,915.9086841963369,144.3277392538693,1387.3864019736088,0.8681127805202583,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,15,-0.6808580916953039,False
2042,1.7166999921329755,914.2426574335703,144.40387696591614,1391.1901106539865,0.8848596598329368,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,15,-0.7179322740071774,False
2043,1.721260246874155,912.8194867084457,144.49241798514012,1394.7927604031643,0.9013772209856463,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,15,-0.7495197349946849,False
2044,1.7247231903018392,911.6119794694682,144.58885537323565,1398.2145672809631,0.9176468576857565,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7762290837614306,False
2045,1.7272245162029605,910.6377991808425,144.69248733601142,1401.4726524540106,0.933653109934634,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7977128782644645,False
2046,1.728893285077461,909.8932166463295,144.80430862102023,1404.5833042208028,0.9493834638346754,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8140770829228878,False
2047,1.7298438480924743,909.3449337586349,144.9240426551813,1407.5620209343783,0.9648280671965107,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8260569905042386,False
2048,1.7301721182339969,908.96105386318,145.05037789035714,1410.4226365405887,0.9799793292453995,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8343560688214258,False
2049,1.729959351299481,908.7179870459977,145.1820289826162,1413.1771405977377,0.9948315597829471,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8394981918772346,False
2050,1.7292748620419034,908.5967619109729,145.31798571157023,1415.8359504164769,1.0093807058771107,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8419063097414865,False
2051,1.7281785751779477,908.6009505984766,145.45758410970353,1418.4081537469224,1.0236240163877113,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.841518701143957,False
2052,1.7271506751937398,908.757968706431,145.60305492327336,1420.9027499688004,1.0375641884266738,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8378767435686345,False
2053,1.7262523734228215,909.0086629227679,145.75326729011752,1423.3287725008227,1.0512092439434144,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.832263653886042,False
2054,1.725526439124635,909.341618021643,145.9064828271534,1425.6934027580648,1.0645680322997075,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8249371039927785,False
2055,1.7250132371770324,909.7640473703948,146.06333438571858,1428.002981173717,1.0776500359032413,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8157571824352928,False
2056,1.7247352648856835,910.2205141946869,146.2215902148327,1430.2630710140636,1.0904651968272228,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.8059207472847514,False
2057,1.7247121307178208,910.7419789956532,146.38156237464187,1432.4778892901281,1.1030236402788114,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7947768730247506,False
2058,1.7249562501542433,911.3091840238598,146.54249682246478,1434.6514817056884,1.115335642367168,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7827480552913474,False
2059,1.7254888451752801,911.9896446232183,146.7070558639819,1436.7880011793388,1.1274115418445125,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7684129380154316,False
2060,1.7263398161988144,912.8017338428166,146.87827890740553,1438.8934879417884,1.1392620142556062,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7514116173360365,False
2061,1.7275336545105877,913.755043373272,147.05689588011032,1440.9748444240176,1.1508980881085298,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7315811355492166,False
2062,1.7291074225222676,914.9317908600854,147.2467987346954,1443.0398407561283,1.1623311172803563,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.7072487124762037,False
2063,1.731178482909729,916.2921106208527,147.45034800630117,1445.098317267912,1.173573849050003,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.6793824522865513,False
2064,1.7337965258554768,917.8181056511474,147.66681961789521,1447.1596968447557,1.1846404059803355,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.6484931028716108,False
2065,1.7369687757232208,919.4934000702505,147.8954711993111,1449.232265150628,1.1955451876518093,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.6150819892724266,False
2066,1.7406964183375582,921.302784115195,148.13557198543333,1451.3232487657556,1.2063023906366495,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.5796717166603043,False
2067,1.7449753978861307,923.2320812899287,148.38641236060985,1453.4388988657938,1.2169259004798967,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.5428263826960494,False
2068,1.7497971658988183,925.2680740840675,148.64730366520112,1455.584571553673,1.2274292021582678,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.5051780745639589,False
2069,1.7551495618921684,927.3984407270019,148.9175776181727,1457.7648019864362,1.2378253070219563,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.4674635589316961,False
2070,1.7610172476128896,929.6116970945213,149.19658597948143,1459.9833740547626,1.248126695568224,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.43057370503424985,False
2071,1.7673824246487781,931.8995532985081,149.48370748727507,1462.2433843345884,1.258345271739501,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.39557645500627486,False
2072,1.7742306716115788,934.2886075033224,149.77956523190517,1464.547631959405,1.2684923676096573,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.36334405951847715,False
2073,1.7815966274581378,936.7614740124999,150.08462216349727,1466.8992840161045,1.2785793227592133,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.33601732659666905,False
2074,1.7896424726668567,939.3068673844392,150.3982527893284,1469.3011441852836,1.2886192172215831,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.3161378216035241,False
2075,1.7983243678336585,941.914679015458,150.71987667356643,1471.7554181758153,1.2986260086101238,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.30612310571648194,False
2076,1.8075993126713144,944.5762037423808,151.0488985897169,1474.2637597509429,1.3086125186240274,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.30774384967256607,False
2077,1.8174254327031294,947.2827437337621,151.38476341910675,1476.827326362194,1.318590474182687,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.3214644017519577,False
2078,1.8277619797937414,950.0263726572773,151.72691123819772,1479.4468166879244,1.3285705516619266,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.3463219626686709,False
2079,1.8385700965264724,952.8201989154503,152.0749944434364,1482.1225252374265,1.3385624231423205,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.380675750908693,False
2080,1.84981618648287,955.6334305948412,152.42918515670698,1484.8548580434624,1.348574864646905,422.91943922056487,177.870617212006,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.4223313294311632,False
