year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959323611064244,864.4428584821532,133.11828444502783,1261.8041601275625,0.4832529541504159,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,2.020338194467878,False
2018,1.129074576990204,869.3116523142363,133.74495646939076,1266.708631433182,0.4957156935735885,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,1.8546271150489801,False
2019,1.1641313800024538,874.0393371525581,134.37141024910156,1271.7054533054227,0.5086072683209378,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,1.6793430999877312,False
2020,1.2009116263503046,878.6606861298236,134.99378327923387,1276.7866080431165,0.5219551563454544,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,1.4954418682484771,False
2021,1.2393348717528014,883.3615282997558,135.61983523982,1281.9458305852413,0.5357835222319128,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,1.3033256412359928,False
2022,1.2764370994259162,888.2731607686618,136.25886715470722,1287.1834858464586,0.5500855012932809,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,1.117814502870419,False
2023,1.3123002077078976,893.348897877038,136.91473383719767,1292.5048145254711,0.5648263937881949,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.9384989614605121,False
2024,1.3469907543030069,898.5446828969917,137.58597866613923,1297.9151553495726,0.5799736825076889,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.7650462284849657,False
2025,1.3805651464013138,903.8225708876936,138.2704176219654,1303.4181507156086,0.5954966649482344,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.5971742679934311,False
2026,1.4130706898315406,909.1816068026387,138.96584203656343,1309.0156141042307,0.6113662992460244,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.869293101684594,False
2027,1.4445576298615947,914.5756950815187,139.6718849826428,1314.7086063961924,0.6275550830956382,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.5544237013840525,False
2028,1.4750581439780364,919.9565833226936,140.38494597718926,1320.4966065351914,0.6440368521372596,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,0.24941856021963638,False
2029,1.5045961505218481,925.3121353805813,141.10222129579986,1326.3768961139865,0.6607865363877211,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.022980752609240707,False
2030,1.5331995840454515,930.6416093615411,141.82328906525245,1332.3458955548037,0.6777800501085411,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.16599792022725768,False
2031,1.560890066278199,935.9292537333498,142.54625009823226,1338.3995665389057,0.6949942963501162,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.3044503313909952,False
2032,1.5877137359926978,941.304312184906,143.27569541358955,1344.5346341864044,0.7124072213014272,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.43856867996348914,False
2033,1.6137238119576867,946.7305796298256,144.0135591030957,1350.7509652237168,0.7299982885708485,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.5686190597884333,False
2034,1.638962029942647,952.16680509967,144.75853983440302,1357.0484149493905,0.7477482900585694,15.835795062513645,2.4362761913131026,13.39951888220142,47.50738509341707,50.312000000000005,11,-0.6948101497132353,False
