year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0959322196361339,864.423416025478,133.11823225894207,1261.80415040753,0.48325292223941435,28.34858781063544,14.809583254336818,13.39951888220142,47.50738509341707,50.312000000000005,4,0.0,False
2018,1.1289846412945046,868.7309260696419,133.72612857345285,1266.7036834725131,0.49571500537461316,40.6153910001883,27.157974151757816,13.39951888220142,47.50738509341707,50.312000000000005,4,0.0,False
2019,1.1637362935621354,872.4983316180504,134.30488923119626,1271.6733594401915,0.5086021763473155,52.77450236473875,39.53791365096741,13.39951888220142,47.50738509341707,50.312000000000005,4,0.0,False
2020,1.1999013155903182,875.7749601627883,134.84972940567263,1276.6867569611056,0.5219367715837161,64.75013751035861,51.90807040765683,13.39951888220142,47.50738509341707,50.312000000000005,4,0.0,False
2021,1.2373134388312637,878.7824414280569,135.36750277692724,1281.719769168053,0.535736127334042,76.38632525758081,64.21955082945708,13.39951888220142,47.50738509341707,50.312000000000005,4,0.0,False
2022,1.2729528627925504,881.7152350013495,135.8707348266926,1286.756983536708,0.5499852289486709,88.16336783743485,76.81662795917447,13.39951888220142,47.50738509341707,50.312000000000005,4,2.8380892150931203,False
2023,1.3068372264634025,884.3709842544216,136.36005119579931,1291.7895337404182,0.5646403396444266,99.41309991973473,89.38320710808404,13.39951888220142,47.50738509341707,50.312000000000005,4,2.4145346692074687,False
2024,1.3389841112146683,886.9437209081982,136.83602265183202,1296.8076844204031,0.5796587565799463,110.64464905591319,102.1209960005851,13.39951888220142,47.50738509341707,50.312000000000005,4,2.012698609816646,False
2025,1.3694195165179304,889.2236707020969,137.29715634491538,1301.8037852274858,0.5949992383670732,121.18467817769724,114.64812547499182,13.39951888220142,47.50738509341707,50.312000000000005,4,1.6322560435258704,False
2026,1.398164375862508,891.3981789201723,137.74291085203797,1306.7682164655305,0.6106216433522876,131.95912749307786,127.19187738988387,13.39951888220142,47.50738509341707,50.312000000000005,4,1.2729453017186505,False
2027,1.425244997749307,893.2538035300764,138.17122388637222,1311.6929402427188,0.6264872793444427,146.35530297113021,139.06886397481216,13.39951888220142,47.50738509341707,50.312000000000005,10,0.9344375281336637,False
2028,1.4506767895758157,894.9655344994478,138.58041090847885,1316.567395242207,0.6425584548083182,175.65928500199325,149.52449881715629,13.39951888220142,47.50738509341707,50.312000000000005,10,0.6165401303023038,False
2029,1.4744189445911606,895.8902690237979,138.95483866758406,1321.3788168503393,0.6587983458531802,208.35162716285114,160.23007113667083,13.39951888220142,47.50738509341707,50.312000000000005,10,0.31976319261049213,False
2030,1.4963694891858494,896.1834229997489,139.2805907673495,1326.1015251850301,0.6751690463576718,243.29661551541136,170.93585933919238,13.39951888220142,47.50738509341707,50.312000000000005,10,0.04538138517688195,False
2031,1.5164804191328851,896.0819409933927,139.5606470469187,1330.7089247162385,0.6916319111716361,278.8524127370432,181.46961675474847,13.39951888220142,47.50738509341707,50.312000000000005,6,-0.08240209566442558,False
2032,1.534718029703851,895.3001834602175,139.79399024483504,1335.1789214383853,0.7081484783516113,314.63827050067897,191.3948224965377,13.39951888220142,47.50738509341707,50.312000000000005,6,-0.1735901485192548,False
2033,1.551058713910641,894.2095708224507,139.98355731005583,1339.4886910715863,0.7246801784939997,349.06697336532335,200.76432451837198,13.39951888220142,47.50738509341707,50.312000000000005,6,-0.2552935695532055,False
2034,1.5655089364674708,892.5715890627782,140.1313929754266,1343.6214593386392,0.7411893203477354,381.23567733312274,208.85637657542196,13.39951888220142,47.50738509341707,50.312000000000005,6,-0.327544682337354,False
2035,1.57805644979066,890.5847493992846,140.23576881520003,1347.559477345166,0.7576387150155034,410.0835832795224,215.6240815814422,13.39951888220142,47.50738509341707,50.312000000000005,6,-0.39028224895329977,False
2036,1.5887198540960026,888.1683852586859,140.29967484003365,1351.288164040492,0.7739920919120745,435.27507918766764,220.47745305268887,13.39951888220142,47.50738509341707,50.312000000000005,10,-0.4435992704800129,False
2037,1.5975254028400179,885.5128021540812,140.326194324395,1354.7947163601214,0.7902142229385579,455.7581567766457,223.53412124984467,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.48762701420008936,False
2038,1.604531279726316,882.6424339233155,140.32110323506993,1358.0711899066152,0.8062714934509055,464.96085455008983,225.04629442570538,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5226563986315802,False
2039,1.6098404232493322,879.8528352444796,140.29606069490376,1361.1150628973896,0.8221324294921102,473.5848445474886,226.43807389675135,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5492021162466609,False
2040,1.6135698287920746,876.9918260755394,140.25614621343271,1363.9313188716571,0.8377685564259715,481.53259570094997,227.255796272316,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5678491439603728,False
2041,1.6158122682815999,874.1726734287053,140.2012490367663,1366.524832018018,0.8531539497611139,489.35183492626487,228.1676572896332,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5790613414079993,False
2042,1.6167568827852499,871.8040716092817,140.15198451455123,1368.9065774961284,0.8682657989530606,498.57448665386,230.9187363452139,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5837844139262494,False
2043,1.6165480799585181,869.4704542977591,140.1047109296089,1371.0953992521238,0.8830854992579086,507.79954646682904,233.75450670254537,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5827403997925906,False
2044,1.6152741771903267,867.1851540126112,140.05315703715934,1373.1029722956166,0.8975968789534234,517.099185433565,236.79018250771017,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5763708859516337,False
2045,1.6130211456241945,864.9719695655041,139.99664211154,1374.9382199821325,0.9117858059214907,526.3731613367718,240.05678393557164,13.39951888220142,47.50738509341707,50.312000000000005,4,-0.5651057281209726,False
